tag_name,tag_id
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:capcom #lang:ja #mameparent,1
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:capcom>cps,2
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:capcom>cps #mameparent,3
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:capcom>cpschanger,4
#input:buttons>4 #players:2:vs #genre:quiz:sim>date #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,5
#input:buttons>6 #players:2:vs #genre:parlor>mogurataiji #arcadeboard:capcom>cps #mameparent,6
#input:joystick>2h:buttons>1 #players:2:coop #search:tate>ccw #genre:action>blockbreaker #arcadeboard:capcom,7
#input:joystick>2h:buttons>1 #players:2:coop #search:tate>ccw #genre:action>blockbreaker #arcadeboard:capcom #mameparent,8
#input:joystick>2h:buttons>2 #players:1 #genre:notagame>redemption #arcadeboard:capcom>cps #mameparent,9
#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:capcom #mameparent,10
#input:joystick>4:buttons>1 #players:2:coop #genre:action #arcadeboard:capcom>cps,11
#input:joystick>4:buttons>1 #players:2:coop #genre:action #arcadeboard:capcom>cps #mameparent,12
#input:joystick>4:buttons>2 #players:1 #genre:action>platformer #arcadeboard:capcom>cps,13
#input:joystick>4:buttons>2 #players:1 #genre:action>platformer #arcadeboard:capcom>cps #mameparent,14
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom,15
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #mameparent,16
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:1 #unlicensed:bootleg,17
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:2 #unlicensed:bootleg,18
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:3 #unlicensed:bootleg,19
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:4 #unlicensed:bootleg,20
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:5 #unlicensed:bootleg,21
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:6 #unlicensed:bootleg,22
#input:joystick>4:buttons>2 #players:2:coop #genre:action #arcadeboard:capcom #set:7 #unlicensed:bootleg,23
#input:joystick>8:buttons>1 #players:2:coop #genre:action #search:keyword>qsound #arcadeboard:capcom>cps2,24
#input:joystick>8:buttons>1 #players:2:coop #genre:action #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,25
#input:joystick>8:buttons>1 #players:2:coop #genre:action>platformer:shmup #arcadeboard:capcom,26
#input:joystick>8:buttons>1 #players:2:coop #genre:action>platformer:shmup #arcadeboard:capcom #mameparent,27
#input:joystick>8:buttons>1 #players:2:coop #genre:shmup>v #search:keyword>qsound #arcadeboard:capcom>cps2,28
#input:joystick>8:buttons>1 #players:2:coop #genre:shmup>v #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,29
#input:joystick>8:buttons>1 #players:2:coop #genre:shmup>v #search:keyword>qsound #unlicensed:bootleg #arcadeboard:capcom>cps2,30
#input:joystick>8:buttons>2 #players:1 #genre:action>platformer #arcadeboard:capcom>cps,31
#input:joystick>8:buttons>2 #players:1 #genre:action>platformer #arcadeboard:capcom>cps #mameparent,32
#input:joystick>8:buttons>2 #players:1 #genre:action>platformer #based:movie #arcadeboard:capcom>cps,33
#input:joystick>8:buttons>2 #players:1 #genre:action>platformer #based:movie #arcadeboard:capcom>cps #mameparent,34
#input:joystick>8:buttons>2 #players:1 #genre:board>mahjong #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,35
#input:joystick>8:buttons>2 #players:1 #genre:parlor>kiddieride #based:manganime #arcadeboard:capcom>cps #mameparent,36
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:capcom,37
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:capcom #mameparent,38
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:capcom,39
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:capcom #mameparent,40
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom,41
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #mameparent,42
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #rev:b,43
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #rev:c,44
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #rev:g,45
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #set:1,46
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #set:1 #mameparent,47
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #set:2,48
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #set:3,49
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #unfinished:proto,50
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #unlicensed:bootleg,51
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #unlicensed:bootleg #set:1,52
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:capcom #unlicensed:bootleg #set:2,53
#input:joystick>8:buttons>2 #players:2:alt #genre:racing:sports>formula1 #arcadeboard:capcom #mameparent,54
#input:joystick>8:buttons>2 #players:2:alt #genre:shmup>h #arcadeboard:capcom #set:1 #mameparent,55
#input:joystick>8:buttons>2 #players:2:alt #genre:shmup>h #arcadeboard:capcom #set:2,56
#input:joystick>8:buttons>2 #players:2:alt #search:tate>ccw #genre:racing:action>runandgun #arcadeboard:capcom #set:1,57
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom,58
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom #mameparent,59
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom #set:1,60
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom #set:2,61
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom #unlicensed:bootleg #set:1,62
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom #unlicensed:bootleg #set:2,63
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:action>runandgun #arcadeboard:capcom #unlicensed:bootleg #set:3,64
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:racing:action>runandgun #arcadeboard:capcom #set:1 #mameparent,65
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:racing:action>runandgun #arcadeboard:capcom #set:2,66
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:racing:action>runandgun #arcadeboard:capcom #set:3,67
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:shmup>v #arcadeboard:capcom,68
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:shmup>v #arcadeboard:capcom #set:1 #mameparent,69
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:shmup>v #arcadeboard:capcom #set:2,70
#input:joystick>8:buttons>2 #players:2:alt #search:tate>cw #genre:shmup>v #arcadeboard:capcom #unlicensed:bootleg,71
#input:joystick>8:buttons>2 #players:2:coop #genre:action>hackandslash #arcadeboard:capcom>cps,72
#input:joystick>8:buttons>2 #players:2:coop #genre:action>hackandslash #arcadeboard:capcom>cps #mameparent,73
#input:joystick>8:buttons>2 #players:2:coop #genre:action>platformer>maze:shmup>h #multigame #arcadeboard:capcom>cps,74
#input:joystick>8:buttons>2 #players:2:coop #genre:brawler #arcadeboard:capcom>cps,75
#input:joystick>8:buttons>2 #players:2:coop #genre:brawler #arcadeboard:capcom>cps #mameparent,76
#input:joystick>8:buttons>2 #players:2:coop #genre:brawler #arcadeboard:capcom>cpschanger,77
#input:joystick>8:buttons>2 #players:2:coop #genre:brawler #based:marvel #search:keyword>qsound #arcadeboard:capcom>cpsdash,78
#input:joystick>8:buttons>2 #players:2:coop #genre:brawler #based:marvel #search:keyword>qsound #arcadeboard:capcom>cpsdash #mameparent,79
#input:joystick>8:buttons>2 #players:2:coop #genre:brawler #unlicensed:bootleg #arcadeboard:capcom>cps,80
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #arcadeboard:capcom>cps,81
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #arcadeboard:capcom>cps #mameparent,82
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #based:manganime #arcadeboard:capcom>cps,83
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #search:keyword>qsound #arcadeboard:capcom>cps2,84
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,85
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #search:keyword>qsound #unlicensed:bootleg #arcadeboard:capcom>cps2,86
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v #search:keyword>qsound #arcadeboard:capcom>cps2,87
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,88
#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>v #search:keyword>qsound #unlicensed:bootleg #arcadeboard:capcom>cps2,89
#input:joystick>8:buttons>2 #players:2:coop #multigame #genre:action>platformer>maze:shmup>h #multigame #arcadeboard:capcom>cps,90
#input:joystick>8:buttons>2 #players:2:coop #multigame #genre:action>platformer>maze:shmup>h #multigame #arcadeboard:capcom>cps #mameparent,91
#input:joystick>8:buttons>2 #players:2:coop #multigame #genre:action>platformer>maze:shmup>h #multigame #unlicensed:bootleg #arcadeboard:capcom>cps,92
#input:joystick>8:buttons>2 #players:2:coop #search:tate>ccw #genre:shmup>v #arcadeboard:capcom,93
#input:joystick>8:buttons>2 #players:2:coop #search:tate>ccw #genre:shmup>v #arcadeboard:capcom #unlicensed:hack,94
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom,95
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #mameparent,96
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #mameparent #rev:b,97
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #rev:a,98
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #set:2,99
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #unlicensed:bootleg,100
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom>cps,101
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom>cps #mameparent,102
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #search:keyword>qsound #arcadeboard:capcom>cps2,103
#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #search:keyword>qsound #arcadeboard:capcom>cps2 #mameparent,104
