game_id,developer_id
10yardfight,4
10yardfight,14
10yardfight,4
10yardfight,4
10yardfight,14
10yardfight,4
airduel,4
airduel,4
airduel,4
airduel,4
andromedass,4
crossblades,4
crossblades,4
bomberman,7
bomberman,7
bomberman,7
bombermanworld,7
bombermanworld,7
bombermanworld,7
bombermanworld,7
bombermanworld,7
demoneyex,4
dicethedicegame,4
dragonbreed,4
dragonbreed,4
dragonbreed,4
dreamsoccer94,4
dreamsoccer94,4
dreamsoccer94,4
daikunogensan,4
daikunogensan,4
daikunogensan,4
daikunogensan,4
daikunogensan,4
firebarrel,4
firebarrel,4
gallop,4
gallop,4
gallop,4
geostorm,4
geostorm,4
geostorm,4
gingateikokunogyakushuu,4
gingateikokunogyakushuu,4
gingateikokunogyakushuu,2
gingateikokunogyakushuu,1
gingateikokunogyakushuu,13
gingateikokunogyakushuu,10
gingateikokunogyakushuu,4
gingateikokunogyakushuu,4
gingateikokunogyakushuu,4
gingateikokunogyakushuu,4
greenberet,4
gunforcebfeti,15
gunforcebfeti,15
gunforcebfeti,15
gussunoyoyo,4
gussunoyoyo,4
hasamu,4
headon,4
hookac,4
hookac,4
hookac,4
horizon,4
imagefight,4
imagefight,4
ipminvader,3
ipminvader,3
kaiketsuyanchamaru,4
kaiketsuyanchamaru,4
kaiketsuyanchamaru,4
kaiketsuyanchamaru,4
kaiteidaisensou,4
kaiteidaisensou,4
kaiteidaisensou,4
kengo,4
kengo,4
kengo,4
kickforthegoal,8
kickforthegoal,8
loderunner,5
loderunner,5
loderunnertbsb,5
loderunnermnf,5
loderunnermnf,5
loderunnertkd,5
lotlot,4
legendofherotonma,4
legendofherotonma,4
mahoukeibitaigunhooki,4
mahoukeibitaigunhooki,4
majortitle,4
majortitle,4
majortitle2,4
majortitle2,4
majortitle2,4
majortitle2,4
majortitle2,4
majortitle2,4
meikyuujima,4
meikyuujima,4
moonpatrol,17
moonpatrol,4
moonpatrol,4
mrhelinodaibouken,4
mrhelinodaibouken,4
panther,4
poundforpound,4
poundforpound,4
poundforpound,4
quizf112finish,4
rtype,4
rtype,4
rtype,4
rtype,4
rtype2,4
rtype2,4
rtype2,4
rtypeleo,4
rtypeleo,4
spartanx,4
spartanx,4
saigononindou,4
saigononindou,4
shisenshou,15
shisenshou,15
shisenshou,15
shisenshou,15
shisenshou2,15
shisenshou2,15
shotrider,11
shotrider,12
skychuter,4
space beam,4
spelunker,4
spelunker,4
spelunker2,5
perfectsoldiers,4
perfectsoldiers,4
thebattleroad,4
thunderblaster,4
thunderblaster,4
tropicalangel,4
tropicalangel,4
undercovercops,4
undercovercops,4
undercovercops,4
undercovercops,4
undercovercops,4
vigilante,4
vigilante,4
vigilante,4
vigilante,4
vigilante,4
vigilante,4
vigilante,4
willytower,4
willytower,9
willytower,9
redalert,4
redalert,6
xmultiply,4
xmultiply,4
yakyuukakutouleagueman,4
yakyuukakutouleagueman,4
yakyuukakutouleagueman,4
yakyuukakutouleagueman,4
youjuuden,4
zippyrace,5
zippyrace,18
zippyrace,16
