game_id,region_id
10yardfight,1
10yardfight,4
10yardfight,5
10yardfight,1
10yardfight,4
10yardfight,5
airduel,1
airduel,4
airduel,5
airduel,5
andromedass,1
crossblades,1
crossblades,5
bomberman,1
bomberman,4
bomberman,5
bombermanworld,1
bombermanworld,1
bombermanworld,5
bombermanworld,4
bombermanworld,5
demoneyex,1
dicethedicegame,1
dragonbreed,1
dragonbreed,5
dragonbreed,5
dreamsoccer94,1
dreamsoccer94,2
dreamsoccer94,5
daikunogensan,1
daikunogensan,1
daikunogensan,1
daikunogensan,4
daikunogensan,5
firebarrel,1
firebarrel,5
gallop,1
gallop,1
gallop,5
geostorm,1
geostorm,1
geostorm,4
gingateikokunogyakushuu,1
gingateikokunogyakushuu,5
gingateikokunogyakushuu,5
gingateikokunogyakushuu,3
gingateikokunogyakushuu,5
gingateikokunogyakushuu,3
gingateikokunogyakushuu,5
gingateikokunogyakushuu,5
gingateikokunogyakushuu,5
gingateikokunogyakushuu,5
greenberet,5
gunforcebfeti,1
gunforcebfeti,4
gunforcebfeti,5
gussunoyoyo,1
gussunoyoyo,5
hasamu,1
headon,5
hookac,1
hookac,4
hookac,5
horizon,5
imagefight,1
imagefight,5
ipminvader,5
ipminvader,5
kaiketsuyanchamaru,1
kaiketsuyanchamaru,4
kaiketsuyanchamaru,5
kaiketsuyanchamaru,5
kaiteidaisensou,1
kaiteidaisensou,4
kaiteidaisensou,5
kengo,1
kengo,5
kengo,5
kickforthegoal,1
kickforthegoal,5
loderunner,5
loderunner,5
loderunnertbsb,5
loderunnermnf,1
loderunnermnf,5
loderunnertkd,1
lotlot,5
legendofherotonma,1
legendofherotonma,5
mahoukeibitaigunhooki,1
mahoukeibitaigunhooki,5
majortitle,1
majortitle,5
majortitle2,1
majortitle2,5
majortitle2,5
majortitle2,5
majortitle2,4
majortitle2,4
meikyuujima,1
meikyuujima,1
moonpatrol,4
moonpatrol,5
moonpatrol,5
mrhelinodaibouken,1
mrhelinodaibouken,5
panther,1
poundforpound,1
poundforpound,4
poundforpound,5
quizf112finish,1
rtype,1
rtype,1
rtype,4
rtype,5
rtype2,1
rtype2,1
rtype2,5
rtypeleo,1
rtypeleo,5
spartanx,1
spartanx,5
saigononindou,1
saigononindou,5
shisenshou,1
shisenshou,5
shisenshou,5
shisenshou,5
shisenshou2,1
shisenshou2,5
shotrider,5
shotrider,5
skychuter,5
space beam,5
spelunker,1
spelunker,5
spelunker2,1
perfectsoldiers,1
perfectsoldiers,4
thebattleroad,5
thunderblaster,1
thunderblaster,5
tropicalangel,5
tropicalangel,5
undercovercops,1
undercovercops,4
undercovercops,5
undercovercops,4
undercovercops,5
vigilante,1
vigilante,4
vigilante,4
vigilante,4
vigilante,5
vigilante,5
vigilante,5
willytower,1
willytower,5
willytower,5
redalert,1
redalert,4
xmultiply,1
xmultiply,5
yakyuukakutouleagueman,1
yakyuukakutouleagueman,1
yakyuukakutouleagueman,4
yakyuukakutouleagueman,5
youjuuden,1
zippyrace,5
zippyrace,4
zippyrace,3
