game_id,tag_id
10yardfight,61
10yardfight,61
10yardfight,62
10yardfight,80
10yardfight,80
10yardfight,80
airduel,75
airduel,76
airduel,75
airduel,77
andromedass,4
crossblades,71
crossblades,72
bomberman,94
bomberman,94
bomberman,95
bombermanworld,96
bombermanworld,96
bombermanworld,97
bombermanworld,96
bombermanworld,98
demoneyex,2
dicethedicegame,45
dragonbreed,57
dragonbreed,57
dragonbreed,60
dreamsoccer94,85
dreamsoccer94,83
dreamsoccer94,84
daikunogensan,41
daikunogensan,43
daikunogensan,44
daikunogensan,44
daikunogensan,42
firebarrel,109
firebarrel,110
gallop,24
gallop,112
gallop,111
geostorm,69
geostorm,69
geostorm,70
gingateikokunogyakushuu,7
gingateikokunogyakushuu,7
gingateikokunogyakushuu,9
gingateikokunogyakushuu,9
gingateikokunogyakushuu,9
gingateikokunogyakushuu,9
gingateikokunogyakushuu,8
gingateikokunogyakushuu,10
gingateikokunogyakushuu,11
gingateikokunogyakushuu,8
greenberet,23
gunforcebfeti,69
gunforcebfeti,69
gunforcebfeti,69
gussunoyoyo,67
gussunoyoyo,68
hasamu,55
headon,22
hookac,89
hookac,89
hookac,90
horizon,56
imagefight,75
imagefight,75
ipminvader,5
ipminvader,6
kaiketsuyanchamaru,31
kaiketsuyanchamaru,31
kaiketsuyanchamaru,32
kaiketsuyanchamaru,33
kaiteidaisensou,73
kaiteidaisensou,73
kaiteidaisensou,74
kengo,113
kengo,113
kengo,114
kickforthegoal,117
kickforthegoal,118
loderunner,29
loderunner,30
loderunnertbsb,28
loderunnermnf,27
loderunnermnf,28
loderunnertkd,66
lotlot,54
legendofherotonma,52
legendofherotonma,53
mahoukeibitaigunhooki,73
mahoukeibitaigunhooki,74
majortitle,81
majortitle,82
majortitle2,99
majortitle2,101
majortitle2,100
majortitle2,102
majortitle2,100
majortitle2,102
meikyuujima,21
meikyuujima,20
moonpatrol,14
moonpatrol,15
moonpatrol,16
mrhelinodaibouken,57
mrhelinodaibouken,58
panther,2
poundforpound,119
poundforpound,119
poundforpound,120
quizf112finish,3
rtype,24
rtype,26
rtype,24
rtype,25
rtype2,57
rtype2,59
rtype2,58
rtypeleo,73
rtypeleo,74
spartanx,31
spartanx,32
saigononindou,52
saigononindou,53
shisenshou,103
shisenshou,104
shisenshou,105
shisenshou,106
shisenshou2,107
shisenshou2,108
shotrider,64
shotrider,64
skychuter,4
space beam,4
spelunker,50
spelunker,51
spelunker2,46
perfectsoldiers,115
perfectsoldiers,116
thebattleroad,65
thunderblaster,78
thunderblaster,79
tropicalangel,13
tropicalangel,12
undercovercops,86
undercovercops,86
undercovercops,87
undercovercops,86
undercovercops,86
vigilante,38
vigilante,34
vigilante,36
vigilante,40
vigilante,35
vigilante,37
vigilante,39
willytower,47
willytower,48
willytower,49
redalert,1
redalert,2
xmultiply,57
xmultiply,60
yakyuukakutouleagueman,92
yakyuukakutouleagueman,93
yakyuukakutouleagueman,88
yakyuukakutouleagueman,91
youjuuden,63
zippyrace,18
zippyrace,17
zippyrace,19
