tag_name,tag_id
#input:buttons>3 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:irem>m27,1
#input:buttons>3 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:irem>m27 #mameparent,2
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:irem>m97 #lang:ja #mameparent,3
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:irem>m10 #mameparent,4
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:irem>m10 #set:1 #mameparent,5
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:irem>m10 #set:2,6
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:irem #mameparent,7
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:irem #unlicensed:bootleg,8
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:irem #unlicensed:bootleg #lang:es,9
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:shooting>gallery #arcadeboard:irem #unlicensed:bootleg #set:1,10
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:shooting>gallery #arcadeboard:irem #unlicensed:bootleg #set:2,11
#input:joystick>2h:buttons>2 #players:1 #genre:sports #arcadeboard:irem>m57,12
#input:joystick>2h:buttons>2 #players:1 #genre:sports #arcadeboard:irem>m57 #mameparent,13
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>runandgun #arcadeboard:irem>m52,14
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>runandgun #arcadeboard:irem>m52 #mameparent,15
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>runandgun #arcadeboard:irem>m52 #unlicensed:bootleg,16
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>ccw #genre:racing #arcadeboard:irem,17
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>ccw #genre:racing #arcadeboard:irem #mameparent,18
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>ccw #genre:racing #arcadeboard:irem>m52 #lang:es,19
#input:joystick>4:buttons>2 #players:2:alt #genre:puzzle:action>maze #arcadeboard:irem>m77,20
#input:joystick>4:buttons>2 #players:2:alt #genre:puzzle:action>maze #arcadeboard:irem>m77 #lang:ja #mameparent,21
#input:joystick>8:buttons>1 #players:2:alt #search:tate>ccw #genre:action>maze #arcadeboard:irem>m15 #mameparent,22
#input:joystick>8:buttons>1 #players:2:alt #search:tate>ccw #genre:action>maze:shmup #arcadeboard:irem>m10 #mameparent,23
#input:joystick>8:buttons>2 #players:1 #genre:shmup>h #arcadeboard:irem>m72,24
#input:joystick>8:buttons>2 #players:1 #genre:shmup>h #arcadeboard:irem>m72 #mameparent,25
#input:joystick>8:buttons>2 #players:1 #genre:shmup>h #arcadeboard:irem>m72 #unfinished:proto,26
#input:joystick>8:buttons>2 #players:2:alt #genre:action:puzzle #arcadeboard:irem>m62,27
#input:joystick>8:buttons>2 #players:2:alt #genre:action:puzzle #arcadeboard:irem>m62 #mameparent,28
#input:joystick>8:buttons>2 #players:2:alt #genre:action:puzzle #arcadeboard:irem>m62 #set:1 #mameparent,29
#input:joystick>8:buttons>2 #players:2:alt #genre:action:puzzle #arcadeboard:irem>m62 #set:2,30
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m62,31
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m62 #mameparent,32
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m62 #unlicensed:bootleg,33
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75,34
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75 #rev:a,35
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75 #rev:b,36
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75 #rev:c,37
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75 #rev:d,38
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75 #rev:e #mameparent,39
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:irem>m75 #rev:g,40
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:irem>m72,41
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:irem>m81 #mameparent,42
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:irem>m82,43
#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:irem>m84,44
#input:joystick>8:buttons>2 #players:2:alt #genre:action>maze #arcadeboard:irem>m90 #unlicensed:bootleg #lang:ja #mameparent,45
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:irem>m62 #mameparent,46
#input:joystick>8:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:irem>m63 #mameparent,47
