name,developer_id
8ing/Raizing,1
A-Wave,2
Altron,3
Athena,4
Atlus,5
Atlus/SEGA AM4,6
CAPCOM,7
Cave/Victor,8
Compile,9
Coreland,10
Data East,11
EXA Planning,12
EXA Planning/Eleca,13
Escape,14
Esco Boueki,15
Exa Planning,16
Exa Planning/Nasco,17
Iguana,18
JAMP,19
M2,20
Micronet,21
Minato Giken,22
Nasco,23
Philko,24
SEGA,25
SEGA AM1,26
SEGA AM1/CRI,27
SEGA AM1/Deniam,28
SEGA AM1/SEGA AM2,29
SEGA AM1/SEGA AM4,30
SEGA AM1/SEGA Technical Institute,31
SEGA AM1/Scarab,32
SEGA AM1/WillLink,33
SEGA AM2,34
SEGA AM3,35
SEGA AM3/Data East,36
SEGA AM3/SEGA AM4/Banpresto,37
SEGA AM4,38
SEGA AM6,39
SEGA CS2/Red,40
SEGA Electronics,41
SEGA Studio 128,42
SEGA-01,43
SEGA/Aicom,44
SEGA/Coreland,45
SEGA/Ikegami,46
SEGA/M2,47
SEGA/Matsushita,48
SEGA/Success,49
SEGA/Sunsoft,50
Sai-Mate,51
Sanritsu,52
Sanritsu/SEGA,53
Santos,54
Success,55
Success/ITsuI,56
Sunsoft/Santaclaus,57
T&E,58
TamTam/F Creative Factory,59
Technosoft/SEGA,60
Tecmo,61
Treasure,62
VIC Tokai,63
Warashi,64
Westone,65
Whiteboard,66
