game_id,developer_id
4dwarriors,10
abcop,44
abcop,44
aceattacker,25
aceattacker,25
actionfighter,25
actionfighter,25
actionfighter,25
actionfighter,25
actionfighter,25
actionfighter,25
actionfighter,25
actionfighter,25
actionfighter,25
afterburner,42
afterburner2,42
afterburner2,42
airrescueac,26
airrescueac,26
airrescueac,26
alexkiddtls,25
alexkiddtls,25
alibaba,25
alibaba,25
alien3thegun,26
alien3thegun,26
alien3thegun,26
alienstorm,25
alienstorm,25
alienstorm,25
aliensyndrome,25
aliensyndrome,25
aliensyndrome,25
aliensyndrome,25
aliensyndrome,25
aliensyndrome,25
aliensyndrome,25
angelkids,13
appoooh,52
arabianfight,34
arabianfight,34
arabianfight,34
aromaclub,26
astrasuperstars,57
astroflash,25
astroflash,25
atomicpoint,24
aurail,65
aurail,65
aurail,65
bakubakuanimal,35
bakudanyaroulof,25
bakudanyaroulof,25
bakudanyaroulof,25
bankpanic,52
batmanforeverac,18
bayroute,50
bayroute,50
bayroute,50
blockgal,63
bloxeed,25
bloxeed,25
bloxeed,25
bonanzabros,25
bonanzabros,25
borench,25
borench,25
borench,25
brain,45
bullet,25
burningrival,34
burningrival,34
choplifter,25
choplifter,25
choplifter,25
clutchhitter,25
clutchhitter,25
columns,25
columns,25
columns,25
columns2tvtt,25
columns2tvtt,25
columns97,26
combarhawk,52
confobongo,46
confobongo,46
congobongo,46
crackdown,25
crackdown,25
crackdown,25
ddcrew,35
ddcrew,35
ddcrew,35
ddcrew,35
ddcrew,35
dakkochanhouse,66
danchidehanafudaokusankomeyadesuyo,3
danchidequizokusan4takudesuyo,3
dancingfever,25
dancingfevergold,25
darkedge,35
darkedge,35
decathlete,35
decathlete,35
desertbreaker,26
desertbreaker,26
doraemonnodokodemodoor,26
dottorikun,25
dottorikun,25
dragonballzvrvs,37
dumpmatsumoto,15
dumpmatsumoto,15
dunkshot,25
dunkshot,25
dunkshot,25
dynamiccc,35
dynamiccc,35
dynamiccc,35
dynamitedeka,31
dynamitedeka,31
dynamitedux,25
dynamitedux,25
dynamitedux,25
ejihontanteijimusho,26
enduroracer,25
enduroracer,25
enduroracer,25
enduroracer,25
eswat,25
eswat,25
eswat,25
eswat,25
exciteleague,25
f1exhaustnote,25
f1exhaustnote,25
f1exhaustnote,25
f1superlap,34
f1superlap,34
f1superlap,34
cotton,55
cotton,55
cotton,55
cotton,55
fantasyzone,25
fantasyzone,25
fantasyzone,25
fantasyzone,25
fantasyzone,25
fantasyzone,25
fantasyzone2oonn,25
fantasyzone2oonn,47
fantasyzone2oonn,47
finalarch,26
finalarch,26
finalfightrevenge,7
finalfightrevenge,7
flicky,25
flashpoint,15
flashpoint,15
funkyheadboxers,35
futurespy,25
glocairbattle,25
glocairbattle,25
glocairbattle,25
glocairbattle,25
gainground,25
gainground,25
galaxyforce2,25
galaxyforce2,25
galaxyforce2,25
galaxyforce2,25
gardia,45
gardia,45
goldenaxe,25
goldenaxe,25
goldenaxe,25
goldenaxe,25
goldenaxe,25
goldenaxe,25
goldenaxetheduel,26
goldenaxetroda,26
goldenaxetroda,26
goldenaxetroda,26
gonbeenoimsorry,25
gonbeenoimsorry,25
gprider,25
gprider,25
gprider,25
gprider,25
gprider,25
gprider,25
grooveonfightgouketsujiichizoku3,5
guardianforce,55
hammeraway,54
hangon,25
hangon,25
hangon,25
hangonjr,25
harddunk,35
harddunk,35
hashirepatcar,25
heavymetal,25
heavyweightchamp,25
heavyweightchamp,25
heavyweightchamp,25
holosseum,26
hotrod,25
hotrod,25
hotrod,25
hotrod,25
ixion,41
jumboozakisupermasters,25
jumboozakisupermasters,25
jumboozakisupermasters,25
juuouki,25
juuouki,25
juuouki,25
juuouki,25
juuouki,25
juuouki,25
juuouki,25
juuouki,25
jurassicparkac,35
jurassicparkac,35
jurassicparkac,35
jurassicparkac,35
karaokequizintrodondon,55
laserghost,25
laserghost,25
laserghost,25
laserghost,25
laserghost,25
lastsurvivor,25
lockonph,24
mvp,25
mvp,25
cotton2,55
cottonboomerang,55
magicalzunoupower,26
majorleague,25
maruchandegoo,33
mausukenoojamatheworld,11
megumirescue,12
michaeljacksonsmoonwalkerac,25
michaeljacksonsmoonwalkerac,25
michaeljacksonsmoonwalkerac,25
misterviking,43
mograpper,38
movieclub,25
myfairladyvirtualmahjong2,21
nameclub,38
nameclubversion2,38
nameclubversion3,38
nameclubversion4,38
nameclubdisney,38
noboranka,11
noboranka,11
ninjaprincess,25
ninjaprincess,25
opaopa,25
opaopa,25
othelloshiyouyo,56
outrun,25
outrun,25
outrun,25
outrun,25
outrun,25
outrun,25
outrun,25
outrun,25
outrun,25
outrunners,26
outrunners,26
outrunners,26
passingshot,25
passingshot,25
passingshot,25
passingshot,25
passingshot,25
pebblebeachgolflinksthegreatshot,58
pengo,25
pengo,25
pengo,25
pengo,25
pitfall2tlc,25
pitfall2tlc,25
pitfall2tlc,25
potopoto,35
powerdrift,42
powerdrift,42
powerdrift,42
powerdrift,42
powerdrift,42
printclub,6
printclub2,6
printclub2,6
printclub2,6
printclub4,6
printclub5,6
printclubpokemonb,6
purikuradaisakusen,5
promahjongkiwames,4
puyopuyo,9
puyopuyo,9
puyopuyo,9
puyopuyo2,9
puyopuyosun,9
ichidantr,26
ichidantr,26
ichidantr,26
tantr,26
tantr,26
sandr,27
sandr,27
sandr,27
quartet,25
quartet,25
quartet2,25
quartet2,25
quizghosthunter,26
quizmekurumeku,26
quizomaenipiponcho,11
quizroukanitattenasai,26
quizshukudaiwowasuremashita,26
racinghero,44
radmobile,35
radmobile,35
radrally,35
radrally,35
radrally,35
radiantsilvergun,62
rafflesia,10
railchase,35
railchase,35
razzmatazz,41
regulus,25
ribbit,25
ribbit,25
pythagorasnonazo,17
riotcity,65
robowres2001,53
roughracer,25
ryuukyuu,49
ryuukyuu,49
sakurataisenhanagumitaisencolumns,40
sanrinsanchan,25
sanrinsanchan,25
sdi,25
sdi,25
sdi,25
sdi,25
seabassfishing,2
segasonicbros,25
segasoniccosmofighter,25
segasoniccosmofighter,25
segasonicpopcornshop,26
segasonicthehedgehog,35
segasonicthehedgehog,35
scramblespirits,25
scramblespirits,25
scramblespirits,25
seishunscandal,10
seishunscandal,10
shadowdancer,25
shadowdancer,25
shadowdancer,25
shanghaibanrinochoujouthegreatwall,55
shienryuu,64
shinobi,25
shinobi,25
shinobi,25
shinobi,25
shinobi,25
shinobi,25
shinobi,25
slapshooter,25
slipstream,7
slipstream,7
snapper,24
soukyuugurentai,1
sonicboom,25
soreikeanpanmanpopcornkoujou,26
soreikeanpanmanpopcornkoujou,26
soreikekokology,34
soreikekokology,34
soreikekokology2,34
spaceharrier,25
spaceharrier,25
spaceposition,23
spidermanthevideogame,25
spidermanthevideogame,25
spidermanthevideogame,25
sportsfishing,38
sportfishing2,30
sportfishing2,30
stackcolumns,25
stackcolumns,25
stadiumcross,26
stadiumcross,26
stadiumcross,26
starjacker,25
starjacker,25
steepslopesliders,8
strikefighter,25
strikefighter,25
subroc3d,48
suikoenbu,11
sukebanjanshiryuuko,66
sukebanjanshiryuuko,66
superhangon,25
superhangon,25
superhangon,25
superhangon,25
superhangon,25
superhangon,25
superhangon,25
superleague,25
supermonacogp,25
supermonacogp,25
supermonacogp,25
superzaxxon,25
stressbusters,26
swat,10
taisentantrsasissu,26
taisentantrsasissu,28
tatacot,30
tatacot,30
technicalbowling,25
tecmoworldcup98,61
tecmoworldcup98,61
teddyboyblues,25
tetris,15
tetris,15
tetris,15
tetris,15
tetris,15
tetris,15
tetris,15
tetris,15
tetris,15
tokinosenshics,16
tokinosenshics,16
touryuudensetsuelandoree,51
toryuumon,19
thedestroyerfromjail,24
thejleague1994,26
thejleague1994,26
thejleague1994,26
thejleague1994,26
thejleague1994,26
thetougyuu,10
thetougyuu,25
thunderblade,25
thunderblade,25
thunderforceac,60
thunderforceac,60
thunderforceac,60
timescanner,25
timescanner,25
timescanner,25
titlefight,35
titlefight,35
titlefight,35
tokorosannomahmahjong,26
tokorosannomahmahjong2,26
turbo,25
turbo,25
turbo,25
turbo,25
turbo,25
turbo,25
turbo,25
turbooutrun,25
turbooutrun,25
turbooutrun,25
turbooutrun,25
turbooutrun,25
turbooutrun,25
toughturf,50
