game_id,region_id
4dwarriors,9
abcop,5
abcop,9
aceattacker,5
aceattacker,9
actionfighter,9
actionfighter,9
actionfighter,9
actionfighter,9
actionfighter,9
actionfighter,9
actionfighter,9
actionfighter,9
actionfighter,9
afterburner,9
afterburner2,9
afterburner2,3
airrescueac,5
airrescueac,8
airrescueac,9
alexkiddtls,9
alexkiddtls,9
alibaba,9
alibaba,9
alien3thegun,5
alien3thegun,8
alien3thegun,9
alienstorm,5
alienstorm,8
alienstorm,9
aliensyndrome,5
aliensyndrome,5
aliensyndrome,9
aliensyndrome,9
aliensyndrome,9
aliensyndrome,9
aliensyndrome,9
angelkids,5
appoooh,5
arabianfight,5
arabianfight,8
arabianfight,9
aromaclub,5
astrasuperstars,5
astroflash,5
astroflash,9
atomicpoint,6
aurail,5
aurail,8
aurail,9
bakubakuanimal,5
bakudanyaroulof,5
bakudanyaroulof,8
bakudanyaroulof,9
bankpanic,9
batmanforeverac,9
bayroute,5
bayroute,8
bayroute,9
blockgal,9
bloxeed,5
bloxeed,8
bloxeed,9
bonanzabros,5
bonanzabros,8
borench,5
borench,9
borench,9
brain,9
bullet,9
burningrival,5
burningrival,9
choplifter,9
choplifter,9
choplifter,9
clutchhitter,5
clutchhitter,8
columns,5
columns,8
columns,9
columns2tvtt,5
columns2tvtt,9
columns97,5
combarhawk,9
confobongo,9
confobongo,9
congobongo,9
crackdown,5
crackdown,8
crackdown,9
ddcrew,5
ddcrew,5
ddcrew,8
ddcrew,9
ddcrew,9
dakkochanhouse,9
danchidehanafudaokusankomeyadesuyo,5
danchidequizokusan4takudesuyo,5
dancingfever,5
dancingfevergold,5
darkedge,5
darkedge,9
decathlete,5
decathlete,8
desertbreaker,5
desertbreaker,9
doraemonnodokodemodoor,5
dottorikun,9
dottorikun,9
dragonballzvrvs,5
dumpmatsumoto,5
dumpmatsumoto,9
dunkshot,9
dunkshot,9
dunkshot,9
dynamiccc,5
dynamiccc,8
dynamiccc,9
dynamitedeka,5
dynamitedeka,8
dynamitedux,5
dynamitedux,9
dynamitedux,9
ejihontanteijimusho,5
enduroracer,9
enduroracer,9
enduroracer,9
enduroracer,9
eswat,5
eswat,5
eswat,8
eswat,9
exciteleague,9
f1exhaustnote,5
f1exhaustnote,8
f1exhaustnote,9
f1superlap,5
f1superlap,9
f1superlap,9
cotton,5
cotton,5
cotton,8
cotton,9
fantasyzone,9
fantasyzone,9
fantasyzone,9
fantasyzone,9
fantasyzone,9
fantasyzone,5
fantasyzone2oonn,5
fantasyzone2oonn,9
fantasyzone2oonn,9
finalarch,5
finalarch,8
finalfightrevenge,9
finalfightrevenge,9
flicky,9
flashpoint,5
flashpoint,5
funkyheadboxers,9
futurespy,9
glocairbattle,8
glocairbattle,9
glocairbattle,5
glocairbattle,9
gainground,5
gainground,9
galaxyforce2,5
galaxyforce2,5
galaxyforce2,9
galaxyforce2,9
gardia,5
gardia,9
goldenaxe,5
goldenaxe,8
goldenaxe,8
goldenaxe,8
goldenaxe,8
goldenaxe,9
goldenaxetheduel,9
goldenaxetroda,5
goldenaxetroda,8
goldenaxetroda,9
gonbeenoimsorry,5
gonbeenoimsorry,8
gprider,5
gprider,5
gprider,8
gprider,8
gprider,9
gprider,9
grooveonfightgouketsujiichizoku3,5
guardianforce,5
hammeraway,5
hangon,9
hangon,9
hangon,9
hangonjr,9
harddunk,5
harddunk,9
hashirepatcar,5
heavymetal,9
heavyweightchamp,5
heavyweightchamp,9
heavyweightchamp,9
holosseum,8
hotrod,5
hotrod,5
hotrod,9
hotrod,9
ixion,8
jumboozakisupermasters,5
jumboozakisupermasters,9
jumboozakisupermasters,9
juuouki,5
juuouki,5
juuouki,5
juuouki,9
juuouki,9
juuouki,9
juuouki,9
juuouki,9
jurassicparkac,5
jurassicparkac,5
jurassicparkac,5
jurassicparkac,9
karaokequizintrodondon,5
laserghost,5
laserghost,8
laserghost,9
laserghost,8
laserghost,9
lastsurvivor,5
lockonph,9
