game_id,tag_id
4dwarriors,48
abcop,354
abcop,355
aceattacker,409
aceattacker,410
actionfighter,143
actionfighter,142
actionfighter,142
actionfighter,348
actionfighter,348
actionfighter,349
actionfighter,349
actionfighter,144
actionfighter,144
afterburner,391
afterburner2,392
afterburner2,391
airrescueac,374
airrescueac,373
airrescueac,375
alexkiddtls,150
alexkiddtls,151
alibaba,42
alibaba,43
alien3thegun,376
alien3thegun,378
alien3thegun,377
alienstorm,250
alienstorm,296
alienstorm,251
aliensyndrome,63
aliensyndrome,68
aliensyndrome,64
aliensyndrome,65
aliensyndrome,66
aliensyndrome,67
aliensyndrome,69
angelkids,328
appoooh,216
arabianfight,188
arabianfight,188
arabianfight,189
aromaclub,54
astrasuperstars,313
astroflash,105
astroflash,106
atomicpoint,81
aurail,213
aurail,215
aurail,214
bakubakuanimal,78
bakudanyaroulof,379
bakudanyaroulof,379
bakudanyaroulof,380
bankpanic,37
batmanforeverac,240
bayroute,236
bayroute,235
bayroute,237
blockgal,16
bloxeed,276
bloxeed,278
bloxeed,277
bonanzabros,232
bonanzabros,233
borench,173
borench,174
borench,175
brain,127
bullet,332
burningrival,316
burningrival,317
choplifter,129
choplifter,128
choplifter,130
clutchhitter,284
clutchhitter,285
columns,82
columns,84
columns,83
columns2tvtt,82
columns2tvtt,83
columns97,78
combarhawk,38
confobongo,61
confobongo,60
congobongo,59
crackdown,230
crackdown,230
crackdown,231
ddcrew,299
ddcrew,249
ddcrew,299
ddcrew,249
ddcrew,295
dakkochanhouse,166
danchidehanafudaokusankomeyadesuyo,53
danchidequizokusan4takudesuyo,303
dancingfever,14
dancingfevergold,13
darkedge,310
darkedge,311
decathlete,183
decathlete,182
desertbreaker,297
desertbreaker,298
doraemonnodokodemodoor,91
dottorikun,92
dottorikun,93
dragonballzvrvs,261
dumpmatsumoto,264
dumpmatsumoto,263
dunkshot,403
dunkshot,404
dunkshot,405
dynamiccc,356
dynamiccc,356
dynamiccc,357
dynamitedeka,241
dynamitedeka,239
dynamitedux,161
dynamitedux,160
dynamitedux,162
ejihontanteijimusho,265
enduroracer,353
enduroracer,351
enduroracer,352
enduroracer,350
eswat,217
eswat,218
eswat,219
eswat,220
exciteleague,406
f1exhaustnote,427
f1exhaustnote,427
f1exhaustnote,428
f1superlap,433
f1superlap,433
f1superlap,434
cotton,131
cotton,132
cotton,133
cotton,134
fantasyzone,135
fantasyzone,136
fantasyzone,135
fantasyzone,135
fantasyzone,137
fantasyzone,197
fantasyzone2oonn,106
fantasyzone2oonn,138
fantasyzone2oonn,139
finalarch,180
finalarch,181
finalfightrevenge,314
finalfightrevenge,315
flicky,22
flashpoint,266
flashpoint,267
funkyheadboxers,262
futurespy,126
glocairbattle,386
glocairbattle,387
glocairbattle,386
glocairbattle,386
gainground,238
gainground,294
galaxyforce2,381
galaxyforce2,383
galaxyforce2,382
galaxyforce2,381
gardia,145
gardia,146
goldenaxe,246
goldenaxe,243
goldenaxe,247
goldenaxe,248
goldenaxe,242
goldenaxe,245
goldenaxetheduel,315
goldenaxetroda,300
goldenaxetroda,301
goldenaxetroda,302
gonbeenoimsorry,113
gonbeenoimsorry,114
gprider,363
gprider,363
gprider,363
gprider,363
gprider,363
gprider,364
grooveonfightgouketsujiichizoku3,312
guardianforce,253
hammeraway,257
hangon,359
hangon,358
hangon,360
hangonjr,361
harddunk,308
harddunk,309
hashirepatcar,396
heavymetal,140
heavyweightchamp,393
heavyweightchamp,394
heavyweightchamp,395
holosseum,168
hotrod,422
hotrod,423
hotrod,420
hotrod,421
ixion,320
jumboozakisupermasters,12
jumboozakisupermasters,10
jumboozakisupermasters,11
juuouki,223
juuouki,225
juuouki,229
juuouki,224
juuouki,226
juuouki,227
juuouki,228
juuouki,222
jurassicparkac,368
jurassicparkac,369
jurassicparkac,369
jurassicparkac,370
karaokequizintrodondon,89
laserghost,388
laserghost,388
laserghost,389
laserghost,390
laserghost,390
lastsurvivor,333
lockonph,164
mvp,282
mvp,283
cotton2,252
cottonboomerang,252
magicalzunoupower,185
majorleague,408
maruchandegoo,70
mausukenoojamatheworld,176
megumirescue,345
michaeljacksonsmoonwalkerac,292
michaeljacksonsmoonwalkerac,292
michaeljacksonsmoonwalkerac,293
misterviking,141
mograpper,15
movieclub,55
myfairladyvirtualmahjong2,98
nameclub,99
nameclubversion2,99
nameclubversion3,100
