tag_name,tag_id
#input:buttons>1 #players:1 #genre:notagame>redemption #arcadeboard:sega>stv #based:manganime #lang:ja #mameparent,1
#input:buttons>19 #players:1 #genre:board>mahjong #arcadeboard:sega>system24 #search:keyword>endorsed>brand #lang:ja #mameparent,2
#input:buttons>23 #players:1 #genre:board>mahjong #arcadeboard:sega>system16a #search:keyword>strip #set:1,3
#input:buttons>23 #players:1 #genre:board>mahjong #arcadeboard:sega>system16b #search:keyword>strip #set:2 #mameparent,4
#input:buttons>27 #players:1 #genre:board>mahjong #arcadeboard:sega>stv #lang:en #mameparent,5
#input:buttons>27 #players:1 #genre:board>mahjong #arcadeboard:sega>stv #search:keyword>strip #lang:ja #mameparent,6
#input:buttons>4 #players:4:vs #genre:quiz:puzzle #arcadeboard:sega>system32 #lang:ja,7
#input:buttons>4 #players:4:vs #genre:quiz:puzzle #arcadeboard:sega>system32 #mameparent,8
#input:buttons>4 #players:4:vs #genre:quiz:puzzle #arcadeboard:sega>system32 #rev:a #lang:ja #mameparent,9
#input:buttons>4:pedals>1 #players:2:vs #genre:sports>golf #arcadeboard:sega>system24,10
#input:buttons>4:pedals>1 #players:2:vs #genre:sports>golf #arcadeboard:sega>system24 #mameparent,11
#input:buttons>4:pedals>1 #players:2:vs #genre:sports>golf #arcadeboard:sega>system24 #search:keyword>endorsed,12
#input:buttons>6:pedals>1 #players:1 #genre:notagame>redemption #arcadeboard:sega>stv #search:keyword>endorsed #lang:ja,13
#input:buttons>6:pedals>1 #players:1 #genre:notagame>redemption:rhythm #arcadeboard:sega>stv #search:keyword>endorsed #lang:ja,14
#input:buttons>7 #players:1 #genre:rhythm:parlor>mogurataiji #arcadeboard:sega>stv #lang:ja,15
#input:dial:buttons>1 #players:2:alt #search:tate>cw #genre:action>blockbreaker #arcadeboard:sega>system1 #search:keyword>strip #mameparent,16
#input:dial:buttons>1 #players:2:coop #search:tate>cw #genre:shooting>gallery #arcadeboard:sega #mameparent,17
#input:dial:buttons>1 #players:2:vs #genre:action>blockbreaker #arcadeboard:sega>systemc2 #mameparent,18
#input:dial:buttons>2 #players:1 #search:tate>cw #genre:action>blockbreaker #arcadeboard:sega>systeme #mameparent,19
#input:dial:buttons>3 #players:1 #genre:notagame>popcorn #arcadeboard:sega>systemc2 #search:feature>sonic #mameparent,20
#input:joystick:buttons>1 #players:1 #genre:shooting>gallery #search:3d>stereo #arcadeboard:sega>vco #lang:en #mameparent,21
#input:joystick>2h:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:sega>system1 #mameparent,22
#input:joystick>2h:buttons>2 #players:1 #genre:notagame>purikura #arcadeboard:sega>systemc2,23
#input:joystick>2h:buttons>2 #players:1 #genre:notagame>purikura #arcadeboard:sega>systemc2 #mameparent,24
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:sega>system1 #search:franchise>wonderboy #set:1 #mameparent,25
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:sega>system1 #search:franchise>wonderboy #set:2,26
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:sega>system1 #search:franchise>wonderboy #set:3,27
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:sega>system1 #search:franchise>wonderboy #set:6,28
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:sega>system2 #search:franchise>wonderboy #set:1,29
#input:joystick>2h:buttons>2 #players:2:alt #genre:action>platformer #arcadeboard:sega>system2 #search:franchise>wonderboy #set:2,30
#input:joystick>2h:buttons>3 #players:1 #genre:notagame>popcorn #arcadeboard:sega>systemc2 #based:manganime #rev:a #lang:ja,31
#input:joystick>2h:buttons>3 #players:1 #genre:notagame>popcorn #arcadeboard:sega>systemc2 #based:manganime #rev:b #lang:ja #mameparent,32
#input:joystick>2h:buttons>3 #players:1 #genre:parlor>kiddieride #arcadeboard:sega>systemc2 #based:manganime #lang:ja #mameparent,33
#input:joystick>2h:buttons>3 #players:1 #genre:parlor>kiddieride #arcadeboard:sega>systemc2 #mameparent,34
#input:joystick>2h:buttons>3 #players:1 #genre:shmup>v #arcadeboard:sega>systemc2 #search:feature>sonic,35
#input:joystick>2h:buttons>3 #players:1 #genre:shmup>v #arcadeboard:sega>systemc2 #search:feature>sonic #mameparent,36
#input:joystick>2h:buttons>3 #players:2:alt #genre:shooting>gallery #arcadeboard:sega #mameparent,37
#input:joystick>2v:buttons>3 #players:2:alt #search:tate>ccw #genre:shooting>gallery #arcadeboard:sega #mameparent,38
#input:joystick>3:buttons>2 #players:2:alt #search:tate>ccw #genre:parlor>pinball #arcadeboard:sega>system16a #set:1,39
#input:joystick>3:buttons>2 #players:2:alt #search:tate>ccw #genre:parlor>pinball #arcadeboard:sega>system16b #set:2 #mameparent,40
#input:joystick>3:buttons>2 #players:2:alt #search:tate>ccw #genre:parlor>pinball #arcadeboard:sega>system16b #set:3,41
#input:joystick>4:buttons>1 #players:2:alt #search:tate>cw #genre:action>maze #arcadeboard:sega #mameparent,42
#input:joystick>4:buttons>1 #players:2:alt #search:tate>cw #genre:action>maze #arcadeboard:sega #unlicensed:bootleg,43
#input:joystick>4:buttons>1 #players:2:alt #search:tate>cw #genre:action>maze:puzzle #arcadeboard:sega #set:1 #rev:c #mameparent,44
