name,developer_id
8ing/Hudson,1
ADK,2
ADK/SNK,3
AM Factory/Paon,4
Aicom,5
Aicom/Sammy,6
Aiky/Taito,7
Alpha Denshi,8
Betop,9
BrezzaSoft,10
Data East,11
Eolith/BrezzaSoft,12
Eolith/Playmore,13
Evoga/Noise Factory,14
Face,15
Hudson,16
Kyle Hodgetts,17
MEGA/Noise Factory/BrezzaSoft,18
Monolith,19
NG:Dev.Team,20
NMK,21
Nazca,22
Noise Factory,23
Pallas/SNK,24
Pasadena International,25
Phoenixsoft/Eolith/BrezzaSoft,26
Psikyo,27
Racjin/Red Entertainment,28
SNK,29
SNK NeoGeo,30
SNK Playmore,31
Saurus,32
Saurus/SNK,33
Saurus/System Vision,34
Saurus/Yumekobo,35
Sunsoft,36
Taito,37
Technōs,38
Tecmo,39
Toy Pops,40
Vektorlogic,41
Viccom/SNK,42
Viccom/Saurus/SNK,43
Video System,44
Visco,45
Wave,46
Yuki,47
Yumekobo,48
