game_id,developer_id
androdunos,45
ashitanojoedensetsu,46
asoarmoredscrumobject,29
asoarmoredscrumobject,29
asoarmoredscrumobject,29
aso2lastguardian,29
aso2lastguardian,29
athena,29
athena,29
athena,29
bakatonosamamahjongmanyuuki,19
bakumatsuromangekkanokenshi,29
bakumatsuromangekkanokenshi,29
bakumatsuromandainimakugekkanokenshi,29
bangbead,45
bangbangbusters,45
baseballstarsprofessional,29
baseballstars2,29
battlefield,8
battlefield,8
battlefield,8
battlefield,8
battleflipshot,45
beastbusters,29
beastbusters,29
beastbusters,29
beastbusters,29
beastbusters,29
worldwars,29
worldwars,29
worldwars,29
bigtournamentgolf,22
blazingstar,48
panicbomber,1
breakers,45
breakersrevenge,45
burningfight,29
burningfight,29
burningfight,29
burningfight,29
captaintomaday,45
canvascroquis,29
marukodeluxequiz,9
chojingakuengowcaizer,38
choutetsubrikinger,32
choutetsubrikinger,32
countryclub,29
crossedswords,8
cyperlip,29
datsugokuprisionersofwar,29
datsugokuprisionersofwar,29
datsugokuprisionersofwar,29
diggerman,17
dogousouken,29
dogousouken,29
doubledragon,38
dragonsheaven,40
dunkdream,11
eightman,24
fantasy,29
fantasy,29
fantasy,29
fantasy,29
tengaimakyoushinden,28
fightershistorydynamite,11
fightinggolf,29
fightinggolf,29
fightinggolf,29
fightingsoccer,29
fightingsoccer,29
fightingsoccer,29
fightingsoccer,29
firesuplex,29
flyingpowerdisk,11
footballfrenzy,29
futsal5on5minisoccer,32
fuuunsupertagbattle,29
fuuunsupertagbattle,29
fuuunmokushiroku,29
galaxyfightuniversalwarriors,36
gangwars,8
gangwars,8
gangwars,8
gangwars,8
gapporin,44
garoudensetsusnt,29
garoudensetsu2at,29
garoudensetsu3ht,29
garoudensetsuspecial,29
garoudensetsuspecial,29
gaourmarkofthewolves,29
gaourmarkofthewolves,29
gaourmarkofthewolves,29
genshitou1930,29
genshitou1930,29
genshitou1930,29
genshitou1930,29
genshitou1930,29
ghostpilots,29
ghostpilots,29
ghostlop,11
gladiator1984,29
goalgoalgoal,45
goldmedalist,8
guevara,29
guevara,29
guevara,29
guevara,29
guevara,29
gururin,15
idolmahjongfinalromance2,44
janshindensetsuquestofjongmaster,5
jockeygrandprix,10
jockeygrandprix,10
joyjoykid,29
hal21,29
hal21,29
ikari,29
ikari,29
ikari,29
ikari,29
ikari,29
ikari,29
ikari,29
ikari3,29
ikari3,29
ikari3,29
ikari3,29
ikari3,29
joyfulroad,29
joyfulroad,29
jumpingcross,29
jumpingcross,29
kingofthemonsters,29
kingofthemonsters2,29
kingofthemonsters2,29
kingofthemonsters2,29
koukuukiheimonogatari,29
koukuukiheimonogatari,29
koukuukiheimonogatari,29
koukuukiheimonogatari,29
kuniononekketsutoukyuudensetsu,38
lasso,29
lasthope,20
lastresort,29
lastresort,29
leaguebowling,29
madcrusher,29
madcrusher,29
magicaldrop2,11
magicaldrop3,11
magicianlord,8
mahjongblockjongbou,29
mahjongkyouretsuden,29
mainevent,29
marvinsmaze,29
mechanizedattack,29
mechanizedattack,29
mechanizedattack,29
mechanizedattack,29
meijinsen,29
meijinsen,29
metalslug,22
metalslug2,29
metalslug2,29
metalslug3,29
metalslug3,29
metalslug3,29
metalslug4,18
metalslug4,18
metalslug5,31
metalslug5,31
metalslug5,31
metalslugx,29
minasannookagesamadesudst,19
miracleadventure,11
moneyidolexchanger,15
musashiganryuki,45
mutationnation,29
nam1975,29
neobomberman,16
neodriftout,45
neomrdo,45
neogeocup98trttv,29
nightmareinthedark,4
nightmareinthedark,4
ninjacombat,8
ninjacommando,8
ninjamastershnc,3
operationragnarok,21
oshidashizentrix,2
overtop,2
ozmawars,29
ozmawars,29
ozmawars,29
ozmawars,29
ozmawars,29
paddlemania,29
pioneerballoon,29
pioneerballoon,29
pochitonyaa,7
pochitonyaa,7
supervolley94,44
prehistoricisle2,35
psychosoldier,29
psychosoldier,29
pulstar,5
puzzlebobble,37
puzzlebobble,37
puzzlebobble2,37
puzzledepon,45
puzzledeponr,45
quizdaisousasen,29
quizdaisousasen,42
quizthekingoffighters,33
quizthekingoffighters,43
quizdaisousasenneoandgeoqdp2,29
rageofthedragons,14
raguy,8
realboutgaroudensetsu,29
realboutgaroudensetsu,29
realboutgaroudensetsu,29
realboutgaroudensetsu,29
realboutgaroudensetsu2thenewcomers,29
realboutgaroudensetsu2thenewcomers,29
realboutspecial,29
realboutspecial,29
ridinghero,29
roboarmy,29
roboarmy,29
ryuukonoken,29
ryuukonoken2,29
artoffightingryuukonokengaiden,29
artoffightingryuukonokengaiden,29
safarirally,29
safarirally,29
samuraispirits,29
samuraispiritshj,29
samuraispiritshj,29
samuraispiritszm,29
samuraispiritszm,29
samuraispiritsak,29
samuraispiritsak,29
samuraispiritszero,47
samuraispiritszero,47
samuraispiritszero,47
samuraispiritszerospecial,47
sarsearchandrescue,29
sarsearchandrescue,29
sarsearchandrescue,29
sasukevscommander,29
satanofsaturn,29
satanofsaturn,29
satanofsaturn,29
satanofsaturn,29
sengokudenshou,29
sengokudenshou2,29
sengokudenshou2001,23
toukonmatrimelee,23
toukonmatrimelee,23
shinouken,34
shocktroopers,32
shocktroopers,32
shocktroopers2ndsquad,32
shocktroopers2ndsquad,32
shouginotatsujin,3
skyadventure,8
skyadventure,8
skyadventure,8
skysoldiers,8
skysoldiers,8
soccerbrawl,29
sonicwings2,44
sonicwings3,44
stakeswinner,32
stakeswinner,32
stakeswinner2,32
streetsmart,29
streetsmart,29
streetsmart,29
streetsmart,29
strikers1945plus,27
superchampionbaseball,8
superchampionbaseball,8
superbaseball2020,24
superbaseball2020,24
superbubblepop,41
svcchaossnkvscapcom,31
svcchaossnkvscapcom,31
svcchaossnkvscapcom,31
svcchaossnkvscapcom,31
svcchaossnkvscapcom,31
tank,29
tank,29
tank,29
tecmoworldsoccer96,39
thekingoffighters94,29
thekingoffighters95,29
thekingoffighters95,29
thekingoffighters96,29
thekingoffighters97,29
thekingoffighters97,29
thekingoffighters97,29
thekingoffighters97,29
thekingoffighters97,29
thekingoffighters98dmne,29
thekingoffighters98dmne,29
thekingoffighters98dmne,29
thekingoffighters98dmne,29
thekingoffighters99mb,29
thekingoffighters99mb,29
thekingoffighters99mb,29
thekingoffighters99mb,29
thekingoffighters99mb,29
thekingoffighters2000,29
thekingoffighters2000,29
thekingoffighters2001,12
thekingoffighters2001,26
thekingoffighters2001,26
thekingoffighters2001,26
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2002ctub,13
thekingoffighters2003,30
thekingoffighters2003,30
thekingoffighters2003,30
thekingoffighters2003,30
thekingoffighters2003,30
thenextspace,25
thenextspace,25
thenextspace,25
thesuperspy,29
trashrally,8
tokutenou,29
tokutenou2realfightfootball,29
tokutenou3eikouenomichi,29
tokutenouhonoonolibero,29
tophunterroddyandcathy,29
topplayersgolf,29
touchdownfever,29
touchdownfever,29
touchdownfever,29
touchdownfever,29
tsuukaigangankoushinkyoku,2
twinklestarsprites,2
ultradenryuuiararabou,33
vliner,10
vliner,10
vliner,10
vliner,10
vliner,10
vanguard,29
vanguard,29
vanguard,29
vanguard,29
vanguard2,29
viewpoint,6
viewpoint,6
wakuwaku7,36
wangjungwang,42
wangjungwang,42
worldheroes,8
worldheroes2,2
worldheroes2jet,2
worldheroesperfect,2
zupapa,29
