game_id,region_id
androdunos,6
ashitanojoedensetsu,6
asoarmoredscrumobject,3
asoarmoredscrumobject,6
asoarmoredscrumobject,6
aso2lastguardian,6
aso2lastguardian,6
athena,3
athena,3
athena,6
bakatonosamamahjongmanyuuki,3
bakumatsuromangekkanokenshi,6
bakumatsuromangekkanokenshi,4
bakumatsuromandainimakugekkanokenshi,6
bangbead,6
bangbangbusters,6
baseballstarsprofessional,6
baseballstars2,6
battlefield,3
battlefield,3
battlefield,5
battlefield,5
battleflipshot,6
beastbusters,3
beastbusters,3
beastbusters,5
beastbusters,5
beastbusters,6
worldwars,3
worldwars,6
worldwars,6
bigtournamentgolf,6
blazingstar,6
panicbomber,6
breakers,6
breakersrevenge,6
burningfight,6
burningfight,6
burningfight,6
burningfight,6
captaintomaday,6
canvascroquis,6
marukodeluxequiz,3
chojingakuengowcaizer,6
choutetsubrikinger,6
choutetsubrikinger,6
countryclub,6
crossedswords,6
cyperlip,6
datsugokuprisionersofwar,3
datsugokuprisionersofwar,5
datsugokuprisionersofwar,5
diggerman,6
dogousouken,3
dogousouken,6
doubledragon,6
dragonsheaven,6
dunkdream,6
eightman,6
fantasy,3
fantasy,5
fantasy,2
fantasy,2
tengaimakyoushinden,6
fightershistorydynamite,6
fightinggolf,5
fightinggolf,5
fightinggolf,6
fightingsoccer,3
fightingsoccer,6
fightingsoccer,6
fightingsoccer,6
firesuplex,6
flyingpowerdisk,6
footballfrenzy,6
futsal5on5minisoccer,6
fuuunsupertagbattle,6
fuuunsupertagbattle,6
fuuunmokushiroku,6
galaxyfightuniversalwarriors,6
gangwars,3
gangwars,5
gangwars,6
gangwars,6
gapporin,6
garoudensetsusnt,6
garoudensetsu2at,6
garoudensetsu3ht,6
garoudensetsuspecial,6
garoudensetsuspecial,6
gaourmarkofthewolves,6
gaourmarkofthewolves,6
gaourmarkofthewolves,6
genshitou1930,3
genshitou1930,5
genshitou1930,6
genshitou1930,6
genshitou1930,4
ghostpilots,6
ghostpilots,6
ghostlop,6
gladiator1984,6
goalgoalgoal,6
goldmedalist,6
guevara,3
guevara,5
guevara,6
guevara,6
guevara,6
gururin,6
idolmahjongfinalromance2,3
janshindensetsuquestofjongmaster,3
jockeygrandprix,6
jockeygrandprix,6
joyjoykid,6
hal21,3
hal21,6
ikari,3
ikari,3
ikari,5
ikari,5
ikari,5
ikari,6
ikari,5
ikari3,3
ikari3,4
ikari3,5
ikari3,6
ikari3,6
joyfulroad,3
joyfulroad,5
jumpingcross,6
jumpingcross,6
kingofthemonsters,6
kingofthemonsters2,6
kingofthemonsters2,6
kingofthemonsters2,6
koukuukiheimonogatari,3
koukuukiheimonogatari,5
koukuukiheimonogatari,5
koukuukiheimonogatari,5
kuniononekketsutoukyuudensetsu,6
lasso,6
lasthope,6
lastresort,6
lastresort,6
leaguebowling,6
madcrusher,3
madcrusher,6
magicaldrop2,6
magicaldrop3,6
magicianlord,6
mahjongblockjongbou,3
mahjongkyouretsuden,3
mainevent,6
marvinsmaze,6
mechanizedattack,3
mechanizedattack,5
mechanizedattack,5
mechanizedattack,6
meijinsen,3
meijinsen,3
metalslug,6
metalslug2,6
metalslug2,6
metalslug3,6
metalslug3,6
metalslug3,6
metalslug4,6
metalslug4,6
metalslug5,6
metalslug5,6
metalslug5,6
metalslugx,6
minasannookagesamadesudst,3
miracleadventure,6
moneyidolexchanger,6
musashiganryuki,6
mutationnation,6
nam1975,6
neobomberman,6
neodriftout,6
neomrdo,6
neogeocup98trttv,6
nightmareinthedark,6
nightmareinthedark,6
ninjacombat,6
ninjacommando,6
ninjamastershnc,6
operationragnarok,6
oshidashizentrix,6
overtop,6
ozmawars,6
ozmawars,6
ozmawars,6
ozmawars,6
ozmawars,5
paddlemania,6
pioneerballoon,5
pioneerballoon,6
pochitonyaa,6
pochitonyaa,6
supervolley94,6
prehistoricisle2,6
psychosoldier,3
psychosoldier,5
pulstar,6
puzzlebobble,6
puzzlebobble,6
puzzlebobble2,6
puzzledepon,6
puzzledeponr,6
quizdaisousasen,3
quizdaisousasen,4
quizthekingoffighters,3
quizthekingoffighters,4
quizdaisousasenneoandgeoqdp2,3
rageofthedragons,6
raguy,6
realboutgaroudensetsu,6
realboutgaroudensetsu,6
realboutgaroudensetsu,4
realboutgaroudensetsu,4
realboutgaroudensetsu2thenewcomers,6
realboutgaroudensetsu2thenewcomers,4
realboutspecial,6
realboutspecial,4
ridinghero,6
roboarmy,6
roboarmy,6
ryuukonoken,6
ryuukonoken2,6
artoffightingryuukonokengaiden,6
artoffightingryuukonokengaiden,4
safarirally,3
safarirally,6
samuraispirits,6
samuraispiritshj,6
samuraispiritshj,4
samuraispiritszm,6
samuraispiritszm,4
samuraispiritsak,6
samuraispiritsak,4
samuraispiritszero,6
samuraispiritszero,6
samuraispiritszero,6
samuraispiritszerospecial,6
sarsearchandrescue,3
sarsearchandrescue,5
sarsearchandrescue,6
sasukevscommander,3
satanofsaturn,6
satanofsaturn,6
satanofsaturn,6
satanofsaturn,5
sengokudenshou,6
sengokudenshou2,6
sengokudenshou2001,6
toukonmatrimelee,6
toukonmatrimelee,6
shinouken,6
shocktroopers,6
shocktroopers,6
shocktroopers2ndsquad,6
shocktroopers2ndsquad,6
shouginotatsujin,3
skyadventure,3
skyadventure,5
skyadventure,6
skysoldiers,5
skysoldiers,5
soccerbrawl,6
sonicwings2,6
sonicwings3,6
stakeswinner,6
stakeswinner,6
stakeswinner2,6
streetsmart,3
streetsmart,5
streetsmart,5
streetsmart,6
strikers1945plus,6
superchampionbaseball,3
superchampionbaseball,5
superbaseball2020,6
superbaseball2020,6
superbubblepop,6
svcchaossnkvscapcom,6
svcchaossnkvscapcom,6
svcchaossnkvscapcom,6
