game_id,tag_id
androdunos,84
ashitanojoedensetsu,59
asoarmoredscrumobject,143
asoarmoredscrumobject,142
asoarmoredscrumobject,142
aso2lastguardian,139
aso2lastguardian,140
athena,71
athena,72
athena,72
bakatonosamamahjongmanyuuki,57
bakumatsuromangekkanokenshi,177
bakumatsuromangekkanokenshi,158
bakumatsuromandainimakugekkanokenshi,177
bangbead,154
bangbangbusters,75
baseballstarsprofessional,194
baseballstars2,194
battlefield,215
battlefield,216
battlefield,213
battlefield,214
battleflipshot,154
beastbusters,227
beastbusters,225
beastbusters,227
beastbusters,227
beastbusters,228
worldwars,93
worldwars,94
worldwars,94
bigtournamentgolf,154
blazingstar,84
panicbomber,29
breakers,177
breakersrevenge,177
burningfight,167
burningfight,168
burningfight,168
burningfight,168
captaintomaday,138
canvascroquis,52
marukodeluxequiz,3
chojingakuengowcaizer,192
choutetsubrikinger,136
choutetsubrikinger,137
countryclub,108
crossedswords,36
cyperlip,126
datsugokuprisionersofwar,132
datsugokuprisionersofwar,130
datsugokuprisionersofwar,135
diggerman,31
dogousouken,211
dogousouken,207
doubledragon,177
dragonsheaven,184
dunkdream,106
eightman,119
fantasy,49
fantasy,46
fantasy,47
fantasy,48
tengaimakyoushinden,177
fightershistorydynamite,177
fightinggolf,110
fightinggolf,111
fightinggolf,109
fightingsoccer,217
fightingsoccer,218
fightingsoccer,116
fightingsoccer,116
firesuplex,193
flyingpowerdisk,107
footballfrenzy,198
futsal5on5minisoccer,199
fuuunsupertagbattle,177
fuuunsupertagbattle,200
fuuunmokushiroku,177
galaxyfightuniversalwarriors,177
gangwars,129
gangwars,129
gangwars,130
gangwars,131
gapporin,56
garoudensetsusnt,151
garoudensetsu2at,177
garoudensetsu3ht,177
garoudensetsuspecial,177
garoudensetsuspecial,191
gaourmarkofthewolves,177
gaourmarkofthewolves,185
gaourmarkofthewolves,183
genshitou1930,81
genshitou1930,78
genshitou1930,79
genshitou1930,80
genshitou1930,82
ghostpilots,88
ghostpilots,89
ghostlop,77
gladiator1984,60
goalgoalgoal,157
goldmedalist,2
guevara,210
guevara,207
guevara,208
guevara,209
guevara,91
gururin,37
idolmahjongfinalromance2,1
janshindensetsuquestofjongmaster,34
jockeygrandprix,50
jockeygrandprix,51
joyjoykid,37
hal21,93
hal21,94
ikari,206
ikari,92
ikari,206
ikari,208
ikari,209
ikari,207
ikari,90
ikari3,223
ikari3,123
ikari3,222
ikari3,222
ikari3,122
joyfulroad,205
joyfulroad,204
jumpingcross,63
jumpingcross,64
kingofthemonsters,147
kingofthemonsters2,144
kingofthemonsters2,145
kingofthemonsters2,146
koukuukiheimonogatari,69
koukuukiheimonogatari,66
koukuukiheimonogatari,67
koukuukiheimonogatari,68
kuniononekketsutoukyuudensetsu,197
lasso,35
lasthope,118
lastresort,84
lastresort,85
leaguebowling,30
madcrusher,61
madcrusher,62
magicaldrop2,20
magicaldrop3,24
magicianlord,58
mahjongblockjongbou,4
mahjongkyouretsuden,32
mainevent,203
marvinsmaze,26
mechanizedattack,225
mechanizedattack,224
mechanizedattack,225
mechanizedattack,226
meijinsen,100
meijinsen,101
metalslug,126
metalslug2,126
metalslug2,128
metalslug3,125
metalslug3,126
metalslug3,127
metalslug4,162
metalslug4,165
metalslug5,162
metalslug5,165
metalslug5,165
metalslugx,126
minasannookagesamadesudst,43
miracleadventure,121
moneyidolexchanger,102
musashiganryuki,120
mutationnation,76
nam1975,141
neobomberman,28
neodriftout,21
neomrdo,27
neogeocup98trttv,154
nightmareinthedark,22
nightmareinthedark,23
ninjacombat,55
ninjacommando,40
ninjamastershnc,177
operationragnarok,83
oshidashizentrix,152
overtop,15
ozmawars,5
ozmawars,6
ozmawars,7
ozmawars,7
ozmawars,7
paddlemania,117
pioneerballoon,53
pioneerballoon,54
pochitonyaa,41
pochitonyaa,42
supervolley94,115
prehistoricisle2,84
psychosoldier,73
psychosoldier,71
pulstar,83
puzzlebobble,12
puzzlebobble,13
puzzlebobble2,11
puzzledepon,11
puzzledeponr,11
quizdaisousasen,44
quizdaisousasen,45
quizthekingoffighters,44
quizthekingoffighters,45
quizdaisousasenneoandgeoqdp2,44
rageofthedragons,177
raguy,39
realboutgaroudensetsu,177
realboutgaroudensetsu,178
realboutgaroudensetsu,187
realboutgaroudensetsu,188
realboutgaroudensetsu2thenewcomers,177
realboutgaroudensetsu2thenewcomers,187
realboutspecial,177
realboutspecial,187
ridinghero,25
roboarmy,134
roboarmy,133
ryuukonoken,177
ryuukonoken2,177
artoffightingryuukonokengaiden,186
artoffightingryuukonokengaiden,175
safarirally,8
safarirally,9
samuraispirits,177
samuraispiritshj,177
samuraispiritshj,169
samuraispiritszm,177
samuraispiritszm,169
samuraispiritsak,177
samuraispiritsak,169
samuraispiritszero,179
samuraispiritszero,181
samuraispiritszero,185
samuraispiritszerospecial,177
sarsearchandrescue,215
sarsearchandrescue,211
sarsearchandrescue,212
sasukevscommander,70
satanofsaturn,17
satanofsaturn,18
satanofsaturn,19
satanofsaturn,16
sengokudenshou,134
sengokudenshou2,166
sengokudenshou2001,166
toukonmatrimelee,177
toukonmatrimelee,185
shinouken,177
shocktroopers,163
shocktroopers,164
shocktroopers2ndsquad,126
shocktroopers2ndsquad,124
shouginotatsujin,33
skyadventure,142
skyadventure,142
skyadventure,143
skysoldiers,96
skysoldiers,99
soccerbrawl,113
sonicwings2,88
sonicwings3,88
stakeswinner,103
stakeswinner,104
stakeswinner2,153
streetsmart,148
streetsmart,149
streetsmart,150
streetsmart,148
strikers1945plus,88
superchampionbaseball,155
superchampionbaseball,156
superbaseball2020,195
superbaseball2020,196
superbubblepop,10
svcchaossnkvscapcom,177
svcchaossnkvscapcom,185
svcchaossnkvscapcom,180
svcchaossnkvscapcom,182
svcchaossnkvscapcom,185
tank,206
tank,207
tank,91
tecmoworldsoccer96,157
thekingoffighters94,177
thekingoffighters95,177
thekingoffighters95,176
thekingoffighters96,177
thekingoffighters97,177
thekingoffighters97,169
thekingoffighters97,185
thekingoffighters97,173
thekingoffighters97,173
thekingoffighters98dmne,177
thekingoffighters98dmne,176
thekingoffighters98dmne,170
thekingoffighters98dmne,172
thekingoffighters99mb,176
thekingoffighters99mb,177
thekingoffighters99mb,169
thekingoffighters99mb,169
thekingoffighters99mb,183
thekingoffighters2000,177
thekingoffighters2000,176
thekingoffighters2001,177
thekingoffighters2001,174
thekingoffighters2001,174
thekingoffighters2001,174
thekingoffighters2002ctub,177
thekingoffighters2002ctub,185
thekingoffighters2002ctub,173
thekingoffighters2002ctub,173
thekingoffighters2002ctub,173
thekingoffighters2002ctub,173
thekingoffighters2002ctub,171
thekingoffighters2002ctub,159
thekingoffighters2002ctub,173
thekingoffighters2002ctub,173
thekingoffighters2003,177
thekingoffighters2003,180
thekingoffighters2003,182
thekingoffighters2003,173
thekingoffighters2003,173
thenextspace,95
thenextspace,97
thenextspace,98
thesuperspy,38
trashrally,14
tokutenou,114
tokutenou2realfightfootball,157
tokutenou3eikouenomichi,157
tokutenouhonoonolibero,157
tophunterroddyandcathy,39
topplayersgolf,112
touchdownfever,219
touchdownfever,220
touchdownfever,219
touchdownfever,221
tsuukaigangankoushinkyoku,151
twinklestarsprites,105
ultradenryuuiararabou,229
vliner,201
vliner,201
vliner,201
vliner,201
vliner,202
vanguard,160
vanguard,160
vanguard,160
vanguard,161
vanguard2,65
viewpoint,86
viewpoint,87
wakuwaku7,177
wangjungwang,189
wangjungwang,190
worldheroes,151
worldheroes2,151
worldheroes2jet,151
worldheroesperfect,177
zupapa,74
