name,publisher_id
Centuri,1
Data East,2
Dyna,3
Face,4
Inder,5
Model Racing,6
Monolith,7
NAMCO,8
NG:Dev.Team,9
Playmore/BrezzaSoft,10
Playmore/Eolith,11
Playmore/Sun Amusement,12
Rock-Ola,13
Romstar/SNK,14
SNK,15
SNK Playmore,16
SNK/ADK,17
SNK/Alpha Denshi,18
SNK/Data East,19
SNK/Eleven/Gavaking,20
SNK/Face,21
SNK/Hudson,22
SNK/Monolith,23
SNK/Psikyo,24
SNK/Sammy,25
SNK/Saurus,26
SNK/Sunsoft,27
SNK/Taito,28
SNK/Takara,29
SNK/Technōs,30
SNK/Tecmo,31
SNK/Viccom,32
SNK/Video System,33
SNK/Visco,34
SNK/Wave,35
SNK/Yumekobo,36
Saurus,37
Sun Amusement,38
Taito,39
Taito/Video System,40
The Game Room,41
Tradewest,42
Vektorlogic,43
Video System,44
Visco,45
Zilec,46
