tag_name,tag_id
#input:buttons>19 #players:2:vs #genre:board>mahjong #arcadeboard:snk>mvs #search:keyword>strip #lang:ja #unlicensed:aftermarket:bootleg #mameparent,1
#input:buttons>3 #players:4:vs #genre:sports>decathlon #arcadeboard:snk #lang:en #mameparent,2
#input:buttons>4 #players:2:vs #genre:quiz #based:manganime #arcadeboard:snk>mvs #lang:ja #mameparent,3
#input:dial:buttons>2 #players:2:alt #genre:action>blockbreaker #search:tate>cw #lang:en #mameparent,4
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:snk #lang:en #set:1 #mameparent,5
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:snk #lang:en #set:2,6
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>ccw #genre:shmup #arcadeboard:snk #lang:en #unlicensed:bootleg,7
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:action>maze:racing #arcadeboard:snk #lang:en,8
#input:joystick>2h:buttons>1 #players:2:alt #search:tate>cw #genre:action>maze:racing #arcadeboard:snk #lang:en #mameparent,9
#input:joystick>2h:buttons>1 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #lang:en #unlicensed:aftermarket #mameparent,10
#input:joystick>2h:buttons>1 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #lang:ja:en #mameparent,11
#input:joystick>2h:buttons>1 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #port:arcade #lang:ja:en #mameparent,12
#input:joystick>2h:buttons>1 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #port:arcade #lang:ja:en #unlicensed:bootleg,13
#input:joystick>2h:buttons>2 #players:1 #genre:racing #arcadeboard:snk>mvs #lang:en #mameparent,14
#input:joystick>2h:buttons>2 #players:1 #genre:racing #arcadeboard:snk>mvs #lang:ja:en #mameparent,15
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:snk #lang:en,16
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:snk #lang:en #set:1 #mameparent,17
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:snk #lang:en #set:2,18
#input:joystick>2h:buttons>2 #players:2:alt #search:tate>cw #genre:shmup #arcadeboard:snk #lang:en #unlicensed:bootleg,19
#input:joystick>2h:buttons>2 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #lang:ja:en #mameparent,20
#input:joystick>2h:buttons>2 #players:2:vs #genre:racing #arcadeboard:snk>mvs #lang:en #mameparent,21
#input:joystick>2h:buttons>3 #players:2:coop #genre:action>platformer #arcadeboard:snk>mvs #lang:ja:en #mameparent,22
#input:joystick>2h:buttons>3 #players:2:coop #genre:action>platformer #arcadeboard:snk>mvs #lang:ja:en #unlicensed:bootleg,23
#input:joystick>2h:buttons>3 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #lang:ja:en #mameparent,24
#input:joystick>2h:buttons>3 #players:2:vs #genre:racing:sports>motogp #arcadeboard:snk>mvs #lang:ja:en #mameparent,25
#input:joystick>4:buttons>1 #players:2:alt #search:tate>ccw #genre:action>maze #arcadeboard:snk #lang:en #mameparent,26
#input:joystick>4:buttons>1 #players:2:coop #genre:action>maze #arcadeboard:snk>mvs #lang:en #mameparent,27
#input:joystick>4:buttons>1 #players:2:coop:vs #genre:action>maze #arcadeboard:snk>mvs #lang:ja:en #mameparent,28
#input:joystick>4:buttons>1 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #lang:ja:en #mameparent,29
#input:joystick>4:buttons>1 #players:4:vs #genre:parlor>bowling #arcadeboard:snk>mvs #lang:ja:en #mameparent,30
#input:joystick>4:buttons>2 #players:1 #genre:action>maze:puzzle #arcadeboard:snk>mvs #lang:en #unfinished:proto #mameparent,31
