game_id,developer_id
2minutedrill,12
2minutedrill,12
fortylove,12
fortylove,12
aaeikounokoushien,12
adventurecanoe,12
airinferno,12
airinferno,12
airinferno,12
akkanbeder,12
akkanbeder,12
akkanbeder,12
alpineski,12
alpineski,12
americanhorseshoes,12
aquajack,12
aquajack,12
aquajack,12
arabianmagic,12
arabianmagic,12
arabianmagic,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoidrevengeofdoh,12
arkanoidrevengeofdoh,12
arkanoidrevengeofdoh,12
arkanoidrevengeofdoh,12
arkanoidreturns,12
arkanoidreturns,12
arkanoidreturns,12
ashitanojoe,17
ashitanojoe,17
ashurablaster,16
ashurablaster,16
ashurablaster,16
asukaandasuka,12
asukaandasuka,12
asukaandasuka,12
balloonbomber,12
balloonbrothers,4
battleshark,12
battleshark,12
battleshark,12
battleshark,12
benberobeh,12
bigeventgolf,12
bigeventgolf,12
bioattack,12
birdieking,12
birdieking2,12
birdieking3,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblememoriesthestoryofbubblebobble3,12
bubblememoriesthestoryofbubblebobble3,12
bubblememoriesthestoryofbubblebobble3,12
bubblesymphony,12
bubblesymphony,12
bubblesymphony,12
bubblesymphony,12
bubblesymphony,12
bubblesymphony,12
bubblesymphony,12
buggychallenge,12
buggychallenge,12
bygone,12
cachat,12
cachat,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cadash,12
cameltry,12
cameltry,12
cameltry,12
chacknpop,12
championwrestler,12
championwrestler,12
championwrestler,12
changelanes,12
taitochasehq,12
taitochasehq,12
taitochasehq,12
taitochasehq,12
chasebombers,12
chasebombers,12
chasebombers,12
chuukataisen,8
chuukataisen,8
chuukataisen,8
chuukataisen,8
cleopatrafortune,12
cleopatrafortune,12
colony7,12
colony7,12
commandwar,12
complexx,12
continentalcircus,12
continentalcircus,12
continentalcircus,12
continentalcircus,12
cosmoscircuit,12
crayonshinchanoratoasobo,12
crazyballoon,12
crazyballoon,12
crimecity,12
crimecity,12
crimecity,12
cubypop,8
daisenpuu,12
daisenpuu,12
daisenpuu,12
darius,12
darius,12
darius,12
darius,12
darius,12
darius2,12
darius2,12
darius2,12
darius2,12
dariusgaiden,12
dariusgaiden,12
dariusgaiden,12
dariusgaiden,12
daikaijuunogyakushuu,12
deadconnection,12
deadconnection,12
dinorex,12
dinorex,12
dinorex,12
dondokodon,12
dondokodon,12
dondokodon,12
driftout,16
driftout,16
driftout,16
driftout,16
drtoppeltankentai,10
drtoppeltankentai,10
drtoppeltankentai,10
dynamiteleague,12
dynamiteleague,12
elevatoraction,12
elevatoraction,12
elevatoraction,12
elevatoractionreturns,12
elevatoractionreturns,12
elevatoractionreturns,12
enforce,12
enforce,12
enforce,12
eurochamp92,12
eurochamp92,12
excitingkusayakyuu,12
extermination,12
extermination,12
extermination,12
extermination,12
exzisus,12
exzisus,12
exzisus,12
fieldgoal,12
fieldgoal,12
fightinghawk,7
fightinghawk,7
finalblow,12
finalblow,12
finalblow,12
firebattle,20
flipullaecg,12
flipullaecg,12
flipullaecg,12
flipullaecg,12
flipullaecg,12
fullthrottle,12
fullthrottle,12
fullthrottle,12
galacticstorm,12
galmedes,16
gekirindan,12
gekirindan,12
gigandes,4
gigandes,4
gigandes,4
goforthegold,12
goforthegold,12
grandchampion,12
grandchampion,12
grandchampion,12
greatswordsman,1
greatswordsman,1
gridseekerprojectstormhammer,12
gridseekerprojectstormhammer,12
gridseekerprojectstormhammer,12
groundeffects,12
gunfrontier,12
gunfrontier,12
gunbuster,12
gunbuster,12
gunbuster,12
halleyscomet,12
halleyscomet,12
halleyscomet,12
halleyscomet,12
halleyscomet,12
hattrickhero,12
hattrickhero,12
hattrickhero,12
hattrickhero93,12
hattrickhero93,12
hattrickhero93,12
hattrickhero94,12
hattrickhero94,12
hattrickhero95,12
hattrickhero95,12
hattrickhero95,12
hattrickhero95,12
highwayrace,12
hittheice,19
hittheice,19
hittheice,19
insectorx,12
insectorx,12
insectorx,12
jigokumeguri,12
jigokumeguri,12
jigokumeguri,12
jigokumeguri,12
jigokumeguri,12
jigokumeguri,12
jigokumeguri,12
joshivolleyball,12
jungleking,12
jungleking,12
jungleking,12
jungleking,12
jungleking,12
jungleking,12
jungleking,12
kabukiz,10
kabukiz,10
kageki,10
kageki,10
kageki,10
kageki,10
kaiserknuckle,12
kaiserknuckle,12
kaiserknuckle,12
kaiserknuckle,12
kickandrun,12
kickandrun,12
kickandrun,12
kickandrun,12
kikikaikai,12
kikikaikai,12
kikikaikai,12
kiramekistarroadintroclub,12
kokontouzaietomonogatari,16
kokontouzaietomonogatari,16
kram,12
kram,12
kram,12
kurikinton,12
kurikinton,12
kurikinton,12
kurikinton,12
kurikinton,12
kyuukyokutiger2,13
kyuukyokutiger2,13
kyuukyokutiger2,13
landmaker,12
landmaker,12
landmaker,12
lasergrandprix,12
lasergrandprix,12
lightbringer,12
lightbringer,12
lightbringer,12
lightbringer,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lunarrescue,12
lupinsansei,12
lupinsansei,12
majestictwelvethespaceinvaderspart4,12
majestictwelvethespaceinvaderspart4,12
majestictwelvethespaceinvaderspart4,12
majestictwelvethespaceinvaderspart4,12
marinedate,12
masterofweapon,12
masterofweapon,12
masterofweapon,12
masterofweapon,12
mazeofflott,12
mahjongquest,18
mahjongquest,18
megablast,12
megablast,12
megablast,12
metalblack,12
metalblack,12
metalsoldierisaac2,12
midnightlanding,12
midnightlanding,12
minivaders,12
mizubakuadventure,12
mizubakuadventure,12
mizubakuadventure,12
moriguchihirokonoquizdehyuuhyuu,12
nightstriker,12
nightstriker,12
nightstriker,12
ninjahayate,12
ninjahayate,12
ninjakunmajounobouken,14
operationthunderbolt,12
operationthunderbolt,12
operationthunderbolt,12
operationthunderbolt,12
operationthunderbolt,12
operationthunderbolt,12
operationwolf,4
operationwolf,4
operationwolf,4
operationwolf,4
operationwolf,4
operationwolf,4
operationwolf,4
outerzone,12
palamedes,12
palamedes,12
panicroad,11
panicroad,11
parentjack,12
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
phoenix,2
piratepete,12
pitandrun,12
pitandrun,12
pitandrun,12
playgirls,8
playgirls,8
playgirls2,8
playgirls2,8
plumppop,12
popnpop,12
popnpop,12
popnpop,12
portman,12
portman,12
portman,12
portman,12
