game_id,region_id
2minutedrill,11
2minutedrill,11
fortylove,7
fortylove,12
aaeikounokoushien,7
adventurecanoe,12
airinferno,7
airinferno,11
airinferno,12
akkanbeder,7
akkanbeder,11
akkanbeder,3
alpineski,12
alpineski,12
americanhorseshoes,11
aquajack,7
aquajack,11
aquajack,12
arabianmagic,7
arabianmagic,11
arabianmagic,12
arkanoid,7
arkanoid,7
arkanoid,7
arkanoid,11
arkanoid,11
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoid,12
arkanoidrevengeofdoh,7
arkanoidrevengeofdoh,11
arkanoidrevengeofdoh,12
arkanoidrevengeofdoh,7
arkanoidreturns,7
arkanoidreturns,11
arkanoidreturns,12
ashitanojoe,7
ashitanojoe,12
ashurablaster,7
ashurablaster,11
ashurablaster,12
asukaandasuka,7
asukaandasuka,7
asukaandasuka,12
balloonbomber,12
balloonbrothers,12
battleshark,7
battleshark,7
battleshark,11
battleshark,12
benberobeh,7
bigeventgolf,7
bigeventgolf,11
bioattack,12
birdieking,12
birdieking2,12
birdieking3,12
bubblebobble,7
bubblebobble,7
bubblebobble,7
bubblebobble,11
bubblebobble,11
bubblebobble,12
bubblebobble,7
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblebobble,12
bubblememoriesthestoryofbubblebobble3,7
bubblememoriesthestoryofbubblebobble3,11
bubblememoriesthestoryofbubblebobble3,12
bubblesymphony,7
bubblesymphony,11
bubblesymphony,3
bubblesymphony,3
bubblesymphony,3
bubblesymphony,3
bubblesymphony,7
buggychallenge,12
buggychallenge,10
bygone,12
cachat,7
cachat,12
cadash,7
cadash,7
cadash,7
cadash,11
cadash,11
cadash,5
cadash,5
cadash,6
cadash,4
cadash,10
cadash,12
cameltry,7
cameltry,11
cameltry,12
chacknpop,7
championwrestler,7
championwrestler,11
championwrestler,12
changelanes,11
taitochasehq,7
taitochasehq,7
taitochasehq,11
taitochasehq,12
chasebombers,7
chasebombers,12
chasebombers,7
chuukataisen,7
chuukataisen,7
chuukataisen,11
chuukataisen,12
cleopatrafortune,7
cleopatrafortune,12
colony7,12
colony7,12
commandwar,7
complexx,12
continentalcircus,7
continentalcircus,11
continentalcircus,11
continentalcircus,12
cosmoscircuit,7
crayonshinchanoratoasobo,7
crazyballoon,12
crazyballoon,12
crimecity,7
crimecity,11
crimecity,12
cubypop,7
daisenpuu,7
daisenpuu,11
daisenpuu,12
darius,7
darius,7
darius,7
darius,11
darius,12
darius2,7
darius2,7
darius2,7
darius2,12
dariusgaiden,7
dariusgaiden,11
dariusgaiden,12
dariusgaiden,7
daikaijuunogyakushuu,7
deadconnection,7
deadconnection,12
dinorex,7
dinorex,11
dinorex,12
dondokodon,7
dondokodon,11
dondokodon,12
driftout,7
driftout,3
driftout,3
driftout,3
drtoppeltankentai,7
drtoppeltankentai,11
drtoppeltankentai,12
dynamiteleague,7
dynamiteleague,11
elevatoraction,12
elevatoraction,12
elevatoraction,12
elevatoractionreturns,7
elevatoractionreturns,12
elevatoractionreturns,11
enforce,7
enforce,7
enforce,12
eurochamp92,7
eurochamp92,12
excitingkusayakyuu,7
extermination,7
extermination,11
extermination,11
extermination,12
exzisus,7
exzisus,7
exzisus,12
fieldgoal,12
fieldgoal,12
fightinghawk,7
fightinghawk,12
finalblow,7
finalblow,11
finalblow,12
firebattle,12
flipullaecg,7
flipullaecg,11
flipullaecg,12
flipullaecg,12
flipullaecg,12
fullthrottle,7
