game_id,tag_id
2minutedrill,408
2minutedrill,409
fortylove,159
fortylove,160
aaeikounokoushien,381
adventurecanoe,152
airinferno,444
airinferno,442
airinferno,443
akkanbeder,72
akkanbeder,70
akkanbeder,71
alpineski,68
alpineski,69
americanhorseshoes,464
aquajack,440
aquajack,440
aquajack,441
arabianmagic,388
arabianmagic,386
arabianmagic,387
arkanoid,23
arkanoid,23
arkanoid,23
arkanoid,23
arkanoid,23
arkanoid,24
arkanoid,26
arkanoid,27
arkanoid,25
arkanoid,26
arkanoid,27
arkanoid,25
arkanoid,25
arkanoid,26
arkanoid,27
arkanoid,26
arkanoid,27
arkanoid,28
arkanoid,25
arkanoid,25
arkanoidrevengeofdoh,32
arkanoidrevengeofdoh,32
arkanoidrevengeofdoh,33
arkanoidrevengeofdoh,34
arkanoidreturns,30
arkanoidreturns,30
arkanoidreturns,31
ashitanojoe,155
ashitanojoe,154
ashurablaster,280
ashurablaster,278
ashurablaster,279
asukaandasuka,271
asukaandasuka,274
asukaandasuka,272
balloonbomber,38
balloonbrothers,172
battleshark,455
battleshark,175
battleshark,453
battleshark,454
benberobeh,186
bigeventgolf,463
bigeventgolf,462
bioattack,169
birdieking,456
birdieking2,457
birdieking3,457
bubblebobble,92
bubblebobble,93
bubblebobble,94
bubblebobble,96
bubblebobble,98
bubblebobble,95
bubblebobble,95
bubblebobble,95
bubblebobble,95
bubblebobble,97
bubblebobble,99
bubblebobble,100
bubblebobble,95
bubblebobble,95
bubblebobble,95
bubblebobble,97
bubblebobble,99
bubblebobble,100
bubblebobble,101
bubblebobble,102
bubblebobble,103
bubblememoriesthestoryofbubblebobble3,254
bubblememoriesthestoryofbubblebobble3,251
bubblememoriesthestoryofbubblebobble3,252
bubblesymphony,254
bubblesymphony,251
bubblesymphony,251
bubblesymphony,253
bubblesymphony,251
bubblesymphony,252
bubblesymphony,255
buggychallenge,479
buggychallenge,478
bygone,168
cachat,328
cachat,326
cadash,242
cadash,246
cadash,248
cadash,244
cadash,247
cadash,238
cadash,243
cadash,241
cadash,240
cadash,245
cadash,239
cameltry,415
cameltry,414
cameltry,413
chacknpop,136
championwrestler,312
championwrestler,312
championwrestler,313
changelanes,477
taitochasehq,487
taitochasehq,487
taitochasehq,485
taitochasehq,486
chasebombers,497
chasebombers,496
chasebombers,498
chuukataisen,221
chuukataisen,221
chuukataisen,218
chuukataisen,219
cleopatrafortune,141
cleopatrafortune,140
colony7,350
colony7,351
commandwar,161
complexx,404
continentalcircus,490
continentalcircus,492
continentalcircus,493
continentalcircus,491
cosmoscircuit,468
crayonshinchanoratoasobo,171
crazyballoon,11
crazyballoon,12
crimecity,256
crimecity,256
crimecity,257
cubypop,170
daisenpuu,287
daisenpuu,287
daisenpuu,288
darius,263
darius,264
darius,263
darius,265
darius,266
darius2,362
darius2,361
darius2,363
darius2,360
dariusgaiden,269
dariusgaiden,269
dariusgaiden,270
dariusgaiden,270
daikaijuunogyakushuu,176
deadconnection,262
deadconnection,261
dinorex,372
dinorex,370
dinorex,371
dondokodon,249
dondokodon,249
dondokodon,250
driftout,422
driftout,420
driftout,419
driftout,421
drtoppeltankentai,227
drtoppeltankentai,227
drtoppeltankentai,228
dynamiteleague,383
dynamiteleague,382
elevatoraction,150
elevatoraction,149
elevatoraction,151
elevatoractionreturns,251
elevatoractionreturns,252
elevatoractionreturns,251
enforce,175
enforce,452
enforce,174
eurochamp92,347
eurochamp92,345
excitingkusayakyuu,334
extermination,299
extermination,299
extermination,299
extermination,300
exzisus,219
exzisus,218
exzisus,218
fieldgoal,411
fieldgoal,412
fightinghawk,285
fightinghawk,286
finalblow,373
finalblow,375
finalblow,374
firebattle,228
flipullaecg,327
flipullaecg,324
flipullaecg,329
flipullaecg,330
flipullaecg,331
fullthrottle,488
fullthrottle,488
fullthrottle,489
galacticstorm,506
galmedes,272
gekirindan,283
gekirindan,284
gigandes,222
gigandes,222
gigandes,223
goforthegold,10
goforthegold,9
grandchampion,474
grandchampion,475
grandchampion,476
greatswordsman,110
greatswordsman,109
gridseekerprojectstormhammer,293
gridseekerprojectstormhammer,293
gridseekerprojectstormhammer,294
groundeffects,499
gunfrontier,282
gunfrontier,281
gunbuster,445
gunbuster,446
gunbuster,445
halleyscomet,227
halleyscomet,229
halleyscomet,227
halleyscomet,228
halleyscomet,230
hattrickhero,344
hattrickhero,345
hattrickhero,346
hattrickhero93,391
hattrickhero93,389
hattrickhero93,390
hattrickhero94,389
hattrickhero94,390
hattrickhero95,389
hattrickhero95,389
hattrickhero95,389
hattrickhero95,390
highwayrace,217
hittheice,348
hittheice,349
hittheice,348
insectorx,218
insectorx,219
insectorx,220
jigokumeguri,192
jigokumeguri,195
jigokumeguri,193
jigokumeguri,185
jigokumeguri,194
jigokumeguri,189
jigokumeguri,190
joshivolleyball,153
jungleking,164
jungleking,165
jungleking,164
jungleking,166
jungleking,164
jungleking,164
jungleking,167
kabukiz,215
kabukiz,216
kageki,311
kageki,308
kageki,309
kageki,310
kaiserknuckle,397
kaiserknuckle,396
kaiserknuckle,395
kaiserknuckle,398
kickandrun,342
kickandrun,343
kickandrun,301
kickandrun,302
kikikaikai,212
kikikaikai,213
kikikaikai,214
kiramekistarroadintroclub,394
kokontouzaietomonogatari,320
kokontouzaietomonogatari,321
kram,181
kram,182
kram,183
kurikinton,180
kurikinton,177
kurikinton,177
kurikinton,178
kurikinton,179
kyuukyokutiger2,283
kyuukyokutiger2,283
kyuukyokutiger2,284
landmaker,77
landmaker,78
landmaker,79
lasergrandprix,494
lasergrandprix,495
lightbringer,341
lightbringer,340
lightbringer,339
lightbringer,339
lunarrescue,61
lunarrescue,62
lunarrescue,64
lunarrescue,65
lunarrescue,62
lunarrescue,62
lunarrescue,62
lunarrescue,62
lunarrescue,63
lupinsansei,125
lupinsansei,128
majestictwelvethespaceinvaderspart4,104
majestictwelvethespaceinvaderspart4,104
majestictwelvethespaceinvaderspart4,104
majestictwelvethespaceinvaderspart4,105
marinedate,458
masterofweapon,224
masterofweapon,224
masterofweapon,225
masterofweapon,226
mazeofflott,184
mahjongquest,2
mahjongquest,1
megablast,267
megablast,267
megablast,268
metalblack,364
metalblack,365
metalsoldierisaac2,208
midnightlanding,451
midnightlanding,450
minivaders,35
mizubakuadventure,201
mizubakuadventure,199
mizubakuadventure,200
moriguchihirokonoquizdehyuuhyuu,18
nightstriker,434
nightstriker,434
nightstriker,435
ninjahayate,143
ninjahayate,142
ninjakunmajounobouken,82
operationthunderbolt,439
operationthunderbolt,439
operationthunderbolt,436
operationthunderbolt,437
operationthunderbolt,436
operationthunderbolt,438
operationwolf,428
operationwolf,429
operationwolf,429
operationwolf,432
operationwolf,433
operationwolf,430
operationwolf,431
outerzone,148
palamedes,327
palamedes,325
panicroad,14
panicroad,13
parentjack,22
phoenix,86
phoenix,86
phoenix,89
phoenix,90
phoenix,88
phoenix,90
phoenix,86
phoenix,88
phoenix,90
phoenix,91
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,85
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
phoenix,87
