name,publisher_id
Aladar,1
Artic,2
Assa,3
BGV,4
Bear,5
Beyer and Brown,6
Bisboch/Aladar,7
Centromatic,8
Centuri,9
Competitive Video,10
D&L,11
Datsu,12
EMAG,13
Electrogame,14
Electromar,15
Electromar/Irecsa,16
G. Universal Video,17
GGI,18
Game Corp,19
Game Corporation,20
Hellomat Automaten,21
Hot-B,22
IDI,23
Irecsa/GGI,24
Jatre,25
Jeutel,26
Kaneko,27
Konami,28
Laguna,29
Laisure and Allied,30
Leijac,31
Leisure Time,32
Logitec,33
Micro Research,34
Midway,35
Model Racing,36
NAMCO,37
Nagoya Kaihatsu,38
Nas Corp,39
Negro Torino,40
Nichibutsu,41
Niemer,42
Nova,43
Olympia,44
Orio,45
Petaco,46
Punji,47
RZ Bologna,48
Recreativos Franco,49
Romstar,50
S C Novar,51
SEGA,52
SPA,53
Sanritsu,54
Seyutu,55
Sidam,56
Sonic,57
TAD,58
TPN,59
Taito,60
Taito/Venture Line,61
Taito/Wave,62
Tayto,63
Tecfri,64
The Space Invaders,65
Tuning,66
Universal,67
Valadon Automation,68
Video Dens,69
Video Games GmbH,70
Video Games UK,71
Videotron,72
Visco,73
World Games,74
Zenitone-Microsec,75
