tag_name,tag_id
#input:buttons>23 #players:1 #genre:board>mahjong #arcadeboard:taito>f2system #search:keyword>strip #lang:ja,1
#input:buttons>23 #players:1 #genre:board>mahjong #arcadeboard:taito>f2system #search:keyword>strip #lang:ja #mameparent,2
#input:buttons>3 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:en,3
#input:buttons>3 #players:2:vs #genre:minigames:sports #arcadeboard:taito #lang:en #mameparent,4
#input:buttons>3 #players:2:vs #genre:minigames:sports #arcadeboard:taito #lang:ja,5
#input:buttons>3 #players:2:vs #genre:shmup #arcadeboard:taito>bsystem #lang:en,6
#input:buttons>3 #players:2:vs #genre:shmup #arcadeboard:taito>bsystem #lang:en #mameparent,7
#input:buttons>3 #players:2:vs #genre:shmup #arcadeboard:taito>f3system #lang:en,8
#input:buttons>3 #players:2:vs #genre:sports>decathlon>swimming #arcadeboard:taito>hsystem #lang:en #mameparent,9
#input:buttons>3 #players:2:vs #genre:sports>decathlon>swimming #arcadeboard:taito>hsystem #lang:ja,10
#input:buttons>4 #players:2:alt #genre:action>maze #search:tate>ccw #arcadeboard:taito #set:1 #lang:en #mameparent,11
#input:buttons>4 #players:2:alt #genre:action>maze #search:tate>ccw #arcadeboard:taito #set:2 #lang:en,12
#input:buttons>4 #players:2:alt #genre:parlor>pinball #search:tate>ccw #arcadeboard:taito #lang:en,13
#input:buttons>4 #players:2:alt #genre:parlor>pinball #search:tate>ccw #arcadeboard:taito #lang:en #mameparent,14
#input:buttons>4 #players:2:coop:vs #genre:quiz #arcadeboard:taito>f2system #lang:ja #mameparent,15
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:taito>f2system #based:manganime #lang:ja #mameparent,16
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:taito>f2system #lang:ja #mameparent,17
#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:taito>f3system #search:keyword>endorsed #lang:ja #mameparent,18
#input:buttons>4 #players:2:vs #genre:quiz:minigames #arcadeboard:taito>f3system #lang:ja #mameparent,19
#input:buttons>4 #players:2:vs #genre:quiz:rpg>j #arcadeboard:taito>f2system #lang:ja #mameparent,20
#input:buttons>4 #players:4:vs #genre:quiz #arcadeboard:taito>bsystem #based #lang:ja #mameparent,21
#input:buttons>8 #players:1 #genre:board>cards #arcadeboard:taito>osystem #lang:ja #mameparent,22
#input:dial:buttons>1 #players:2:alt #genre:action>blockbreaker #search:tate>cw #arcadeboard:taito #lang:en,23
#input:dial:buttons>1 #players:2:alt #genre:action>blockbreaker #search:tate>cw #arcadeboard:taito #lang:en #mameparent,24
#input:dial:buttons>1 #players:2:alt #genre:action>blockbreaker #search:tate>cw #arcadeboard:taito #lang:en #unlicensed:bootleg,25
#input:dial:buttons>1 #players:2:alt #genre:action>blockbreaker #search:tate>cw #arcadeboard:taito #set:1 #lang:en #unlicensed:bootleg,26
#input:dial:buttons>1 #players:2:alt #genre:action>blockbreaker #search:tate>cw #arcadeboard:taito #set:2 #lang:en #unlicensed:bootleg,27
#input:dial:buttons>1 #players:2:alt #genre:action>blockbreaker #search:tate>cw #arcadeboard:taito #set:3 #lang:en #unlicensed:bootleg,28
#input:dial:buttons>1 #players:2:coop #genre:action>blockbreaker #arcadeboard:taito #lang:en #mameparent,29
#input:dial:buttons>1 #players:2:coop #genre:action>blockbreaker #arcadeboard:taito>f3system #lang:en,30
#input:dial:buttons>1 #players:2:coop #genre:action>blockbreaker #arcadeboard:taito>f3system #lang:en #mameparent,31
#input:dial:buttons>2 #players:2:alt #genre:action>blockbreaker #search:tate>ccw #arcadeboard:taito #lang:en,32
#input:dial:buttons>2 #players:2:alt #genre:action>blockbreaker #search:tate>ccw #arcadeboard:taito #lang:en #mameparent,33
#input:dial:buttons>2 #players:2:alt #genre:action>blockbreaker #search:tate>ccw #arcadeboard:taito #lang:en #unlicensed:bootleg,34
#input:joystick>2h:buttons>1 #players:1 #genre:shmup #arcadeboard:taito #lang:en #mameparent,35
#input:joystick>2h:buttons>1 #players:2:alt #genre:action>platformer #search:tate>cw #arcadeboard:taito #lang:en #mameparent,36
#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:en,37
#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:en #mameparent,38
#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:en #unlicensed:bootleg,39
#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:es #unlicensed:bootleg,40
#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:it #unlicensed:bootleg,41
#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #search:tate>ccw #arcadeboard:taito #lang:ja #unlicensed:bootleg,42
