name,developer_id
A-Wave,1
A.I,2
AIC Spirits,3
ASK Kodansha,4
Accolade,5
Aetherbyte,6
Agenda,7
Alfa System,8
Alfa System/Hudson,9
Alfa System/Telenet,10
Arc System Works,11
Artdink,12
Atlus,13
Atlus/Telenet,14
B-Project,15
Bandai,16
Banpresto,17
Bec,18
Birdy,19
Bits Laboratory,20
Bold,21
Brain Grey,22
CAPCOM,23
CAProduction,24
Cinemaware,25
Coconuts,26
Coconuts/GX Media,27
Compile,28
Compile/LMS,29
Cyan,30
DMA Design,31
DMA Design/Reflections,32
Data West,33
Dual,34
Electronic Arts/Hudson,35
Elf,36
Excite,37
FTL,38
Fairy Dust,39
FairyTale,40
Falcom,41
Fill in Café,42
Flight-Plan,43
Frozen Utopia/Nödtveidt,44
Fujicom,45
Fun Project,46
Fun Project/Hary & Company/Proscope,47
Fun Project/Hudson,48
Futura,49
Gainax/Micro Cabin,50
Gainax/Studio Alex,51
Game Arts,52
Game Freak,53
Games Express,54
Giga,55
Great,56
Group SNE/Humming Bird,57
Home Data,58
Hudson,59
Hudson/C Design,60
Hudson/Red,61
Hudson/Red/Syn,62
Hudson/T's Music/Red,63
Hudson/Westone/Red,64
Human,65
HuneX,66
ICOM,67
ICOM Simulations/Byte-Size Sound,68
ICOM Simulations/Tri Audio-Video,69
ICOM/Sleuth,70
ICOM/Tri Audio-Digital,71
IGS,72
ISC,73
ISCO,74
Intec,75
Irem,76
Kaneko Inter State,77
King Records,78
Koei,79
Kogado,80
Kogado/Fill in Café,81
Kogado/Group SNE/Humming Bird,82
Konami,83
Laser,84
Loriciel,85
LucasArts,86
M.N.M,87
MARS/MediaWorks,88
MIT,89
Make Software,90
Maxis,91
Media Rings,92
Media Rings/Gingham,93
MediaWorks,94
MediaWorks/Glodia/Right Stuff,95
Micro Cabin,96
Micronet,97
MindRec,98
MindRec/VodSound,99
NCS,100
NCS/Klon,101
NCS/Tenky,102
NEC Avenue,103
NEC Avenue/LMS,104
NEC Home Electronics,105
NEC Home Electronics/Amuse,106
NEC Home Electronics/MediaWorks/Real International,107
NEC Interchannel,108
NHK,109
Natsume,110
Naxat,111
Naxat/Fix/Aoni,112
Nichibutsu/Cream,113
Nihon Bussan,114
Nihon Create,115
Office Koukan,116
Office Koukan/Gingham,117
Open Sesame,118
P's Psytec/Studio Tornad Cat/Fill in Café,119
Pack-In-Video,120
Pack-In-Video/Polestar/Gingham,121
Project Mighty Arts/Gingham/Studio Hyper Orange,122
Radical Plan,123
RayForce,124
Red,125
Red/Falcom,126
Red/Hudson,127
Red/T's Music,128
Red/Will/T's Music,129
Revival,130
Right Stuff,131
Right Stuff/Syd Mead,132
Riverhill,133
Riverhill/T's Music,134
SETA,135
SNK,136
SaruPro,137
Shogakukan,138
Shogakukan/Hudson,139
Sir-tech,140
Sunsoft,141
System Sacom,142
SystemSoft,143
TGL,144
TamTam,145
Technōs,146
Teichiku,147
Telenet,148
Tenky,149
Tokuma Shoten,150
Tomboy,151
Tomcat System,152
Tonkin House/LMS,153
Victor,154
Westone,155
Westone/Syn,156
Winkysoft,157
Wolf Team,158
Xanth,159
YY Company,160
Yuu Yuu,161
Zoom,162
