game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
1552tenkatairan,1552 Tenka Tairan,1552天下大乱,1552 Tenka Tairan,1552天下大乱,1993-07-16
3x3eyessanjiyanhenjou,3x3 Eyes: Sanjiyan Henjō,3x3 Eyes 三只眼燮成,3x3 Eyes: Sanjiyan Henjō,3x3 Eyes 三只眼燮成,1994-07-08
3x3eyessanjiyanhenjou,3x3 Eyes: Sanjiyan Henjō,3x3 Eyes 三只眼燮成,3x3 Eyes: Sanjiyan Henjō,3x3 Eyes 三只眼燮成,
a3aresshadeikou3,AIII: Daisuki na Mata e Ikō: Take the ‟A” Train III,AIII 大好きな街へ行こう Take the ‟A” Train III,A.III. A Ressha de Ikō III: Take the ‟A” Train III,A.III. A列車で行こうIII: Take the ‟A” Train III,1993-06-11
acchikocchidocchi,Acchi Kocchi Docchi,あっち こっち どっち,Acchi Kocchi Docchi,あっち こっち どっち,1993
advancedvg,Advanced V.G. Variable Geo,Advanced V.G. ヴァリアブル・ジオ,Advanced V.G. Variable Geo,Advanced V.G. ヴァリアブル・ジオ,1994-07-22
adventurequiz,Adventure Quiz: CAPCOM World / Hatena? no Daibōken,アドベンチャー クイズ CAPCOM World /　ハテナ?の大冒険 アドベンチャー クイズ2,Adventure Quiz: CAPCOM World - Hatena no Daibōken,アドベンチャー クイズ: アドベンチャー クイズ カプコンワールド　ハテナの大冒険,1992-06-19
aichouaniki,Ai Chō Aniki,愛・超兄貴,Ai Chō Aniki,愛・超兄貴,1995-02-24
akiyamajinnosuugakumysteryhinhwss,Akiyama Jin no Sūgaku Mystery: Hihō India no Honoo wo Shishu Seyo!,秋山仁の数学ミステリー 秘宝『インドの炎』を死守せよ!,Akiyama Jin no Sūgaku Mystery: Hihō India no Honoo wo Shishu Seyo!,秋山仁の数学ミステリー　秘宝‟インドの炎”を死守せよ!,1994
akumajoydraculaxchinorondo,Akumajō Dracula X: Chi no Rondo,悪魔城ドラキュラX 血の輪廻 ロンド,Akumajō Dracula X: Chi no Rondo,悪魔城ドラキュラX 血の輪廻 ロンド,1993-10-29
alnamnoibajjsd,Alnam no Kiba: Jūzoku Jūni Shinto Densetsu,アルナムの牙 獣族十二神徒伝説,Alnam no Kiba: Jūzoku Jūni Shinto Densetsu,アルナムの牙 獣族十二神徒伝説,1994-12-22
alshark,Alshark,,Alshark,,1994-08-26
anesan,Ane,姐,Ane-san,姐 あねさん,1995-02-24
aokiookamitoshirokimejikagh,Aoki Ookami to Shiroki Mejika: Genchō Hishi,蒼き狼と白き牝鹿 元朝秘史,Aoki Ookami to Shiroki Mejika: Genchō Hishi,蒼き狼と白き牝鹿 元朝秘史,1993-09-30
matekidensetsuastralius,Astralius,,Mateki Densetsu Astralius,魔笛伝説 Astralius アストラリウス,1991-06-21
asuka120maximaburningfest,Asuka 120% Maxima: Burning Fest. Maxima,あすか120％マキシマ Burning Fest. Maxima,Asuka 120% Maxima: Burning Fest. Maxima,あすか120％マキシマ Burning Fest. Maxima,1995-07-28
