game_id,developer_id
1552tenkatairan,4
3x3eyessanjiyanhenjou,115
3x3eyessanjiyanhenjou,115
a3aresshadeikou3,12
acchikocchidocchi,47
advancedvg,144
adventurequiz,23
aichouaniki,100
akiyamajinnosuugakumysteryhinhwss,109
akumajoydraculaxchinorondo,83
alshark,131
anesan,103
aokiookamitoshirokimejikagh,79
matekidensetsuastralius,89
asuka120maximaburningfest,42
otakunoseiza,121
avenger,148
ayapsychicdetectiveseriesvol3,33
babel,148
babyjothesuperhero,85
bakudenunbalancezone,80
bakushouyoshimotoshinkigeki,59
basted,3
dragonseyeshanghai3,58
bazardegozarrenogamedegozarre,53
shadowofthebeast,32
bikkurimandaijikai,59
bishoujosenshisailormoonpce,145
bishoujosenshisailormooncollection,145
blackholeassault,97
bloodgear,64
bombermanpanicbomber,59
bonanzabros,103
brandish,41
browning,148
builderland,85
buraihachigyokunoyuushidensetsu,133
burai2yamikouteinogyakushuu,133
cal2,19
cal2,19
cal3,19
campaignversiondaisenryaku2,143
cardangels,45
cdbattlehikarinoyuusgatachi,78
cddenjinrockabillytengoku,127
chikichikiboys,103
chouaniki,100
choueiyuudensetsudynastichero,156
choujikuuyousaimacrosseiennolovesong,100
choujikuuyousaimacross2036,34
colorwars,152
cosmicfantasyboukenshounenyuu,148
cosmicfantasyboukenshounenyuu,148
cosmicfantasyboukenshounenyuu,148
cosmicfantasy2boukenshounenban,148
cosmicfantasy3boukenshounenrei,118
cosmicfantasy4gingashounendensetsugh,148
cosmicfantasy4gingashounendensetsuth,148
cybercityoedo808kemononoalignment,34
daisenpuu,103
daviscuptennis,85
deja,108
deadofthebrain1and2,40
deathbringertheknightofdarkness,148
dekobokodensetsuhashiruwagamanmer,148
dennoutenshidigitalange,150
develoassembler,150
develobasic,150
develomagazinevol1,150
doraemonnndn,59
doubledragon2therevenge,111
doukyuusei,36
doukyuusei,36
doukyuusei,36
doukyuusei,36
download2,103
downtownnekketsukoushinkyoku,146
downtownnekketsumonogatari,146
dragonballzidainarusongokuudensetsu,16
dragonhalf,96
dragonknightandgraffiti,36
dragonknight2,36
dragonknight3,36
dragonslayerthelegendofheroes,41
dragonslayerthelegendofheroes2,41
dungeonexplorer2,59
dungeonmastertheronsquest,38
duocomicbakuretsuhunter,94
eferaandjilioratheemblemfromdarkness,22
eikanwakiminikyzt,12
eiyuusangokushi,76
emeralddragon,95
emeralddragon,95
exiletokinohazamae,148
exile2janennojishou,148
f1circusspecialpoletowin,114
midimaze,159
faerieduststorymeikyuunoelfeene,84
cotton,59
farjiusnojakouteineometalfantasy,65
farjiusnojakouteineometalfantasy,65
fausseteamour,111
fiendhunter,131
fightingstreet,23
fightingstreet,23
finalzone2,148
flashhiders,131
lostworlds,103
formationsoccer95dellaseriea,65
frayinmagicaladventurecd,96
fushiginouminonadiatsobw,59
fuuunkabukidentengaimakyou,125
gainground,20
galaxydekagayvan,42
garoudensetsu2at,136
garoudensetsuspecial,136
gateofthunder,62
genocide,162
