game_id,publisher_id
1552tenkatairan,2
3x3eyessanjiyanhenjou,36
3x3eyessanjiyanhenjou,36
a3aresshadeikou3,5
acchikocchidocchi,38
advancedvg,65
adventurequiz,20
aichouaniki,30
akiyamajinnosuugakumysteryhinhwss,42
akumajoydraculaxchinorondo,28
alnamnoibajjsd,55
alshark,76
anesan,37
aokiookamitoshirokimejikagh,26
matekidensetsuastralius,22
asuka120maximaburningfest,37
otakunoseiza,49
avenger,29
ayapsychicdetectiveseriesvol3,14
babel,29
babyjothesuperhero,33
bakudenunbalancezone,62
bakushouyoshimotoshinkigeki,20
basted,37
dragonseyeshanghai3,2
bazardegozarrenogamedegozarre,38
shadowofthebeast,76
bikkurimandaijikai,20
bishoujosenshisailormoonpce,8
bishoujosenshisailormooncollection,8
blackholeassault,34
bloodgear,20
bombermanpanicbomber,20
bonanzabros,37
brandish,38
browning,56
builderland,33
buraihachigyokunoyuushidensetsu,57
burai2yamikouteinogyakushuu,57
cal2,37
cal2,37
cal3,37
campaignversiondaisenryaku2,32
cardangels,18
cdbattlehikarinoyuusgatachi,25
cddenjinrockabillytengoku,20
chikichikiboys,37
chouaniki,30
choueiyuudensetsudynastichero,20
choujikuuyousaimacrosseiennolovesong,30
choujikuuyousaimacross2036,30
colorwars,13
cosmicfantasyboukenshounenyuu,29
cosmicfantasyboukenshounenyuu,29
cosmicfantasyboukenshounenyuu,29
cosmicfantasy2boukenshounenban,29
cosmicfantasy3boukenshounenrei,29
cosmicfantasy4gingashounendensetsugh,47
cosmicfantasy4gingashounendensetsuth,47
cybercityoedo808kemononoalignment,30
daisenpuu,37
daviscuptennis,33
deja,39
deadofthebrain1and2,38
deathbringertheknightofdarkness,53
dekobokodensetsuhashiruwagamanmer,53
dennoutenshidigitalange,70
develoassembler,70
develobasic,70
develomagazinevol1,70
doraemonnndn,20
doubledragon2therevenge,43
doukyuusei,37
doukyuusei,37
doukyuusei,37
doukyuusei,37
download2,37
downtownnekketsukoushinkyoku,43
downtownnekketsumonogatari,43
dragonballzidainarusongokuudensetsu,7
dragonhalf,32
dragonknightandgraffiti,37
dragonknight2,37
dragonknight3,37
dragonslayerthelegendofheroes,20
dragonslayerthelegendofheroes2,20
dungeonexplorer2,20
dungeonmastertheronsquest,76
duocomicbakuretsuhunter,20
eferaandjilioratheemblemfromdarkness,10
eikanwakiminikyzt,5
eiyuusangokushi,24
emeralddragon,38
emeralddragon,38
exiletokinohazamae,53
exile2janennojishou,56
f1circusspecialpoletowin,44
midimaze,57
faerieduststorymeikyuunoelfeene,29
cotton,20
farjiusnojakouteineometalfantasy,21
farjiusnojakouteineometalfantasy,21
fausseteamour,43
fiendhunter,55
fightingstreet,11
fightingstreet,11
finalzone2,53
flashhiders,55
lostworlds,37
formationsoccer95dellaseriea,21
frayinmagicaladventurecd,32
fushiginouminonadiatsobw,20
fuuunkabukidentengaimakyou,20
gainground,37
galaxydekagayvan,23
garoudensetsu2at,20
garoudensetsuspecial,20
