game_id,region_id
1552tenkatairan,1
3x3eyessanjiyanhenjou,1
3x3eyessanjiyanhenjou,1
a3aresshadeikou3,1
acchikocchidocchi,1
advancedvg,1
adventurequiz,1
aichouaniki,1
akiyamajinnosuugakumysteryhinhwss,1
akumajoydraculaxchinorondo,1
alnamnoibajjsd,1
alshark,1
anesan,1
aokiookamitoshirokimejikagh,1
matekidensetsuastralius,1
asuka120maximaburningfest,1
otakunoseiza,1
avenger,1
ayapsychicdetectiveseriesvol3,1
babel,1
babyjothesuperhero,1
bakudenunbalancezone,1
bakushouyoshimotoshinkigeki,1
basted,1
dragonseyeshanghai3,1
bazardegozarrenogamedegozarre,1
shadowofthebeast,1
bikkurimandaijikai,1
bishoujosenshisailormoonpce,1
bishoujosenshisailormooncollection,1
blackholeassault,1
bloodgear,1
bombermanpanicbomber,1
bonanzabros,1
brandish,1
browning,1
builderland,1
buraihachigyokunoyuushidensetsu,1
burai2yamikouteinogyakushuu,1
cal2,1
cal2,1
cal3,1
campaignversiondaisenryaku2,1
cardangels,1
cdbattlehikarinoyuusgatachi,1
cddenjinrockabillytengoku,1
chikichikiboys,1
chouaniki,1
choueiyuudensetsudynastichero,1
choujikuuyousaimacrosseiennolovesong,1
choujikuuyousaimacross2036,1
colorwars,1
cosmicfantasyboukenshounenyuu,1
cosmicfantasyboukenshounenyuu,1
cosmicfantasyboukenshounenyuu,1
cosmicfantasy2boukenshounenban,1
cosmicfantasy3boukenshounenrei,1
cosmicfantasy4gingashounendensetsugh,1
cosmicfantasy4gingashounendensetsuth,1
cybercityoedo808kemononoalignment,1
daisenpuu,1
daviscuptennis,1
deja,1
deadofthebrain1and2,1
deathbringertheknightofdarkness,1
dekobokodensetsuhashiruwagamanmer,1
dennoutenshidigitalange,1
develoassembler,1
develobasic,1
develomagazinevol1,1
doraemonnndn,1
doubledragon2therevenge,1
doukyuusei,1
doukyuusei,1
doukyuusei,1
doukyuusei,1
download2,1
downtownnekketsukoushinkyoku,1
downtownnekketsumonogatari,1
dragonballzidainarusongokuudensetsu,1
dragonhalf,1
dragonknightandgraffiti,1
dragonknight2,1
dragonknight3,1
dragonslayerthelegendofheroes,1
dragonslayerthelegendofheroes2,1
dungeonexplorer2,1
dungeonmastertheronsquest,1
duocomicbakuretsuhunter,1
eferaandjilioratheemblemfromdarkness,1
eikanwakiminikyzt,1
eiyuusangokushi,1
emeralddragon,1
emeralddragon,1
exiletokinohazamae,1
exile2janennojishou,1
f1circusspecialpoletowin,1
midimaze,1
faerieduststorymeikyuunoelfeene,1
cotton,1
farjiusnojakouteineometalfantasy,1
farjiusnojakouteineometalfantasy,1
fausseteamour,1
fiendhunter,1
fightingstreet,1
fightingstreet,1
finalzone2,1
flashhiders,1
lostworlds,1
formationsoccer95dellaseriea,1
frayinmagicaladventurecd,1
fushiginouminonadiatsobw,1
fuuunkabukidentengaimakyou,1
gainground,1
galaxydekagayvan,1
garoudensetsu2at,1
garoudensetsuspecial,1
gateofthunder,1
genocide,1
gensoutairikuauleria,1
gingakukeisensetsusapphire,1
gingaojousamadensetsuyuna,1
gingaojousamadensetsuyuna,1
gingaojousamadensetsuyuna2enp,1
gogobirdiechance,1
godpanicshijousaikyounogundan,1
godzillabakutouretsuden,1
goldenaxe,1
goldenaxe,1
gotzendiener,1
gradius2gofernoyabou,1
gsmikami,1
gulclighttdf2,1
kuusoukagakusekaigulliverboy,1
gyuwamblerjikochuushinhag36j,1
gyuwamblerjikochuushinhag36j,1
gyuwamblerjikochuushinhampc,1
hatarakushoujotekipakiworkinglove,1
hatsukoimonogatari,1
hatsukoimonogatari,1
hawkf123,1
hellfire,1
highgrenadier,1
hihoudensetsuchrisnobouken,1
himitsunohanazono,1
horrorstory,1
powergolf2golfer,1
humansportsfestival,1
hyakumonogatarihnawh,1
sidearmshd,1
sidearmshd,1
hyperwars,1
iqpanic,1
iganindengaou,1
imagefight2operationdeepstriker,1
inouemamikhnthnk,1
jleaguetremendoussoccer94,1
jacknicklausturbogolf,1
janshindensetsuquestofjongmaster,1
janteimonogatari,1
janteimonogatari2utdkh,1
janteimonogatari2utdsh,1
janteimonogatari3saverangels,1
jimpowerinmutantplanet,1
juuouki,1
juuouki,1
kabukiittouryoudan,1
kagaminokuninolegend,1
kaizouchoujinshubibinman3inp,1
kakutouhaoudensetsualgunos,1
kawanonushitsurishizenha,1
kazekirininjaaction,1
kazenodensetsuxanadu2,1
kiaidan00,1
kidoukeisatsupatlaborgriffonhen,1
kisoulouga,1
kisoulouga2tefs,1
koseikibeastsanjuushigfkh,1
ldis,1
ladyphantom,1
langrisser,1
laplacenoma,1
cosmicfantasyvisualshuu,1
valisvisualshuu,1
lastarmageddon,1
lastarmageddon,1
legion,1
legion,1
lemmings,1
linda3,1
linda3,1
loom,1
lordofwars,1
madstalkerfullmetalforce,1
madoumonogatari1honoonosotsuenji,1
magicalsaurustour,1
magicoal,1
mahjongclinicspecial,1
magicallemonangel,1
mahjongonthebeach,1
mahjongswordprincessquestgaiden,1
mahjongvanillasyndrome,1
mahjongvanillasyndrome,1
mamonohunteryoukomknt,1
mamonohunteryoukoty,1
martialchampion,1
mashoudenkilavaleur,1
masterofmonsters,1
megamitengoku,1
metalangel,1
metalangel2,1
metamorjupiter,1
mightandmagicbookonesecretoftheinnersanctum,1
mightandmagic3islesofterra,1
minesweeper,1
miraishounenconan,1
mitsubachigakuen,1
monstermakeryaminoryuukishi,1
monstermakeryaminoryuukishi,1
moonlightlady,1
motoroadermc,1
motteketamago,1
mugensenshivalistloafs,1
murderclub,1
mysticformula,1
nekketsukoukoudodgeballbusoccerhen,1
nekketsulegendbaseballer,1
nemurenuyorunochiisanaohanashi,1
neonectaris,1
nexzr,1
nexzrspecial,1
hokutoseinoonna,1
noriko,1
nobunaganoyaboubushoufuuunroku,1
nobunaganoyabouzenkokuban,1
ookamitekimonshoucrestofwolf,1
orgelpsychicdetectiveseriesvol4,1
pachiokunmaboroshinodensetsu,1
pachiokunmaboroshinodensetsu,1
pachiokunwarauuchuu,1
pachiokun3pachisloandpachinko,1
palladion,1
pastellime,1
policeconnection,1
pang,1
popnmagic,1
popfulmail,1
populousthepromisedlands,1
princeofpersia,1
princessmaker1,1
princessmaker2,1
princessminerva,1
privateeyedol,1
projectf,1
psychicstorm,1
puyopuyo,1
puyopuyo2,1
quizavenue,1
quizavenue2,1
quizavenue3,1
quizcaravancultq,1
quizmarugototheworld,1
quizmarugototheworld,1
quizmarugototheworld2tmno,1
quiztonosamanoyabou,1
quizdegakuensai,1
quiznohoshi,1
rtype,1
raibowislands,1
rallychampionship,1
ranmanibunnoichi,1
ranmanibunnoichidgmkr,1
