game_id,tag_id
1552tenkatairan,292
3x3eyessanjiyanhenjou,86
3x3eyessanjiyanhenjou,87
a3aresshadeikou3,293
acchikocchidocchi,153
advancedvg,343
adventurequiz,156
aichouaniki,315
akiyamajinnosuugakumysteryhinhwss,90
akumajoydraculaxchinorondo,37
alnamnoibajjsd,62
alshark,221
anesan,312
aokiookamitoshirokimejikagh,294
matekidensetsuastralius,203
asuka120maximaburningfest,346
otakunoseiza,222
avenger,252
ayapsychicdetectiveseriesvol3,68
babel,213
babyjothesuperhero,35
bakudenunbalancezone,66
bakushouyoshimotoshinkigeki,28
basted,177
dragonseyeshanghai3,397
bazardegozarrenogamedegozarre,11
shadowofthebeast,6
bikkurimandaijikai,136
bishoujosenshisailormoonpce,60
bishoujosenshisailormooncollection,133
blackholeassault,130
bloodgear,13
bombermanpanicbomber,398
bonanzabros,304
brandish,186
browning,45
builderland,12
buraihachigyokunoyuushidensetsu,203
burai2yamikouteinogyakushuu,213
cal2,70
cal2,71
cal3,73
campaignversiondaisenryaku2,387
cardangels,329
cdbattlehikarinoyuusgatachi,357
cddenjinrockabillytengoku,244
chikichikiboys,304
chouaniki,244
choueiyuudensetsudynastichero,33
choujikuuyousaimacrosseiennolovesong,230
choujikuuyousaimacross2036,242
colorwars,384
cosmicfantasyboukenshounenyuu,203
cosmicfantasyboukenshounenyuu,204
cosmicfantasyboukenshounenyuu,205
cosmicfantasy2boukenshounenban,203
cosmicfantasy3boukenshounenrei,213
cosmicfantasy4gingashounendensetsugh,213
cosmicfantasy4gingashounendensetsuth,213
cybercityoedo808kemononoalignment,50
daisenpuu,253
daviscuptennis,378
deja,72
deadofthebrain1and2,75
deathbringertheknightofdarkness,207
dekobokodensetsuhashiruwagamanmer,406
dennoutenshidigitalange,83
develoassembler,138
develobasic,138
develomagazinevol1,137
doraemonnndn,29
doubledragon2therevenge,310
doukyuusei,94
doukyuusei,95
doukyuusei,96
doukyuusei,97
download2,237
downtownnekketsukoushinkyoku,371
downtownnekketsumonogatari,311
dragonballzidainarusongokuudensetsu,129
dragonhalf,381
dragonknightandgraffiti,92
dragonknight2,92
dragonknight3,221
dragonslayerthelegendofheroes,220
dragonslayerthelegendofheroes2,220
dungeonexplorer2,393
dungeonmastertheronsquest,193
duocomicbakuretsuhunter,143
eferaandjilioratheemblemfromdarkness,187
eikanwakiminikyzt,272
eiyuusangokushi,288
emeralddragon,216
emeralddragon,217
exiletokinohazamae,171
exile2janennojishou,177
f1circusspecialpoletowin,159
midimaze,355
faerieduststorymeikyuunoelfeene,203
cotton,247
farjiusnojakouteineometalfantasy,213
farjiusnojakouteineometalfantasy,214
fausseteamour,30
fiendhunter,10
fightingstreet,348
fightingstreet,349
finalzone2,44
flashhiders,345
lostworlds,323
formationsoccer95dellaseriea,377
frayinmagicaladventurecd,259
fushiginouminonadiatsobw,91
fuuunkabukidentengaimakyou,213
gainground,46
galaxydekagayvan,324
garoudensetsu2at,334
garoudensetsuspecial,338
gateofthunder,248
genocide,16
gensoutairikuauleria,171
gingakukeisensetsusapphire,319
gingaojousamadensetsuyuna,66
gingaojousamadensetsuyuna,144
gingaojousamadensetsuyuna2enp,66
gogobirdiechance,368
godpanicshijousaikyounogundan,255
godzillabakutouretsuden,342
goldenaxe,124
goldenaxe,125
gotzendiener,154
gradius2gofernoyabou,249
gsmikami,64
gulclighttdf2,278
