name,publisher_id
AIC Spirits,1
ASK Kodansha,2
Accolade,3
Aetherbyte,4
Artdink,5
Atlus,6
Bandai,7
Banpresto,8
Bold,9
Brain Grey,10
CAPCOM/Hudson,11
CAPCOM/NEC Home Electronics,12
Coconuts,13
Data West,14
Excite,15
Falcom,16
Frozen Utopia,17
Fujicom,18
Games Express,19
Hudson,20
Human,21
IGS,22
Intec,23
Irem,24
King Records,25
Koei,26
Kogado,27
Konami,28
Laser,29
Masaya,30
Media Rings,31
Micro Cabin,32
Micro World,33
Micronet,34
MindRec,35
NEC,36
NEC Avenue,37
NEC Home Electronics,38
NEC Interchannel,39
NEC International,40
NEC Technologies,41
NHK,42
Naxat,43
Nichibutsu,44
Nihon Bussan,45
Office Asia Kenkyuusho,46
Open Sesame,47
PCE Works,48
Pack-In-Video,49
Psygnosis/Turbo Technologies,50
Rabbit Soft Kenkyuusho,51
RayForce,52
Reno,53
Revival,54
Right Stuff,55
Riot,56
Riverhill,57
SETA,58
SaruPro,59
Shogakukan,60
Sofix,61
Sony/Amuse,62
Sunsoft,63
SystemSoft,64
TGL,65
Taito,66
Tecmo,67
Teichiku,68
Toho,69
Tokuma Shoten,70
Tonkin House,71
Turbo Technnologies,72
Turbo Technologies,73
Turbo Techonologies,74
Turbo technologies,75
Victor,76
Working Designs,77
