tag_name,tag_id
#players:1 #genre:action #addon:peripheral>cdromrom #based:movie #lang:en,1
#players:1 #genre:action #addon:peripheral>cdromrom #lang:ja,2
#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #lang:en #unlicensed:aftermarket,3
#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja,4
#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #port:commodore>amiga #lang:en,5
#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #port:commodore>amiga #lang:ja,6
#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:apple>apple2 #lang:en,7
#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #save:password #port:commodore>amiga #lang:en,8
#players:1 #genre:action:adventure #addon:peripheral>cdromrom #port:commodore>amiga #lang:en,9
#players:1 #genre:action:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja,10
#players:1 #genre:action:puzzle #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja,11
#players:1 #genre:action:puzzle #addon:peripheral>cdromrom:expansion>supersystemcard #save:password #lang:en,12
#players:1 #genre:action:rpg #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja,13
#players:1 #genre:action>hackandslash #addon:peripheral>cdromrom #port:arcade #lang:ja,14
#players:1 #genre:action>hackandslash #addon:peripheral>cdromrom #port:arcade #lang:ja #rev:1,15
#players:1 #genre:action>hackandslash #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja,16
#players:1 #genre:action>maze #addon:peripheral>cdromrom:expansion>supersystemcard #lang:en #unlicensed:aftermarket,17
#players:1 #genre:action>maze:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #multigame:compilation>virgindream>frisbeekenjohn>marumaru #lang:ja #unfinished:demo,18
#players:1 #genre:action>platformer #addon:peripheral>cdromrom #lang:ja,19
#players:1 #genre:action>platformer #addon:peripheral>cdromrom #port:nec>pc88 #lang:en,20
#players:1 #genre:action>platformer #addon:peripheral>cdromrom #port:nec>pc88 #lang:ja,21
#players:1 #genre:action>platformer #addon:peripheral>cdromrom #port:nec>pc88 #lang:ja #alt:1,22
#players:1 #genre:action>platformer #addon:peripheral>cdromrom #port:nec>pc88 #lang:ja #alt:2,23
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:controller>avenuepad3 #lang:en,24
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:controller>avenuepad3 #lang:ja,25
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:controller>avenuepad3 #lang:ja #alt,26
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>arcadecard #port:arcade #lang:ja,27
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #based #lang:ja,28
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #based:movie:manganime #lang:ja,29
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja,30
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #port:atari>lynx #lang:ja,31
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #port:sega>megadrive #lang:en,32
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #port:sega>megadrive #lang:ja,33
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #based:manganime #lang:ja,34
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #save:password #lang:en,35
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #search:keyword>brand #lang:en,36
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard:controller>avenuepad3 #save:backup #search:franchise>castlevania:feature>dracula #lang:ja,37
#players:1 #genre:action>platformer #addon:peripheral>cdromrom:multitap>pce #port:arcade #search:keyword>dolby #lang:ja,38
#players:1 #genre:action>platformer:shmup>h #addon:peripheral>cdromrom:expansion>supersystemcard #lang:en #unfinished:demo #unlicensed:aftermarket,39
#players:1 #genre:action>platformer:shmup>h #addon:peripheral>cdromrom:expansion>supersystemcard #lang:en #unlicensed:aftermarket,40
#players:1 #genre:action>platformer:sim>strategy:rpg>dungeoncrawler:notagame>application #addon:peripheral>cdromrom:expansion>supersystemcard #multigame:compilation>pcgenjin4digital4komashuu>mightandmagic3islesofterra>neonectaris>bloodgear>sotsugyougraduation>ruinkaminoisan>kidoukeisatsupatlaborgriffonhen #lang:ja #unfinished:demo,41
#players:1 #genre:action>platformer>metroidvania #addon:peripheral>cdromrom:expansion>supersystemcard>arcadecard #save:backup #lang:en #unlicensed:aftermarket,42
#players:1 #genre:action>runandgun #addon:peripheral>cdromrom #lang:en,43
#players:1 #genre:action>runandgun #addon:peripheral>cdromrom #lang:ja,44
#players:1 #genre:action>runandgun #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja,45
#players:1 #genre:action>runandgun #addon:peripheral>cdromrom:expansion>supersystemcard #port:arcade #lang:ja,46
#players:1 #genre:action>runandgun #addon:peripheral>cdromrom:expansion>supersystemcard #port:nec>pc88 #lang:ja,47
#players:1 #genre:action>runandgun:shmup #addon:peripheral>cdromrom #lang:en,48
#players:1 #genre:action>runandgun:shmup #addon:peripheral>cdromrom #lang:ja,49
#players:1 #genre:adventure #addon:peripheral>cdromrom #based:manganime #save:backup #lang:ja,50
