name,developer_id
ASCII,1
ASK Kodansha,2
Accolade,3
Aicom,4
Aisystem Tokyo,5
Alfa System,6
Algorithm Institute,7
Arc System Works,8
Atlus,9
Atlus/A.I,10
Atlus/Red,11
Atlus/Reno,12
BITS,13
BITS/M2,14
Bits Laboratory,15
Brøderbund,16
CAPCOM,17
ChatNoir,18
Cinemaware,19
Coconuts,20
Compile,21
Compile/Tonkin House,22
Copya System,23
Cream,24
Data East,25
Dempa,26
Distinctive,27
Dual,28
Face,29
Futura,30
Game Studio,31
Games Express,32
Gremlin,33
Home Data,34
Hudson,35
Hudson Soft/Red/Atlus,36
Hudson/Red,37
Hudson/Summer Project,38
Human,39
ICOM Simulations,40
ICOM Simulations/Music Comp,41
IGS,42
ITL,43
Incredible Technologies,44
Intec,45
Inter State,46
Interactive Designs,47
Irem,48
Kaneko/Hudson,49
Kaneko/Inter State,50
Konami,51
Laser,52
Lenar,53
Loriciel,54
MCS,55
Make Software,56
Manely & Associates/Magic Music Company,57
Manjyu-Do,58
Manjyudo,59
Masaya,60
Media Rings,61
Media Rings/Gingham,62
Micro Cabin,63
Micronics,64
Minakuchi Engineering,65
Mutech,66
NAMCO,67
NAMCO/Now Production,68
NCS,69
NCS/Goblin Sound,70
NEC,71
NEC Avenue,72
NHK,73
NMK,74
Naxat,75
Nihon Bussan,76
Now Production,77
PCE Works,78
Pack-In-Video,79
Pack-In-Video/Make Software,80
Pack-In-Video/NAMCO/Arc System Works,81
ParaGraph/BPS,82
Psygnosis,83
Quest,84
Rainbow Arts/The Code Monkeys,85
Red,86
Salio,87
Sankindo,88
Seibu Kaihatsu,89
Sphere,90
Sting,91
Studio Ducks,92
Summer Project/Hudson,93
Sunsoft,94
TOSE,95
Taito,96
Taito/Daiei,97
Technōs,98
Tecmo/Hudson,99
Tengen,100
Tenky,101
The Code Monkeys,102
Thinking Rabbit,103
Titus/Naxat,104
Toaplan,105
Tonkin House,106
Turbo Technologies,107
UPL,108
UPL/Mecano,109
Uni Post,110
Victor,111
Video System,112
Westone,113
Westwood Associates,114
Winds/NCS,115
Zap,116
games Express,117
