game_id,developer_id
1941counterattack,35
1943kai,17
21emonmezasehotelou,71
adventureisland,35
airbuster,46
afterburner2,13
aldynes,35
aliencrush,21
ankokudensetsu,11
aoiblink,113
apparegateball,113
armedf,59
artisttool,35
atomicrobokid,109
ballistix,83
baribaridensetsu,96
barunba,116
batmanpce,94
battleace,35
battleloderunner,35
beball,35
benkeigaiden,94
bikkurimanworld,113
blodia,35
bomberman,35
bomberman93,35
bomberman94,35
boukendanshakudontls,58
breakin,75
bubblegumcrash,75
bullfightringnohasha,24
burningangels,116
busoukeijicybercross,29
cadash,43
championwrestler,24
chibimarukochanqdp,67
chikudenyatoubeikyy,75
chouzetsurinjinbravoman,77
circuslido,110
cityhunter,94
columns,52
coryoonchildofdragon,75
crosswiberccp,88
cybercore,6
cyberdodge,22
cyberknight,22
caichikuncrisis,87
daimakaimura,6
daisenpuu,105
dariusplus,13
deadmoon,92
deepbluekaiteishinwa,79
detanatwinbee,51
devilcrash,21
diehardpce,76
digitalchamp,75
dondokodon,96
doraemonmd,35
doraemonnndn,35
doubledungeons,69
download,72
dragonegg,101
dragonsaber,77
dragonspirit,67
droprockhorahora,24
dungeonexplorer,9
energy,69
f1circus,76
f1circus91,76
f1circus92,76
f1dream,72
f1pilotyourekingofkings,79
f1triplebattle,39
fantasyzone,13
fightingrun,76
finalblaster,5
finallaptwin,67
finalmatchtennis,39
finalsoldier,77
fireprowrestlingcombinationtag,39
fireprowrestling2ndbout,39
fireprowrestling3legendbout,39
formationsoccerhumancup90,39
formationsocceronjleague,39
fushiginoyumenoalice,29
gaiflame,70
gaianomonshou,69
galaga88,67
ganbaregolfboys,28
gekishaboy,48
genjitsuushinagedama,71
genpeitoumaden,67
genpeitoumadenkannoni,68
chuukataisen,96
gomolaspeed,108
gradius,51
gunhed,21
hanataakadaka,96
hanyinthesky,29
hanyontheroad,8
hatris,82
heavyunit,50
hisoukiheixserd,69
hittheice,96
honoonotoukyuujidodgedanpeipce,35
imagefight,48
jleaguegreatesteleven,24
jacknicklauschampionshipgolf,3
jackiechan,77
jigokumeguri,43
jinmudenshou,59
juuouki,15
kaizouchoujinshubibinman,69
