game_id,publisher_id
1941counterattack,17
1943kai,36
21emonmezasehotelou,31
adventureisland,17
airbuster,23
afterburner2,32
aldynes,17
aliencrush,36
ankokudensetsu,55
aoiblink,17
apparegateball,17
armedf,40
artisttool,31
atomicrobokid,53
ballistix,9
baribaridensetsu,47
barunba,29
batmanpce,45
battleace,17
battleloderunner,17
beball,17
benkeigaiden,45
bikkurimanworld,17
blodia,17
bomberman,17
bomberman93,17
bomberman94,17
boukendanshakudontls,19
breakin,36
bubblegumcrash,36
bullfightringnohasha,10
burningangels,36
busoukeijicybercross,13
cadash,47
championwrestler,47
chibimarukochanqdp,29
chikudenyatoubeikyy,36
chouzetsurinjinbravoman,29
circuslido,54
cityhunter,45
columns,48
coryoonchildofdragon,36
crosswiberccp,13
cybercore,20
cyberdodge,51
cyberknight,51
caichikuncrisis,43
daimakaimura,32
daisenpuu,32
dariusplus,32
deadmoon,46
deepbluekaiteishinwa,40
detanatwinbee,24
devilcrash,36
diehardpce,40
digitalchamp,36
dondokodon,47
doraemonmd,17
doraemonnndn,17
doubledungeons,25
download,32
dragonegg,25
dragonsaber,29
dragonspirit,29
droprockhorahora,11
dungeonexplorer,17
energy,25
f1circus,37
f1circus91,37
f1circus92,37
f1dream,32
f1pilotyourekingofkings,40
f1triplebattle,18
fantasyzone,32
fightingrun,37
finalblaster,29
finallaptwin,29
finalmatchtennis,18
finalsoldier,17
fireprowrestlingcombinationtag,18
fireprowrestling2ndbout,18
fireprowrestling3legendbout,18
formationsoccerhumancup90,18
formationsocceronjleague,18
fushiginoyumenoalice,13
gaiflame,25
gaianomonshou,30
galaga88,29
ganbaregolfboys,25
gekishaboy,22
genjitsuushinagedama,31
genpeitoumaden,29
genpeitoumadenkannoni,29
chuukataisen,47
gomolaspeed,53
gradius,24
gunhed,17
hanataakadaka,47
hanyinthesky,13
hanyontheroad,13
hatris,27
heavyunit,47
hisoukiheixserd,25
hittheice,47
honoonotoukyuujidodgedanpeipce,17
imagefight,22
jleaguegreatesteleven,38
jacknicklauschampionshipgolf,55
jackiechan,17
jigokumeguri,47
jinmudenshou,7
juuouki,32
kaizouchoujinshubibinman,25
kaizouchoujinshubibinman2at,25
katochanandkenchan,17
kattobitakuhaikun,51
kickball,25
kikikaikai,47
kingofcasino,55
klax,49
knightriderspecial,40
koregaproyakyuu89,21
koregaproyakyuu90,21
kyuukokutiger,47
legendofherotonma,22
loderunnerlostlabyrinth,40
madoukinggranzort,17
maerchenmaze,29
magicalchase,41
mahjonggakuentoumasoushiroutoujou,13
mahjonggakuentoumasoushiroutoujou,13
mahjonggokuuspecial,45
mahjonghaoudenkaisersquest,53
mahjongshikakuretsudenmahjongwars,37
maisonikkoku,27
makaihakkedenshada,11
makaiprincedorabocchan,36
makyoudensetsuthelegendaryaxe,55
maniacprowresaent,17
mashineiyuudenwataru,17
mesopotamia,5
metalstoker,13
mizubakuadventure,47
momotaroudensetsugaiden,17
momotaroudensetsu2,17
momotaroudensetsuturbo,17
momotaroukatsugeki,17
monsterprowres,1
moritashougipc,32
motoroader,25
motoroader2,25
mrhelinodaibouken,22
narazumonosentoubutaibloodywolf,11
