game_id,region_id
1941counterattack,1
1943kai,1
21emonmezasehotelou,1
adventureisland,1
airbuster,1
afterburner2,1
aldynes,1
aliencrush,1
ankokudensetsu,1
aoiblink,1
apparegateball,1
armedf,1
artisttool,1
atomicrobokid,1
ballistix,1
baribaridensetsu,1
barunba,1
batmanpce,1
battleace,1
battleloderunner,1
beball,1
benkeigaiden,1
bikkurimanworld,1
blodia,1
bomberman,1
bomberman93,1
bomberman94,1
boukendanshakudontls,1
breakin,1
bubblegumcrash,1
bullfightringnohasha,1
burningangels,1
busoukeijicybercross,1
cadash,1
championwrestler,1
chibimarukochanqdp,1
chikudenyatoubeikyy,1
chouzetsurinjinbravoman,1
circuslido,1
cityhunter,1
columns,1
coryoonchildofdragon,1
crosswiberccp,1
cybercore,1
cyberdodge,1
cyberknight,1
caichikuncrisis,1
daimakaimura,1
daisenpuu,1
dariusplus,1
deadmoon,1
deepbluekaiteishinwa,1
detanatwinbee,1
devilcrash,1
diehardpce,1
digitalchamp,1
dondokodon,1
doraemonmd,1
doraemonnndn,1
doubledungeons,1
download,1
dragonegg,1
dragonsaber,1
dragonspirit,1
droprockhorahora,1
dungeonexplorer,1
energy,1
f1circus,1
f1circus91,1
f1circus92,1
f1dream,1
f1pilotyourekingofkings,1
f1triplebattle,1
fantasyzone,1
fightingrun,1
finalblaster,1
finallaptwin,1
finalmatchtennis,1
finalsoldier,1
fireprowrestlingcombinationtag,1
fireprowrestling2ndbout,1
fireprowrestling3legendbout,1
formationsoccerhumancup90,1
formationsocceronjleague,1
fushiginoyumenoalice,1
gaiflame,1
gaianomonshou,1
galaga88,1
ganbaregolfboys,1
gekishaboy,1
genjitsuushinagedama,1
genpeitoumaden,1
genpeitoumadenkannoni,1
chuukataisen,1
gomolaspeed,1
gradius,1
gunhed,1
hanataakadaka,1
hanyinthesky,1
hanyontheroad,1
hatris,1
heavyunit,1
hisoukiheixserd,1
hittheice,1
honoonotoukyuujidodgedanpeipce,1
imagefight,1
jleaguegreatesteleven,1
jacknicklauschampionshipgolf,1
jackiechan,1
jigokumeguri,1
jinmudenshou,1
juuouki,1
kaizouchoujinshubibinman,1
kaizouchoujinshubibinman2at,1
katochanandkenchan,1
kattobitakuhaikun,1
kickball,1
kikikaikai,1
kingofcasino,1
klax,1
knightriderspecial,1
koregaproyakyuu89,1
koregaproyakyuu90,1
kyuukokutiger,1
legendofherotonma,1
loderunnerlostlabyrinth,1
madoukinggranzort,1
maerchenmaze,1
magicalchase,1
mahjonggakuentoumasoushiroutoujou,1
mahjonggakuentoumasoushiroutoujou,1
mahjonggokuuspecial,1
mahjonghaoudenkaisersquest,1
mahjongshikakuretsudenmahjongwars,1
maisonikkoku,1
makaihakkedenshada,1
makaiprincedorabocchan,1
makyoudensetsuthelegendaryaxe,1
maniacprowresaent,1
mashineiyuudenwataru,1
mesopotamia,1
metalstoker,1
mizubakuadventure,1
momotaroudensetsugaiden,1
momotaroudensetsu2,1
momotaroudensetsuturbo,1
momotaroukatsugeki,1
monsterprowres,1
moritashougipc,1
motoroader,1
motoroader2,1
mrhelinodaibouken,1
narazumonosentoubutaibloodywolf,1
naxatopen,1
naxatstadium,1
nazonomascarade,1
jaseikennecromancer,1
necrosnoyousai,1
nectaris,1
nekketsukoukoudodgeballbu,1
nekketsukoukoudodgeballbusoccerhen,1
neutopia,1
neutopia2,1
nhktaigadramataiheiki,1
ninjaryuukendenfc,1
obocchamakun,1
nhkokaasantoisshonikonikopun,1
operationwolf,1
ordyne,1
outlive,1
outrun,1
override,1
p47thefreedomfighter,1
pachiokunjuubanshoubu,1
pacland,1
paranoia,1
parasolstarsthestoryofbubblebobble3,1
parodiusdashinwakaraowaraie,1
pcdenjinpunkiccyborgs,1
pcgenjinpithecanthropuscomputerurus,1
pcgenjin2pithecanthropuscomputerurus,1
pcgenjin3pithecanthropuscomputerurus,1
populous,1
powerdrift,1
powereleven,1
powergate,1
powergolf,1
powerleague,1
powerleague2,1
powerleague3,1
powerleague,1
powerleague5,1
powerleague93,1
powersports,1
powertennis,1
protennisworldcourt,1
proyakyuuworldstadium,1
proyakyuuworldstadium91,1
psychochaser,1
puzzleboy,1
puzznic,1
rtype1,1
rtype2,1
rtype2,1
rabiolepusspecial,1
racingdamashii,1
raiden,1
rastansaga2,1
rockon,1
ryuukyuu,1
sadakichisevenhideyoshinoougon,1
saigononindou,1
salamander,1
sekigahara,1
sengokumahjong,1
shanghai,1
shinobi,1
shiryousensen,1
shougishodanicchokusen,1
shougishoshinshamuyou,1
sidearmshd,1
silentdebuggers,1
sindibadchiteinodaimakyuu,1
skweek,1
soldierblade,1
sonson2,1
soukobanworld,1
spaceharrier,1
spaceinvadersfukkatsunohi,1
specialcriminalinvestigation,1
spinpair,1
spiralwave,1
splatterhouse,1
stratego,1
streetfighter2dashce,1
supermetalcrusher,1
supermomotaroudentetsu,1
supermomotaroudentetsu,1
supermmomotaroudentetsu2,1
superstarsoldier,1
supervolleyball,1
susanooudensetsu,1
taitochasehq,1
takahashimeijinnoshinboukenjima,1
takedashingen,1
tatsujin,1
tatsunokofighter,1
tennokoebank,1
tenseiryuusaintdragon,1
terracresta2mng,1
thekungfu,1
thenewzealandstory,1
theninjawarriors,1
thetowerofdruaga,1
thunderblade,1
timecruise2,1
titan,1
toiletkids,1
toraenomichi,1
toushitensoukeikakueternalcity,1
toyshopboys,1
tricky,1
tsupparioozumouheiseiban,1
tsuruteruhitonojissenkbbg,1
tvsportsbasketball,1
tvsportsfootball,1
