game_id,tag_id
1941counterattack,217
1943kai,220
21emonmezasehotelou,281
adventureisland,48
airbuster,216
afterburner2,170
aldynes,138
aliencrush,90
ankokudensetsu,35
aoiblink,32
apparegateball,248
armedf,162
artisttool,88
atomicrobokid,148
ballistix,249
baribaridensetsu,113
barunba,136
batmanpce,25
battleace,175
battleloderunner,312
beball,211
benkeigaiden,125
bikkurimanworld,33
blodia,8
bomberman,305
bomberman93,305
bomberman94,305
boukendanshakudontls,145
breakin,284
bubblegumcrash,67
bullfightringnohasha,226
burningangels,218
busoukeijicybercross,18
cadash,201
championwrestler,268
chibimarukochanqdp,101
chikudenyatoubeikyy,68
chouzetsurinjinbravoman,53
circuslido,10
cityhunter,2
columns,230
coryoonchildofdragon,135
crosswiberccp,22
cybercore,157
cyberdodge,259
cyberknight,125
caichikuncrisis,174
daimakaimura,4
daisenpuu,163
dariusplus,139
deadmoon,142
deepbluekaiteishinwa,142
detanatwinbee,220
devilcrash,192
diehardpce,56
digitalchamp,85
dondokodon,208
doraemonmd,23
doraemonnndn,34
doubledungeons,241
download,137
dragonegg,39
dragonsaber,219
dragonspirit,163
droprockhorahora,13
dungeonexplorer,292
energy,54
f1circus,109
f1circus91,109
f1circus92,110
f1dream,112
f1pilotyourekingofkings,111
f1triplebattle,265
fantasyzone,195
fightingrun,238
finalblaster,159
finallaptwin,236
finalmatchtennis,222
finalsoldier,153
fireprowrestlingcombinationtag,267
fireprowrestling2ndbout,267
fireprowrestling3legendbout,269
formationsoccerhumancup90,274
formationsocceronjleague,275
fushiginoyumenoalice,39
gaiflame,178
gaianomonshou,247
galaga88,134
ganbaregolfboys,290
gekishaboy,6
genjitsuushinagedama,55
genpeitoumaden,20
genpeitoumadenkannoni,18
chuukataisen,150
gomolaspeed,11
gradius,195
gunhed,152
hanataakadaka,151
hanyinthesky,162
hanyontheroad,199
hatris,97
heavyunit,148
hisoukiheixserd,180
hittheice,272
honoonotoukyuujidodgedanpeipce,261
imagefight,163
jleaguegreatesteleven,275
jacknicklauschampionshipgolf,287
jackiechan,21
jigokumeguri,43
jinmudenshou,172
juuouki,202
kaizouchoujinshubibinman,205
kaizouchoujinshubibinman2at,205
katochanandkenchan,30
kattobitakuhaikun,1
kickball,250
kikikaikai,59
kingofcasino,309
klax,99
knightriderspecial,114
koregaproyakyuu89,256
koregaproyakyuu90,256
kyuukokutiger,163
legendofherotonma,190
loderunnerlostlabyrinth,7
madoukinggranzort,185
maerchenmaze,59
magicalchase,145
mahjonggakuentoumasoushiroutoujou,77
mahjonggakuentoumasoushiroutoujou,77
mahjonggokuuspecial,75
mahjonghaoudenkaisersquest,77
mahjongshikakuretsudenmahjongwars,74
maisonikkoku,70
makaihakkedenshada,120
makaiprincedorabocchan,39
makyoudensetsuthelegendaryaxe,35
maniacprowresaent,86
mashineiyuudenwataru,32
mesopotamia,50
metalstoker,57
mizubakuadventure,42
momotaroudensetsugaiden,126
momotaroudensetsu2,124
momotaroudensetsuturbo,125
momotaroukatsugeki,27
monsterprowres,86
moritashougipc,79
motoroader,313
motoroader2,313
mrhelinodaibouken,150
narazumonosentoubutaibloodywolf,59
naxatopen,288
naxatstadium,253
nazonomascarade,69
jaseikennecromancer,128
necrosnoyousai,125
nectaris,245
nekketsukoukoudodgeballbu,260
nekketsukoukoudodgeballbusoccerhen,273
neutopia,118
neutopia2,118
nhktaigadramataiheiki,246
ninjaryuukendenfc,45
obocchamakun,32
nhkokaasantoisshonikonikopun,29
operationwolf,221
ordyne,216
outlive,122
outrun,102
override,159
p47thefreedomfighter,142
pachiokunjuubanshoubu,115
pacland,44
paranoia,142
parasolstarsthestoryofbubblebobble3,209
parodiusdashinwakaraowaraie,194
pcdenjinpunkiccyborgs,145
pcgenjinpithecanthropuscomputerurus,39
pcgenjin2pithecanthropuscomputerurus,39
pcgenjin3pithecanthropuscomputerurus,205
populous,182
powerdrift,105
powereleven,262
powergate,145
powergolf,266
powerleague,253
powerleague2,255
powerleague3,271
powerleague,271
powerleague5,271
powerleague93,271
powersports,314
powertennis,278
protennisworldcourt,277
proyakyuuworldstadium,253
proyakyuuworldstadium91,286
psychochaser,162
puzzleboy,229
puzznic,96
rtype1,148
rtype2,148
rtype2,149
rabiolepusspecial,150
racingdamashii,237
raiden,165
rastansaga2,19
rockon,145
ryuukyuu,231
sadakichisevenhideyoshinoougon,71
saigononindou,189
salamander,213
sekigahara,178
sengokumahjong,75
shanghai,93
shinobi,64
shiryousensen,120
shougishodanicchokusen,80
shougishoshinshamuyou,79
sidearmshd,148
silentdebuggers,168
sindibadchiteinodaimakyuu,125
skweek,184
soldierblade,153
sonson2,39
soukobanworld,92
spaceharrier,171
spaceinvadersfukkatsunohi,132
specialcriminalinvestigation,107
spinpair,232
spiralwave,169
splatterhouse,84
stratego,91
streetfighter2dashce,223
supermetalcrusher,12
supermomotaroudentetsu,282
supermomotaroudentetsu,283
supermmomotaroudentetsu2,310
superstarsoldier,155
supervolleyball,264
susanooudensetsu,127
taitochasehq,108
takahashimeijinnoshinboukenjima,35
takedashingen,82
tatsujin,163
tatsunokofighter,39
tennokoebank,87
tenseiryuusaintdragon,148
terracresta2mng,159
thekungfu,82
thenewzealandstory,42
theninjawarriors,20
thetowerofdruaga,26
thunderblade,173
timecruise2,90
titan,15
toiletkids,212
toraenomichi,17
toushitensoukeikakueternalcity,63
toyshopboys,198
tricky,95
tsupparioozumouheiseiban,228
tsuruteruhitonojissenkbbg,181
tvsportsbasketball,294
tvsportsfootball,296
tvsportshockey,298
usaprobasketball,258
valkyrienodensetsu,62
veiguestacticalgladiator,61
victoryrun,103
vigilante,19
violentsoldier,142
volfied,9
waiaimahjongyukainajanyuutachi,75
wallaby,176
winningshot,289
wondermomo,18
worldbeachvolley,280
worldcircuit,106
worldjockey,285
wringthedoublerings,142
xeviousfardrautsaga,165
youkaidouchuuki,66
yuuyuujinsei,307
zero4champ,233
zero4champ,234
zipang,3
airbuster,213
pcdenjinpunkiccyborgs,142
aliencrush,90
ballistix,249
battleroyale,311
gunhed,153
narazumonosentoubutaibloodywolf,58
bomberman,303
bomberman93,303
pcgenjinpithecanthropuscomputerurus,35
pcgenjin2pithecanthropuscomputerurus,35
pcgenjin2pithecanthropuscomputerurus,37
pcgenjin2pithecanthropuscomputerurus,38
pcgenjin3pithecanthropuscomputerurus,203
soukobanworld,92
chouzetsurinjinbravoman,52
cadash,200
championsforeverboxing,225
beball,210
thekungfu,81
doraemonmd,24
cybercore,157
darkwingduck,31
daviscuptennis,279
deadmoon,142
deepbluekaiteishinwa,142
devilcrash,192
doubledungeons,239
dragonspirit,163
adventureisland,47
droprockhorahora,13
dungeonexplorer,291
orderofthegriffon,121
falcon,243
fantasyzone,195
finallaptwin,235
galaga88,133
ghostmanor,35
gunboat,166
hittheice,272
impossamole,46
katochanandkenchan,35
jacknicklauschampionshipgolf,287
jackiechan,21
mashineiyuudenwataru,28
kingofcasino,308
klax,98
legendofherotonma,190
magicalchase,142
nectaris,244
motoroader,313
neutopia,116
neutopia2,116
takahashimeijinnoshinboukenjima,35
nightcreatures,5
saigononindou,187
ordyne,213
pacland,44
andrepanzakickboxing,227
parasolstarsthestoryofbubblebobble3,209
powergolf,266
paranoia,142
raiden,163
rtype,148
genpeitoumaden,19
kaizouchoujinshubibinman2at,203
sidearmshd,148
silentdebuggers,167
violentsoldier,142
soldierblade,153
mesopotamia,49
worldbeachvolley,280
spaceharrier,171
splatterhouse,84
superstarsoldier,153
supervolleyball,263
taitochasehq,108
usaprobasketball,257
talespin,51
makyoudensetsuthelegendaryaxe,35
ankokudensetsu,35
toraenomichi,16
timecruise2,90
blodia,8
tricky,94
turrican,65
tvsportsbasketball,293
tvsportsfootball,295
tvsportshockey,297
veiguestacticalgladiator,60
victoryrun,103
vigilante,19
powerleague,251
protennisworldcourt,276
powersports,314
yobro,183
offthewall,14
tvsportsbaseball,270
pcdenjinpunkiccyborgs,147
tatsujin,164
bomberman,300
bomberman93,299
dariusplus,140
finalsoldier,161
gunhed,158
powerleague,254
soldierblade,161
pcgenjin3pithecanthropuscomputerurus,207
avpoker,72
bodyconquest2,131
idolhanafudafanclub,73
kyuukyokumahjongidolgraphics,78
kyuukyokumahjong2,76
ladyswordrs10no,123
pcpachisloidolgambler,89
quiztoukoushashin,100
stripfighter2,224
dinoforce,144
pcdenjinpunkiccyborgs,143
benkeigaiden,129
gunhed,154
bomberman,301
bomberman93,302
bomberman93,304
bomberman94,306
pcgenjinpithecanthropuscomputerurus,36
pcgenjin2pithecanthropuscomputerurus,36
pcgenjin3pithecanthropuscomputerurus,204
dariusplus,141
devilcrash,191
devilcrash,193
doubledungeons,242
doubledungeons,240
fantasyzone,196
finalsoldier,154
gaiflame,179
gradius,196
gradius,197
jaseikennecromancer,129
jaseikennecromancer,130
neutopia,119
neutopia,117
neutopia2,119
neutopia2,117
takahashimeijinnoshinboukenjima,36
saigononindou,188
pcdenjinpunkiccyborgs,146
pcgenjinpithecanthropuscomputerurus,41
pcgenjin2pithecanthropuscomputerurus,40
pcgenjin2pithecanthropuscomputerurus,41
pcgenjin3pithecanthropuscomputerurus,206
powersports,316
saigononindou,186
salamander,214
salamander,215
soldierblade,160
soldierblade,154
superstarsoldier,156
superstarsoldier,154
takahashimeijinnoshinboukenjima,36
thekungfu,83
victoryrun,104
victoryrun,104
wallaby,177
powerleague,252
powersports,315
