name,publisher_id
ASK Kodansha,1
Accolade,2
Aicom,3
Asmik,4
Atlus,5
Ballistic,6
Big Club,7
Brøderbund,8
Coconuts,9
Cream,10
Data East,11
Extreme,12
Face,13
Games Express,14
Hacker,15
Home Data,16
Hudson,17
Human,18
I'MAX,19
IGS,20
Intec,21
Irem,22
Kaneko,23
Konami,24
Masaya,25
Media Rings,26
Micro Cabin,27
NAMCO,28
NAMCOT,29
NCS,30
NEC,31
NEC Avenue,32
NEC Technologies,33
NHK,34
Natsume,35
Naxat,36
Nichibutsu,37
Nihon Bussan,38
PCE Works,39
Pack-In-Video,40
Palsoft,41
Radiance,42
Salio,43
Sphere,44
Sunsoft,45
TSS,46
Taito,47
Telenet,48
Tengen,49
Titus,50
Tonkin House,51
Turbo Technologies,52
UPL,53
Uni Post,54
Victor,55
Video System,56
Working Designs,57
