tag_name,tag_id
#players:1 #genre:action #addon:backup>tennokoe #save:backup #lang:ja,1
#players:1 #genre:action #based:manganime #lang:ja,2
#players:1 #genre:action #based:manganime:movie #port:arcade #lang:ja,3
#players:1 #genre:action #compatibility:pcengine>supergrafx #port:arcade #lang:en,4
#players:1 #genre:action #lang:en,5
#players:1 #genre:action #lang:ja,6
#players:1 #genre:action:puzzle #addon:backup>tennokoe #save:backup:password #lang:en,7
#players:1 #genre:action:puzzle #addon:backup>tennokoe #save:backup:password #port:nec>pc88 #lang:en,8
#players:1 #genre:action:puzzle #port:arcade #lang:en,9
#players:1 #genre:action:puzzle #save:password #lang:en,10
#players:1 #genre:action:puzzle #save:password #lang:ja,11
#players:1 #genre:action:sim>strategy #save:password #lang:ja,12
#players:1 #genre:action>blockbreaker #lang:en,13
#players:1 #genre:action>blockbreaker #lang:en #unfinished:proto,14
#players:1 #genre:action>blockbreaker:puzzle #save:password #lang:en,15
#players:1 #genre:action>hackandslash #addon:backup>tennokoe #save:backup #port:arcade #lang:en,16
#players:1 #genre:action>hackandslash #addon:backup>tennokoe #save:backup #port:arcade #lang:ja,17
#players:1 #genre:action>hackandslash #lang:ja,18
#players:1 #genre:action>hackandslash #port:arcade #lang:en,19
#players:1 #genre:action>hackandslash #port:arcade #lang:ja,20
#players:1 #genre:action>hackandslash #search:keyword>endorsed #lang:en,21
#players:1 #genre:action>hackandslash:shmup>h #lang:en,22
#players:1 #genre:action>maze #addon:backup>tennokoe #save:backup:password #based:manganime #lang:ja,23
#players:1 #genre:action>maze #addon:backup>tennokoe #save:backup:password #lang:en,24
#players:1 #genre:action>maze #save:password #based:movie #search:feature>batman #lang:en,25
#players:1 #genre:action>maze #save:password #port:arcade #lang:ja,26
#players:1 #genre:action>platformer #addon:backup>tennokoe #save:backup:password #lang:ja,27
#players:1 #genre:action>platformer #based #lang:en,28
#players:1 #genre:action>platformer #based #lang:ja,29
#players:1 #genre:action>platformer #based #search:keyword>endorsed #lang:ja,30
#players:1 #genre:action>platformer #based:disney #lang:en,31
#players:1 #genre:action>platformer #based:manganime #lang:ja,32
#players:1 #genre:action>platformer #based:manganime #port:arcade #lang:ja,33
#players:1 #genre:action>platformer #based:movie:manganime #lang:ja,34
#players:1 #genre:action>platformer #lang:en,35
#players:1 #genre:action>platformer #lang:en #rerelease:virtualconsole>wiiu,36
#players:1 #genre:action>platformer #lang:en #rev:1,37
#players:1 #genre:action>platformer #lang:en #rev:2,38
#players:1 #genre:action>platformer #lang:ja,39
#players:1 #genre:action>platformer #lang:ja #rerelease:virtualconsole>wii,40
#players:1 #genre:action>platformer #lang:ja #rerelease:virtualconsole>wiiu,41
#players:1 #genre:action>platformer #port:arcade #lang:en,42
#players:1 #genre:action>platformer #port:arcade #lang:ja,43
#players:1 #genre:action>platformer #port:arcade #search:feature>pacman #lang:en,44
#players:1 #genre:action>platformer #port:nintendo>famicom #lang:ja:en:ch,45
#players:1 #genre:action>platformer #save:password #lang:en,46
#players:1 #genre:action>platformer:adventure #save:password #port:sega>mark3 #lang:en,47
#players:1 #genre:action>platformer:adventure #save:password #port:sega>mark3 #lang:ja,48
#players:1 #genre:action>platformer:shmup #lang:en,49
#players:1 #genre:action>platformer:shmup #lang:ja,50
#players:1 #genre:action>platformer:shmup>h #based:disney #lang:en,51
#players:1 #genre:action>platformer:shmup>v #port:arcade #lang:en,52
#players:1 #genre:action>platformer:shmup>v #port:arcade #lang:ja,53
#players:1 #genre:action>platformer>metroidvania #port:nec>pc88 #lang:ja,54
#players:1 #genre:action>runandgun #based:manganime #lang:ja,55
#players:1 #genre:action>runandgun #based:movie #lang:en,56
#players:1 #genre:action>runandgun #lang:en,57
#players:1 #genre:action>runandgun #port:arcade #lang:en,58
#players:1 #genre:action>runandgun #port:arcade #lang:ja,59
#players:1 #genre:action>runandgun #port:nec>pc88 #lang:en,60
