name,developer_id
AIC Spirits/TamTam,1
ASK Kodansha,2
ASK Kodansha/Fill in Cafe,3
Artdink,4
ChatNoir,5
Cocktail,6
Coconuts,7
Crosstalk/NCS,8
Cybertech Custom,9
Data West,10
Elf,11
Family Soft,12
Fill in Cafe/Sugeiya/Datam Polystar,13
Fupac/Sugeiya/Winds,14
Fupac/Winds,15
Gimmick House/Magical Craft,16
Head Room,17
Head Room/Marcus,18
Head Room/Tenky,19
Hudson,20
HuneX,21
Koga Game Factory/Winds/Toshiki Hirano Office,22
Kogado,23
Micro Cabin,24
NEC Home Electronics,25
NEC Interchannel,26
Nihon Application,27
Pack-In-Video/Polestar/Studio OX,28
Polestar/Studio OX,29
Produce/Red,30
RayForce,31
Red/Will,32
Riverhill,33
Ruby Party/Koei,34
SETA,35
Sonnet,36
Studio Offside,37
TGL,38
Tokuma Shoten,39
