game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
aamegamisama,Aa! Megami-sama,ああっ女神さまっ,Aa! Megami-sama,ああっ女神さまっ,1997-12-12
aamegamisama,Aa! Megami-sama,ああっ女神さまっ,Aa! Megami-sama,ああっ女神さまっ,1997-12-12
akazukinchachaosawagasepanicrace,Akazukin Chacha: Osawagase! Panic Race!,赤ずきんチャチャ お騒がせパニックレース,Akazukin Chacha: Osawagase! Panic Race!,赤ずきんチャチャ お騒がせパニックレース,1996-10-25
albarianotomoe,Albaria no Otome,アルバレアの乙女,Albaria no Otome,アルバレアの乙女,1997-06-27
angelique,Angelique Special,アンジェリーク Special,Angelique Special,アンジェリーク Special,1995-12-22
angeliquespecial2,Angelique Special 2,アンジェリーク Special 2,Angelique Special 2,アンジェリーク Special 2,1996-12-20
angeliquetenkuunorequiem,Angelique: Tenkū no Requiem,アンジェリーク 天空の鎮魂歌 レクイエム,Angelique: Tenkū no Requiem,アンジェリーク 天空の鎮魂歌 レクイエム,1998-04-02
battleheat,Battle Heat,,Battle Heat,Battle Heat バトルヒート,1994-12-23
bluebreakerkenyorimohohoemiwo,Blue Breaker: Ken yori mo Hohoemi wo,Blue Breaker ブルーブレイカー 剣よりも微笑みを,Blue Breaker: Ken yori mo Hohoemi wo,Blue Breaker ブルーブレイカー 剣よりも微笑みを,1996-09-27
boundarygatedaughterofkingdom,Boundary Gate: Daughter of Kingdom,Boundary Gate バウンダリーゲート Daughter of Kingdom,Boundary Gate: Daughter of Kingdom,Boundary Gate バウンダリーゲート Daughter of Kingdom,1997-01-24
cancanbunnyextra,CanCan Bunny Extra DX,,Can Can Bunny Extra DX,きゃんきゃんバニー Can Can Bunny エクストラ DX,1996-09-27
cancanbunnyextra,CanCan Bunny Extra DX,,Pia Carrot e Yōkoso!! We've Been Waiting for You & Can Can Bunny Extra DX,Pia♡キャロットへようこそ!! We've Been Waiting for You & きゃんきゃんバニー Can Can Bunny エクストラ DX,1997-11-28
chipchankick,Chip-chan Kick!,チップちゃんキィーック!,Chip-chan Kick!,チップちゃんキィーック!,1996-09-13
shoujinheikizeroigar,Chōjin Heiki Zeroigar,超神兵器ゼロイガー,Chōjin Heiki Zeroigar,超神兵器ゼロイガー,1997-08-08
comicroad,ComicRoad,こみっくろーど,ComicRoad,こみっくろーど ComicRoad,1997-09-26
cutiehoneyfx,Cutey Honey FX,キューティーハニー Cutie Honey FX,Cutey Honey FX,キューティーハニー Cutie Honey FX,1995-11-10
langrisser2,Der Langrisser FX,,Der Langrisser FX,デア ラングリッサー FX,1996-04-26
doukyuusei2,Dōkyūsei 2,同級生2,Doukyuusei 2,同級生2,1996-08-08
dragonknight4,Dragon Knight 4,,Dragon Knight 4,,1997-03-28
farlandstoryfx,Farland Story FX,Farland Story ファーランドストーリー FX,Farland Story FX,Farland Story ファーランドストーリー FX,1996-11-08
firewomanmatoigumi,Fire Woman Matoigumi,ファイアーウーマン纏組,Fire Woman Matoigumi,ファイアーウーマン纏組,1996-12-20
firstkissstory,First Kiss Story,ファーストKiss☆物語 ストーリー,First Kiss Story,ファーストKiss☆物語 ストーリー,1998-04-24
fushiginokuninoangelique,Fushigi no Kuni no Angelique,ふしぎの国のアンジェリーク,Fushigi no Kuni no Angelique,ふしぎの国のアンジェリーク,1996-10-11
gingaojousamadensetsuyunafxkns,Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren,銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren,銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,1996-03-08
hatarakushoujotekipakiworkinglovefx,Hataraku Shōjo: Tekipaki Working Love FX,はたらく☆少女 てきぱきワーキン♥ラブFX,Hataraku Shōjo: Tekipaki Working Love FX,はたらく☆少女 てきぱきワーキン♥ラブFX,1998-03-27
bluechicagoblues,J.B.Harold: Blue Chicago Blues,,J.B.Harold: Blue Chicago Blues,J.B.Harold ブルーシカゴブルース Blue Chicago Blues,1996-03-22
bluechicagoblues,J.B.Harold: Blue Chicago Blues,,J.B.Harold: Blue Chicago Blues,J.B.Harold ブルーシカゴブルース Blue Chicago Blues,1996-03-22
kishindoujinzenkifxvajrafight,Kishin Dōji Zenki FX: Vajra Fight,鬼神童子ZENKI FX 金剛炎闘 ヴァジュラ　ファイト,Kishin Dōji Zenki FX: Vajra Fight,鬼神童子 Zenki FX 金剛炎闘 ヴァジュラ　ファイト,1995-12-22
kokuuhyouryuunirgends,Kokū Hyōryū Nirgends,Nirgends 虚空漂流ニルゲンツ,Kokū Hyōryū Nirgends,Nirgends 虚空漂流ニルゲンツ,1996-06-28
konpekinokantai,Konpeki no Kantai: Deep Blue Feet,紺碧の艦隊 Deep Blue Feet,Konpeki no Kantai,紺碧の艦隊,1995-03-31
lastimperialprince,Last Imperial Prince,,Last Imperial Prince,,1997-03-14
lastimperialprince,Last Imperial Prince,,Last Imperial Prince,,1997-03-14
lunaticdawnfx,Lunatic Dawn FX,Lunatic Dawn ルナテイックドーン FX,Lunatic Dawn FX,Lunatic Dawn ルナテイックドーン FX,1995-11-24
mahjonggokuutenjiku,Mahjong Gokū Tenjiku,麻雀悟空 天竺,Mahjong Gokū Tenjiku,麻雀悟空 天竺,1995-03-24
makerunamakendouz,Makeruna! Makendou Z,負けるな!魔剣道Z,Makeruna! Makendou Z,負けるな!魔剣道Z,1998-03-20
megamitengoku2,Megami Tengoku II,女神天国II,Megami Tengoku II,女神天国II,1996-07-26
minimumnanotic,Minimum Nanonic,みにまむなのにっく,Minimum Nanonic,Minimum Nanonic みにまむなのにっく,1997-10-24
miraculumthelastrevelation,Miraculum: The Last Revelation,,Miraculum: The Last Revelation,Miraculum ミラークルム The Last Revelation ザ・ラスト・レベレーション,1996-03-29
ojousamasousamou,Ojōsama Sōsamō,お嬢様捜査網,Ojōsama Sōsamō,お嬢様捜査網,1996-05-31
pachiokunfxmaboroshinoshimadaisakusen,Pachio-kun FX: Maboroshi no Shima Daisakusen,パチオくんFX 幻の島大決戦,Pachio-kun FX: Maboroshi no Shima Daisakusen,パチオくんFX 幻の島大決戦,1995-09-22
piacarroteyoukoso,Pia Carrot e Yōkoso!! We've Been Waiting for You,Pia♥キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You,Pia♥キャロットへようこそ!! We've Been Waiting for You,1997-05-23
