game_id,developer_id
aamegamisama,10
aamegamisama,10
akazukinchachaosawagasepanicrace,25
albarianotomoe,16
angelique,34
angeliquespecial2,34
angeliquetenkuunorequiem,34
battleheat,20
bluebreakerkenyorimohohoemiwo,21
boundarygatedaughterofkingdom,28
cancanbunnyextra,6
cancanbunnyextra,6
chipchankick,9
shoujinheikizeroigar,14
comicroad,37
cutiehoneyfx,10
langrisser2,8
doukyuusei2,11
dragonknight4,11
farlandstoryfx,38
firewomanmatoigumi,21
firstkissstory,21
fushiginokuninoangelique,34
gingaojousamadensetsuyunafxkns,32
hatarakushoujotekipakiworkinglovefx,25
bluechicagoblues,33
bluechicagoblues,33
kishindoujinzenkifxvajrafight,20
kokuuhyouryuunirgends,24
konpekinokantai,24
lastimperialprince,27
lastimperialprince,27
lunaticdawnfx,4
mahjonggokuutenjiku,5
makerunamakendouz,13
megamitengoku2,21
minimumnanotic,29
miraculumthelastrevelation,31
ojousamasousamou,18
pachiokunfxmaboroshinoshimadaisakusen,7
piacarroteyoukoso,6
piacarroteyoukoso,6
powerdollsfx,23
returntozork,10
rurulirarura,26
shanghaibanrinochoujouthegreatwall,2
sotsugyou2neogeneration,19
sotsugyourgraduationreal,17
sparklingfeather,21
superpowerleaguefx,20
superrealmahjongp5,35
teaminnocentetponr,20
tenchimuyouryououkifx,1
tenchimuyouryououkifx,1
tangaimakyoudennoukarakurikakutouden,30
tokimekicardparadisekoinoroyalstraightflush,36
tonarinoprincessrolfee,15
voiceparadise,3
voiceparadise,3
wakuseikoukitailittlecats,12
queenofqueens,21
queenofqueens,21
zokuhatsukoimonogatarishuugakuryokou,22
zokuhatsukoimonogatarishuugakuryokou,22
animefreakfxvol1,21
animefreakfxvol2,21
animefreakfxvol3,21
animefreakfxvol4,21
animefreakfxvol5,21
animefreakfxvol5,21
animefreakfxvol6,21
animefreakfxvol6,21
gingaojousamadensetsuyunafxkns,32
pcenginefanspecialcdrom2,39
pcenginefanspecialcdrom3,39
superpcenginefandeluxespecialcdrom1,39
superpcenginefandeluxespecialcdrom2,39
