game_id,publisher_id
aamegamisama,6
aamegamisama,6
akazukinchachaosawagasepanicrace,6
albarianotomoe,6
angelique,6
angeliquespecial2,6
angeliquetenkuunorequiem,6
battleheat,3
bluebreakerkenyorimohohoemiwo,6
boundarygatedaughterofkingdom,6
cancanbunnyextra,2
cancanbunnyextra,2
chipchankick,6
shoujinheikizeroigar,6
comicroad,6
cutiehoneyfx,6
langrisser2,4
doukyuusei2,5
dragonknight4,5
farlandstoryfx,6
firewomanmatoigumi,10
firstkissstory,6
fushiginokuninoangelique,6
gingaojousamadensetsuyunafxkns,3
hatarakushoujotekipakiworkinglovefx,6
bluechicagoblues,6
bluechicagoblues,6
kishindoujinzenkifxvajrafight,3
kokuuhyouryuunirgends,6
konpekinokantai,6
lastimperialprince,6
lastimperialprince,6
lunaticdawnfx,6
mahjonggokuutenjiku,6
makerunamakendouz,6
megamitengoku2,6
minimumnanotic,6
miraculumthelastrevelation,6
ojousamasousamou,6
pachiokunfxmaboroshinoshimadaisakusen,6
piacarroteyoukoso,1
piacarroteyoukoso,1
powerdollsfx,6
returntozork,6
rurulirarura,6
shanghaibanrinochoujouthegreatwall,6
sotsugyou2neogeneration,6
sotsugyourgraduationreal,5
sparklingfeather,6
superpowerleaguefx,3
superrealmahjongp5,8
teaminnocentetponr,3
tenchimuyouryououkifx,7
tenchimuyouryououkifx,7
tangaimakyoudennoukarakurikakutouden,3
tokimekicardparadisekoinoroyalstraightflush,9
tonarinoprincessrolfee,6
voiceparadise,6
voiceparadise,6
wakuseikoukitailittlecats,6
queenofqueens,6
queenofqueens,6
zokuhatsukoimonogatarishuugakuryokou,6
zokuhatsukoimonogatarishuugakuryokou,6
animefreakfxvol1,6
animefreakfxvol2,6
animefreakfxvol3,6
animefreakfxvol4,6
animefreakfxvol5,6
animefreakfxvol5,6
animefreakfxvol6,6
animefreakfxvol6,6
gingaojousamadensetsuyunafxkns,3
pcenginefanspecialcdrom2,10
pcenginefanspecialcdrom3,10
superpcenginefandeluxespecialcdrom1,10
superpcenginefandeluxespecialcdrom2,10
