game_id,region_id
aamegamisama,1
aamegamisama,1
akazukinchachaosawagasepanicrace,1
albarianotomoe,1
angelique,1
angeliquespecial2,1
angeliquetenkuunorequiem,1
battleheat,1
bluebreakerkenyorimohohoemiwo,1
boundarygatedaughterofkingdom,1
cancanbunnyextra,1
cancanbunnyextra,1
chipchankick,1
shoujinheikizeroigar,1
comicroad,1
cutiehoneyfx,1
langrisser2,1
doukyuusei2,1
dragonknight4,1
farlandstoryfx,1
firewomanmatoigumi,1
firstkissstory,1
fushiginokuninoangelique,1
gingaojousamadensetsuyunafxkns,1
hatarakushoujotekipakiworkinglovefx,1
bluechicagoblues,1
bluechicagoblues,1
kishindoujinzenkifxvajrafight,1
kokuuhyouryuunirgends,1
konpekinokantai,1
lastimperialprince,1
lastimperialprince,1
lunaticdawnfx,1
mahjonggokuutenjiku,1
makerunamakendouz,1
megamitengoku2,1
minimumnanotic,1
miraculumthelastrevelation,1
ojousamasousamou,1
pachiokunfxmaboroshinoshimadaisakusen,1
piacarroteyoukoso,1
piacarroteyoukoso,1
powerdollsfx,1
returntozork,1
rurulirarura,1
shanghaibanrinochoujouthegreatwall,1
sotsugyou2neogeneration,1
sotsugyourgraduationreal,1
sparklingfeather,1
superpowerleaguefx,1
superrealmahjongp5,1
teaminnocentetponr,1
tenchimuyouryououkifx,1
tenchimuyouryououkifx,1
tangaimakyoudennoukarakurikakutouden,1
tokimekicardparadisekoinoroyalstraightflush,1
tonarinoprincessrolfee,1
voiceparadise,1
voiceparadise,1
wakuseikoukitailittlecats,1
queenofqueens,1
queenofqueens,1
zokuhatsukoimonogatarishuugakuryokou,1
zokuhatsukoimonogatarishuugakuryokou,1
animefreakfxvol1,1
animefreakfxvol2,1
animefreakfxvol3,1
animefreakfxvol4,1
animefreakfxvol5,1
animefreakfxvol5,1
animefreakfxvol6,1
animefreakfxvol6,1
gingaojousamadensetsuyunafxkns,1
pcenginefanspecialcdrom2,1
pcenginefanspecialcdrom3,1
superpcenginefandeluxespecialcdrom1,1
superpcenginefandeluxespecialcdrom2,1
