game_id,tag_id
aamegamisama,17
aamegamisama,18
akazukinchachaosawagasepanicrace,69
albarianotomoe,10
angelique,16
angeliquespecial2,15
angeliquetenkuunorequiem,50
battleheat,67
bluebreakerkenyorimohohoemiwo,50
boundarygatedaughterofkingdom,49
cancanbunnyextra,20
cancanbunnyextra,19
chipchankick,65
shoujinheikizeroigar,55
comicroad,59
cutiehoneyfx,27
langrisser2,54
doukyuusei2,11
dragonknight4,53
farlandstoryfx,51
firewomanmatoigumi,12
firstkissstory,29
fushiginokuninoangelique,33
gingaojousamadensetsuyunafxkns,25
hatarakushoujotekipakiworkinglovefx,4
bluechicagoblues,22
bluechicagoblues,24
kishindoujinzenkifxvajrafight,66
kokuuhyouryuunirgends,13
konpekinokantai,63
lastimperialprince,47
lastimperialprince,48
lunaticdawnfx,50
mahjonggokuutenjiku,36
makerunamakendouz,50
megamitengoku2,59
minimumnanotic,25
miraculumthelastrevelation,50
ojousamasousamou,6
pachiokunfxmaboroshinoshimadaisakusen,46
piacarroteyoukoso,57
piacarroteyoukoso,58
powerdollsfx,62
returntozork,5
rurulirarura,3
shanghaibanrinochoujouthegreatwall,68
sotsugyou2neogeneration,60
sotsugyourgraduationreal,59
sparklingfeather,52
superpowerleaguefx,64
superrealmahjongp5,35
teaminnocentetponr,1
tenchimuyouryououkifx,21
tenchimuyouryououkifx,23
tangaimakyoudennoukarakurikakutouden,2
tokimekicardparadisekoinoroyalstraightflush,34
tonarinoprincessrolfee,14
voiceparadise,7
voiceparadise,8
wakuseikoukitailittlecats,61
queenofqueens,37
queenofqueens,38
zokuhatsukoimonogatarishuugakuryokou,30
zokuhatsukoimonogatarishuugakuryokou,31
animefreakfxvol1,42
animefreakfxvol2,45
animefreakfxvol3,45
animefreakfxvol4,39
animefreakfxvol5,43
animefreakfxvol5,44
animefreakfxvol6,40
animefreakfxvol6,41
gingaojousamadensetsuyunafxkns,26
pcenginefanspecialcdrom2,9
pcenginefanspecialcdrom3,56
superpcenginefandeluxespecialcdrom1,28
superpcenginefandeluxespecialcdrom2,32
