tag_name,tag_id
#players:1 #genre:action:adventure #save:backup #lang:ja,1
#players:1 #genre:action:fighting #lang:ja,2
#players:1 #genre:action>platformer:puzzle #save:backup #lang:ja,3
#players:1 #genre:adventure #save:backup #based:manganime #lang:ja,4
#players:1 #genre:adventure:puzzle #port:pc #lang:ja,5
#players:1 #genre:adventure:puzzle #save:backup #lang:ja,6
#players:1 #genre:adventure:quiz #addon:mouse>pcfx #save:backup #disc:1>2 #lang:ja,7
#players:1 #genre:adventure:quiz #addon:mouse>pcfx #save:backup #disc:2>2 #lang:ja,8
#players:1 #genre:adventure:rpg>j #multigame:compilation #save:backup #lang:ja #unfinished:demo,9
#players:1 #genre:adventure:sim #save:backup #lang:ja,10
#players:1 #genre:adventure:sim>date #save:backup #addon:mouse>pcfx #port:nec>pc98 #lang:ja,11
#players:1 #genre:adventure:sim>date #save:backup #lang:ja,12
#players:1 #genre:adventure:sim>flight #save:backup #lang:ja,13
#players:1 #genre:adventure:sim>life #save:backup #lang:ja,14
#players:1 #genre:adventure:sim>otome #save:backup #lang:ja,15
#players:1 #genre:adventure:sim>otome #save:backup #port:nintendo>superfamicom #lang:ja,16
#players:1 #genre:adventure>visualnovel #addon:mouse>pcfx #save:backup #disc:1>2 #based:manganime #port:nec>pc98 #lang:ja,17
#players:1 #genre:adventure>visualnovel #addon:mouse>pcfx #save:backup #disc:2>2 #based:manganime #port:nec>pc98 #lang:ja,18
#players:1 #genre:adventure>visualnovel #multigame:compilation #port:nec>pc98 #reboxed #lang:ja,19
#players:1 #genre:adventure>visualnovel #port:nec>pc98 #lang:ja,20
#players:1 #genre:adventure>visualnovel #save:backup #disc:1>2 #based:manganime #lang:ja,21
#players:1 #genre:adventure>visualnovel #save:backup #disc:1>2 #port:laseractive #lang:ja,22
#players:1 #genre:adventure>visualnovel #save:backup #disc:2>2 #based:manganime #lang:ja,23
#players:1 #genre:adventure>visualnovel #save:backup #disc:2>2 #port:laseractive #lang:ja,24
#players:1 #genre:adventure>visualnovel #save:backup #lang:ja,25
#players:1 #genre:adventure>visualnovel #save:backup #lang:ja #unfinished:sample,26
#players:1 #genre:adventure>visualnovel:adventure #save:backup #based:manganime #lang:ja,27
#players:1 #genre:adventure>visualnovel:sim>date #multigame:compilation #lang:ja #unfinished:demo,28
#players:1 #genre:adventure>visualnovel:sim>date #save:backup #addon:mouse>pcfx #lang:ja,29
#players:1 #genre:adventure>visualnovel:sim>date #save:backup #disc:1>2 #lang:ja,30
#players:1 #genre:adventure>visualnovel:sim>date #save:backup #disc:2>2 #lang:ja,31
#players:1 #genre:adventure>visualnovel:sim>date:rpg #multigame:compilation #lang:ja #unfinished:demo,32
#players:1 #genre:board #lang:ja,33
#players:1 #genre:board>cards #addon:mouse>pcfx #search:keyword>strip #lang:ja,34
#players:1 #genre:board>mahjong #addon:mouse>pcfx #port:arcade #search:keyword>strip #lang:ja,35
#players:1 #genre:board>mahjong #lang:ja,36
#players:1 #genre:fighting:sports>wrestling #disc:1>2 #search:keyword>official #lang:ja,37
#players:1 #genre:fighting:sports>wrestling #disc:2>2 #search:keyword>official #lang:ja,38
#players:1 #genre:notagame>slideshow #based:manganime #lang:ja,39
#players:1 #genre:notagame>slideshow #disc:1>2 #based:manganime #lang:ja,40
#players:1 #genre:notagame>slideshow #disc:2>2 #based:manganime #lang:ja,41
#players:1 #genre:notagame>slideshow:board:rhythm>karaoke #based:manganime #lang:ja,42
#players:1 #genre:notagame>slideshow:quiz #disc:1>2 #lang:ja,43
#players:1 #genre:notagame>slideshow:quiz #disc:2>2 #lang:ja,44
#players:1 #genre:notagame>slideshow:rhythm>karaoke #based:manganime #lang:ja,45
#players:1 #genre:rpg:parlor>pachinko #save:backup #lang:ja,46
#players:1 #genre:rpg>a #save:backup #disc:1>2 #lang:ja,47
#players:1 #genre:rpg>a #save:backup #disc:2>2 #lang:ja,48
#players:1 #genre:rpg>dungeoncrawler>j #save:backup #lang:ja,49
#players:1 #genre:rpg>j #save:backup #lang:ja,50
#players:1 #genre:rpg>s #addon:mouse>pcfx #save:backup #lang:ja,51
#players:1 #genre:rpg>s #save:backup #lang:ja,52
#players:1 #genre:rpg>s #save:backup #port:nec>pc98 #lang:ja,53
#players:1 #genre:rpg>s #save:backup #port:sega>megadrive #lang:ja,54
#players:1 #genre:shmup>v #lang:ja,55
#players:1 #genre:shmup>v #lang:ja #unfinished:demo,56
#players:1 #genre:sim>date:adventure>visualnovel #save:backup #port:nec>pc98 #lang:ja,57
#players:1 #genre:sim>date:adventure>visualnovel #save:backup #port:nec>pc98 #reboxed #multigame:compilation #lang:ja,58
#players:1 #genre:sim>life #save:backup #lang:ja,59
#players:1 #genre:sim>life #save:backup #port:nec>pc98 #lang:ja,60
#players:1 #genre:sim>strategy #addon:mouse>pcfx #save:backup #lang:ja,61
#players:1 #genre:sim>strategy #addon:mouse>pcfx #save:backup #port:nec>pc98 #lang:ja,62
#players:1 #genre:sim>strategy #based:manganime #lang:ja,63
#players:1 #genre:sports>baseball #save:backup #search:keyword>official #lang:ja,64
#players:2:coop #genre:action #lang:ja,65
#players:2:coop #genre:action>hackandslash:brawler #save:backup #based:manganime #lang:ja,66
#players:2:vs #genre:action:fighting #lang:ja,67
#players:2:vs #genre:puzzle #addon:mouse>pcfx #save:password #port:sega>saturn #lang:ja,68
#players:6:vs #genre:board #based:manganime #lang:ja,69
