name,developer_id
A-Wave,1
A.I,2
ACC,3
AGCI,4
AIM,5
ASCII,6
ASK Kodansha,7
AVE,8
AXëS,9
Active,10
Activision,11
Activison,12
Aicom,13
Aisystem Tokyo,14
Aleksandr Chudov,15
Alpha Denshi,16
Angel,17
Another,18
Ape/Pax Softnica/Nintendo,19
Arc System Works,20
Armour Project/Game Studio,21
Artdink,22
Asmik,23
Atelier Double,24
Athena,25
Atlus,26
Audiogenic,27
Axes Art Amuse,28
BITS,29
BPS,30
BPS/S'pal,31
Bandai,32
Bandai Namco,33
Banpresto,34
Beam,35
Bethesda,36
Birthday,37
Bit Corp,38
Bit Managers,39
Bitmasters,40
Bits Laboratory,41
Bothtec,42
Braben & Bell,43
Brøderbund,44
C&E,45
C-Lab,46
CAPCOM,47
CAPCOM/Sensory Sweep,48
CAPCOM/Status,49
CBS/Sony,50
Carry Lab,51
Character Soft,52
ChatNoir,53
Chengdu Tai Jing Da Dong,54
Chunsoft,55
Chunsoft/Aquamarine,56
Coconus,57
Coconuts,58
Codemasters,59
Color Dreams,60
Compile,61
Crea-Tech,62
Crosstalk,63
Culture Brain,64
Cyclone System,65
Cygnus,66
D4,67
Daiei,68
Daou Infosys,69
Dark Technologies,70
Data East,71
Datel,72
David Wiebenson,73
Disco,74
Distinctive,75
Dragon,76
EIM,77
Eastridge,78
Eastridge Technology,79
Electronic Arts,80
Elite,81
Enigma Variations,82
Epoch,83
Epoch/Sunsoft,84
Equilibrium,85
Eurocom,86
Falcom,87
FarSight,88
Fujiya,89
G.O 1,90
Gakken,91
Game Arts,92
Game Freak,93
Game Freak/KID,94
Game Studio,95
GameTek,96
GameTek/Imagitec Design,97
Gartist Team,98
Gen Creative House,99
Graftgold,100
Graphic Research,101
Gray Matter,102
Gray Matter/Eastridge Technology,103
Gray Matter/Jaleco,104
Gremlin,105
HAL Laboratory,106
HAL Laboratory/HyperWare/MGP,107
HAL Laboratory/Live Planning,108
Hacker International/Color Dreams,109
Hacker International/Thin Chen,110
Hect,111
Hicom,112
Home Data,113
Home Data/Pax Softnica,114
Hot-B,115
Hudson,116
Hudson/Aicom,117
Hudson/Sharp/Nintendo,118
Hudson/Summer Project,119
Human,120
Hummer Team,121
HummingBird,122
Hwang Shinwei,123
Hyperware,124
ICOM Simulations,125
IGS,126
ISCO,127
ISCO/HAL Laboratory,128
Idea-Tek,129
Images,130
Imagineer,131
Imagineering,132
Incredible Technologies,133
Infinity,134
Intelligent Systems,135
Intelligent Systems/Nintendo,136
Interlink,137
Interplay,138
Irem,139
Jaleco,140
Japan Soft Technology,141
Japan System House,142
Japan System Supply,143
Jingukan,144
Joy Van,145
KAC,146
KAC/SNK,147
KAZe,148
KID,149
KID/Artman,150
Kawada,151
Kemco,152
King Records,153
Kitty,154
Koei,155
Kogado,156
Konami,157
Konami/Tokyo Shoseki,158
Kotobuki System,159
Kyugo,160
Kyugo Boueki,161
Lenar,162
Lenar/Tamtex,163
Lite Star,164
Login,165
Loriciel,166
LucasFilm,167
Lucasfilm/Beam,168
Lucasfilm/Sculptured,169
Make,170
Marionette,171
Marionette/SRS,172
Mars,173
Mega Soft,174
MegaHouse,175
Michael & Cam Crick,176
Micro Academy,177
Micro Genius,178
MicroProse,179
Micronics,180
Microsmiths,181
Mind's Eye,182
Mindscape,183
MotiveTime,184
Motivetime,185
Musical Plan,186
NAMCO,187
NAMCO Piccari Club,188
NAMCO/TOSE,189
NCS,190
NMK,191
NMS,192
NTDEC,193
Natsume,194
New Frontier,195
Newtopia,196
Newtopia/Scitron,197
Nighthawk/Eurocom,198
Nihon Bussan,199
Nintendo,200
Nintendo EAD,201
Nintendo EAD/Intelligent Systems,202
Nintendo EAD/SRD,203
Nintendo/HAL Laboratory,204
Nintendo/Intelligent Systems,205
Nintendo/Locomotive,206
Nintendo/Pax Softnica,207
Nintendo/SRD,208
Nintendo/TOSE,209
Nintendo/Technōs,210
Nova,211
Novotrade,212
Now Production,213
Now Production/NAMCO,214
Ocean,215
Odyssey,216
Office Koukan/Shouei System,217
Open,218
Open-Reach,219
Optimus/Codemasters,220
Origin,221
Orpheck,222
Outback,223
Outback/S'pal,224
Pack-In-Video,225
Painting by Numbers,226
Pandora Box,227
Pandora Box/Winkysoft/Studio Woop,228
Pax Softnica,229
Piccari,230
Pixel,231
Pixel/Hot-B,232
Pixel/Tom Create,233
Plex,234
Pony Canyon,235
Pony Canyon/Opera House,236
Probe,237
Quest,238
RacerMate,239
Radiance,240
Radiance/Designer,241
Radical,242
Rainbow Arts,243
Random House,244
Rare,245
Rare/Conector 91,246
Rare/NMK,247
Rare/Zippo,248
Realtime,249
Realtime/Ironwind,250
Riverhill,251
Rocket Science,252
Romstar,253
S'Pal,254
SETA,255
SETA/Yuto Ramon,256
SNK,257
SOFEL,258
Sakata SAS,259
Sakata SAS/Data East,260
Sammy,261
Sanritsu,262
Sanritsu/Aicom,263
Scitron & Art,264
Sculptured,265
Sculptured/Radioactive,266
Seibu Kahatsu,267
Shimada Kikaku,268
Shouei System,269
Shouei System/Bear's,270
Showa Tsusho,271
Sigma,272
Sofel,273
Soft Machine,274
Soft Pro,275
Soft Vision,276
Softie,277
Software Creations,278
Sol/Mic/Data East,279
Soldout,280
Source,281
Source/Micros,282
Spidersoft,283
Square,284
Stephen Clarke-Wilson/Tommy Tallarico,285
Sunsoft,286
System 3,287
T&E,288
TOSE,289
TOSE/Birthday,290
TOSE/Tokyo Shoseki,291
TSS,292
Taito,293
Taito/SETA/Allumer/Nova,294
Taito/Sol,295
Takara,296
Takeru,297
Takeru/K2,298
Tamtex,299
Tamtex/TOSE,300
Team Bioteckers,301
Techno Quest,302
Technōs,303
Tecmo,304
Teeny Weeny,305
Telenet,306
Tengen,307
Tengen/Sanritsu,308
Tengen/Sunsoft,309
The Bitmap Brothers,310
The Oliver Twins,311
The Sales Curve,312
The Software Toolworks,313
Thin Chen,314
Thin Chen/Kuk Je Academy,315
Thinking Rabbit,316
Tierheit,317
Titus,318
Toaplan,319
Toei,320
Toho,321
Tokai Engineering,322
Tokuma Shoten,323
Tokyo Shoseki,324
Tokyo Shoseki/Toppan,325
Tomy,326
Towa Chiki,327
Trilobyte,328
Twilight,329
UPL,330
Use,331
VIC Tokai,332
Varie,333
Victor,334
Virgin,335
Visco,336
Visual Concepts,337
Waixing,338
Western Technologies,339
Westone,340
Westone/Atlus,341
Will Harvey,342
Williams,343
Winkysoft,344
Wisdom Tree,345
Wisdom Tree/Color Dreams,346
Wixel/Micronics,347
Workss,348
Worksss,349
Yasuda,350
Yutaka,351
Yuu Yuu,352
ZAP,353
Zap,354
Zippo,355
Zippo/Rare,356
dB-Soft,357
dB-Soft/Layla&Daini,358
