game_id,developer_id
4ninuchimahjong,116
4ninuchimahjong,116
8eyes,316
10yardfight,139
10yardfight,139
89dennoukyuuseiuranai,144
100mandollarkidmaboroshiteiouhen,273
1942,180
1943,47
1943,47
1999horemitakotpkaseikimatsu,58
aresshadeikou,22
aweekofgarfield,173
aayakyuujinseiicchokusen,261
abadox,194
abarenboutengu,148
ultimateaircombat,11
adventuresoflolo,106
adventuresoflolo2,106
afterburner2,286
watashinohoshi,139
aighinanoyoken,332
airfortress,106
airwolf,160
akagawajirounoyuureiressha,153
akira,289
uninvited,125
akumajoudensetsu,157
akumajoudracula,157
akumajouspecialbokudraculakun,157
akumakunmakainowana,289
aliensyndrome,262
americadaitouryousenkyo,28
americaoudanultraquizssnt,231
americaoudanultraquizssnt,231
americandream,58
ankokushinwayamatotakerudensetsu,324
kekkyokunankyokudaibouken,157
kekkyokunankyokudaibouken,157
aokiookamitoshirokimejikagenchouhishi,155
aokiookamitoshirokimejikagenghiskhan,155
arabiandreamscheherazade,177
arctic,22
argosnosenshi,304
argosnosenshi,304
argus,191
arkanoid,293
arkanoid2,293
armadillo,5
artelius,199
asmikkunland,101
asoarmoredscrumobject,257
astrofang,274
sasa,349
athena,180
atlantisnonazo,286
attackanimalgakuen,197
babel,187
bakenhisshougakugatein,101
bakushoustarmonomaneshitennou,225
bakushouainogekijou,58
bakushoujinseigekijou,293
bakushoujinseigekijou2,293
bakushoujinseigekijou3,293
ballblazer,235
balloonfight,204
baltron,269
banana,334
banananoujinodaibouken,280
barcodeworld,84
baseball,200
baseballfighter,101
baseballstarmezasesankanou,257
batmanthevideogame,286
batsuandterry,331
battlebaseball,332
battlefleet,26
battleformula,322
battlerush,289
battlestadiumsenbatsuproyakyuu,126
battlestorm,31
battlecity,219
battletoads,245
bebophighschoolkgd,71
bestkeibaderbystallion,6
bestkeibaderbystallion,6
bestplayproyakyuu,6
bestplayproyakyuu,6
bestplayproyakyuu2,6
bestplayproyakyuu90,6
bestplayproyakyuuspecial,6
bestplayproyakyuuspecial,6
bikkurinekketsushinkiroku,303
bikkurimanworldgekitouseisenshi,26
binaryland,116
biomiraclebokutteupa,157
biosenshidanincreasertonotatakai,26
birdweek,162
blodialandpuzzlequest,289
bloodywarriorsshanggonogyakushuu,180
bokosukawars,41
bomberking,117
bomberman,116
bomberman2,116
boobykids,199
boulderdash,259
bubblebobble2,293
buckyoharefc,157
burningrubber,259
buraifighter,149
hamburger,259
businesswars,111
bwings,71
cadillac,111
capcombarcelona92,47
captained,101
captainsaver,194
captainsilver,71
captaintsubasa,304
captaintsubasa2superstriker,304
casinoderby,224
castleexcellent,41
castlequest,219
chacknpop,289
challenger,116
championshipbowling,18
championshiploderunner,116
chaosworld,194
chesterfield,332
chibimarukochanukiukishopping,187
chiisanaobakeacchikocchisocchi,26
chikichikimachinemourace,26
chipndalerescuerangers,47
chipndalerescuerangers2,47
chiteisenkuuvazolder,65
chiyonofujinoooichou,20
chouwakuseisenkimetafight,322
choplifter,289
choplifter,289
choujikuuyousaimacross,187
choujinultrabaseball,64
choujinsentaijetman,194
choujinrousenkiwarwolf,259
takeshinochousenjou,294
chuugokujanshistorytonfuu,353
chuugokusenseijutsu,263
chuukataisen,74
circuscharlie,157
cityadventuretouchmyseryoftriangle,61
cityconnection,111
clucluland,200
cobracommandfc,71
cocoron,298
columbusougonnoyoake,326
conflict,332
contra,157
controllertestprogram,200
cosmicepsilon,113
cosmicwars,157
cosmogenesis,6
cosmopolicegalivan,199
crayonshinchanoratopoipoi,289
crayonshinchanoratopoipoi,289
crazyclimber,199
crisisforce,157
crossfire,161
cycleraceroadman,3
dai2jisuperrobottaisen,344
daikaijuudeburas,279
daikoukaijidai,155
daikunogensan,139
daikunogensan2,180
meikyuunotatsujindaimeiro,83
daisenryaku,42
daivaimperialofnirsartia,288
darklord,71
dashyarou,336
datsugokuprisionersofwar,257
deblock,25
deepdungeon4kuronoyoujutsushi,122
dejavu,125
dengekibigbang,332
wizardsandwarriors,247
derbystallionzenkokuban,6
devilman,127
devilworld,200
devilworld,200
dezaemon,149
diehardnes,225
digdug,187
digdug2,187
digitaldevilstorymegamitensei,26
digitaldevilstorymegamitensei2,26
digitaldevilstorymegamitensei2,26
dokidokiyuuenchi,149
dokuganryuumasamune,211
dondokodon,293
dondokodon2,194
donaldduck,152
donaldland,71
donkeykong,208
donkeykong,208
donkeykong3,200
donkeykongjr,208
donkeykongjr,208
donkeykongjrdonkeykongjrnosansuuasobi,208
doordoor,55
doradoradora,194
doremon,116
doremon,116
doraemongigazombienogyakushuu,259
doubledragon,303
doubledragon2therevenge,303
doubledragon3therosettastone,303
doublemoondensetsu,190
doughboy,152
downtownnekketsukoushinkyoku,303
downtownnekketsumonogatari,303
downtownspecialkuniokunnjdzs,303
drmario,200
dragonballdaimaoufukkatsu,289
dragonballshenlongnonazo,289
dragonball3gokuuden,289
dragonball3gokuuden,289
dragonballzgekitoutenkaichibudoukai,289
dragonballzkyoushuusaiyajin,289
dragonballzkyoushuusaiyajin,289
dragonballzsaiyajinztsumetsukeikaku,289
dragonballz2gekishinfreezer,289
dragonballz2gekishinfreezer,289
dragonballz3ressenjinzouningen,289
dragonbuster,289
dragonbuster2yaminofuuin,289
dragonfighter,194
dragonninja,71
dragonninja,71
dragonquest,55
dragonquest2akuryounokamigami,55
dragonquest3soshitedensetsue,55
dragonquest3soshitedensetsue,55
dragonquest4chibikareshimonotachi,55
dragonquest4chibikareshimonotachi,55
dragonscrollyomigaerishimaryuu,157
dragonslayer4draslefamily,87
dragonspiritaratanarudensetsu,187
dragonunit,25
dragonwars,152
dragonslairnes,185
dragonsofflame,24
heroesofthelance,194
dreammaster,37
duckhunt,200
duckhunt,200
ducktales2,170
dungeonandmagicswordsofelement,194
dungeonkid,231
batmanreturnofthejoker,286
dynamitebowl,276
dynamitebowl,276
eggerlandmeikyuunofukkatsu,106
egypt,120
popeyenoeigoasobi,200
elevatoraction,180
elevatoraction,180
elnarknozaihou,327
elysion,324
emoyanno10baiproyakyuuce,111
erikatosatorunoyumebouken,26
esperboukentai,191
esperdream2aratanarutatakai,157
excitebike,208
excitingboxing,120
excitingrally,120
exedexes,180
exerion,140
f1circus,170
f1race,106
f1sensation,157
kattenishirokumamoriwosukuenomaki,50
famicomigonyuumon,113
famicomjumpeiyuuretsuden,289
famicomjump2saikyouno7nin,56
famicommeijinsen,257
famicommeijinsen,257
famicomshougiryuuousen,113
topmanagement,155
famicomwars,136
famicomyakyuuban,259
famicombox,200
famicomstation,200
familybasic,118
familybasic,118
familybasic,118
familybasic,118
familyblock,336
kingofboxer,259
familycircuit,95
familycircuit91,95
familyjockey,187
familymahjong,199
familymahjong,199
familymahjong2shanghaienomichi,199
familypinball,150
familyquiz,25
familyschool,325
familytennis,188
athleticworld,120
athleticworld,120
runningstadium,120
aerobistudio,120
joggingrace,120
meirodaisakusen,120
manhattanpolice,120
daiundoukai,120
totsugekifuuuntakeshijou,32
fuuuntakeshijouni,32
rairaikyonshis,32
famista89kaimakuban,187
famista90,187
famista91,187
famista92,187
famista93,187
famista94,187
fantasyzone,286
fantasyzone2oonn,286
fariafuuinnotsurugi,92
faxanadu,116
pcgenjinpithecanthropuscomputerurus,2
kanshuuf1hero,287
fieldcombat,140
fightinggolf,257
fightinggolf,257
fightingroad,320
finalfantasy,284
finalfantasy,284
finalfantasy2,284
finalfantasy1and2,284
finalfantasy3,284
finallap,20
finalmission,194
fireemblemankokuryuutohikarinotsurugi,136
fireemblemgaiden,135
flappy,357
fleetcommander,6
flipullaecg,293
flipullaecg,293
flyinghero,13
formationz,111
formationz,111
frontline,293
fudoumyououden,289
aboyandhisblobtroubleinblobolonia,132
fushiginouminonadia,3
fuzzicalfighter,170
galaga,187
galaxian,187
galaxian,187
zunousenkangalg,301
gamblerjikochuushinha,41
gamblerjikochuushinha2,41
gameparty,57
ganbaregoemonkarakuridouchuu,157
ganbaregoemon2,157
ganbaregoemongaidenkietapugonkiseru,157
ganbaregoemongaidenkietapugonkiseru,157
ganbaregoemongaiden2tenkanozaihou,157
ganbarepennantrace,157
gansosaiyuukisupermonkeydaibouken,302
gegegenokitarouyoukaidaimakyou,289
gegegenokitarou2youkaigundannochousen,289
geimos,347
gekikameninjaden,157
gekitotsuyonkubattle,299
gekitouprowrestoukondensetsu,304
gekitoustadium,304
genpeitoumaden,187
getsufuumaden,157
ghostbusters,41
gimmeabreakssnqok,254
gimmeabreakssnqok2,254
gimmick,286
gingaeiyuudensetsufc,323
chikyuusenshirayieza,200
supercupsoccer,289
godslayer,257
godzilla,61
golf,200
golfclubbirdyrush,71
golfgrandslam,289
golfkkoopen,289
golgo13daiishoukamigaminotasogare,332
golgo13dainishouicarusnonazo,13
gomokunarabe,200
gorbynopipelinedaisakusen,61
gozonjiyajikitachindoudhuu,124
gradius,157
gradius,157
gradius,157
gradius2,157
grandmaster,274
greatbattlecyber,20
greatboxingrushup,231
greatdeal,111
greattank,257
gremlin2shinshutanjou,286
goardicgaiden,61
guevara,257
gunnac,61
gunsight,157
gundec,13
gunhedaratanarutatakai,321
gyrodine,120
hajanofuuin,156
hananostarkaidou,334
hanjukuhero,41
happybirthdaybugs,152
hatris,30
hayauchisuperigo,113
hayauchisuperigo,113
heavybarrel,259
hebereke,286
hector87,116
heiseitensaibakabon,187
hellokittynoohanabatake,268
balloonkid,229
heraclesnoeikoutoujinmakyouden,71
heraclesnoeikou2titannometsubou,71
hinotorihououhengaounobouken,157
higemarumakaijimananatsunoshimadaibouken,47
highwaystar,284
hillsfar,63
hirakeponkickie,296
hiryuunokenouginosho,177
hiryuunoken2dragonnotsubasa,64
hiryuunoken3goninnodragon,64
hiryuunokenspecialfightingwars,64
hissatsudoujouyaburi,272
hissatsushigotonin,20
hitlernofukkatsutopsecret,47
hogansalley,200
hogansalley,200
hokkaidourensasatsujinokhotsknikiyu,229
hokutonokenfc,269
hokutonoken2,269
hokutonoken3,269
hokutonoken4,217
holydiver,139
jekyllhakasenohoumagatoki,3
homerunnighterpennantleague,71
honoonotoukyuujidodgedanpeifc,286
honoonotoukyuujidodgedanpei2,286
hook8bit,226
hoshinokirbyyumenoizuminomonogatari,106
hoshinomiruhito,18
hostages,152
hototogisu,299
hottermannochiteitanken,331
hudsonhawk,215
hvccontrollertest,200
hyakkiyagyou,331
hyakunosekainomonogatarittoaww,7
hydlide3yamikaranohoumonsha,288
hydlidespecial,288
hyokkorihyoutanjimanazonokaizokusen,351
hyperolympic,157
hyperolympic,157
hyperolympic84,157
hyperolympic84,157
ilovesoftball,171
iceclimber,208
ideyousukemeijinnojissenmahjong,47
ideyousukemeijinnojissenmahjong,47
ideyousukemeijinnojissenmahjong2,20
spacecollegekikenbutsunoyasashiibutsuritokagaku,157
idolhakkeden,194
igokyuurobantaikyoku,30
igomeikan,111
igoshinan,111
igoshinan91,111
igoshinan92,111
igoshinan93,111
igoshinan94,111
ikari,180
dogousouken,180
ikari3,257
ikeikenekketsuhouckeybuskd,303
ikinarimusician,186
ikki,286
imagefight,139
indranohikari,152
insectorx,115
isakishuugorounokeibahisshougaku,46
ishinnoarashi,155
itadakistreetwatashinoomiseniyottette,21
jleaguefightingsoccer,101
jleaguesupertopplayers,289
