game_id,publisher_id
4ninuchimahjong,149
4ninuchimahjong,149
8eyes,165
10yardfight,102
10yardfight,102
89dennoukyuuseiuranai,105
100mandollarkidmaboroshiteiouhen,176
1942,37
1943,37
1943,149
1999horemitakotpkaseikimatsu,36
aresshadeikou,157
aweekofgarfield,209
aayakyuujinseiicchokusen,170
abadox,145
abarenboutengu,132
ultimateaircombat,151
adventuresoflolo,78
adventuresoflolo2,78
afterburner2,185
watashinohoshi,102
aighinanoyoken,218
airfortress,78
airwolf,118
akagawajirounoyuureiressha,113
akira,191
uninvited,110
akumajoudensetsu,115
akumajoudracula,115
akumajouspecialbokudraculakun,115
akumakunmakainowana,24
aliensyndrome,185
americadaitouryousenkyo,84
americaoudanultraquizssnt,207
americaoudanultraquizssnt,207
americandream,36
ankokushinwayamatotakerudensetsu,206
kekkyokunankyokudaibouken,115
kekkyokunankyokudaibouken,115
aokiookamitoshirokimejikagenchouhishi,114
aokiookamitoshirokimejikagenghiskhan,114
arabiandreamscheherazade,49
arctic,157
argosnosenshi,197
argosnosenshi,149
argus,104
arkanoid,191
arkanoid2,191
armadillo,94
artelius,148
asmikkunland,19
asoarmoredscrumobject,166
astrofang,2
sasa,5
athena,166
atlantisnonazo,185
attackanimalgakuen,157
babel,139
bakenhisshougakugatein,106
bakushoustarmonomaneshitennou,151
bakushouainogekijou,36
bakushoujinseigekijou,191
bakushoujinseigekijou2,191
bakushoujinseigekijou3,191
ballblazer,157
balloonfight,149
baltron,202
banana,221
banananoujinodaibouken,193
barcodeworld,185
baseball,149
baseballfighter,217
baseballstarmezasesankanou,166
batmanthevideogame,185
batsuandterry,216
battlebaseball,26
battlefleet,139
battleformula,185
battlerush,22
battlestadiumsenbatsuproyakyuu,94
battlestorm,229
battlecity,139
battletoads,128
bebophighschoolkgd,53
bestkeibaderbystallion,5
bestkeibaderbystallion,5
bestplayproyakyuu,5
bestplayproyakyuu,5
bestplayproyakyuu2,5
bestplayproyakyuu90,5
bestplayproyakyuuspecial,5
bestplayproyakyuuspecial,5
bikkurinekketsushinkiroku,196
bikkurimanworldgekitouseisenshi,90
binaryland,90
biomiraclebokutteupa,115
biosenshidanincreasertonotatakai,104
birdweek,203
blodialandpuzzlequest,208
bloodywarriorsshanggonogyakushuu,202
bokosukawars,5
bomberking,90
bomberman,90
bomberman2,90
boobykids,148
boulderdash,53
bubblebobble2,191
buckyoharefc,115
burningrubber,53
buraifighter,191
hamburger,139
businesswars,84
bwings,53
cadillac,84
capcombarcelona92,37
captained,38
captainsaver,191
captainsilver,205
