game_id,region_id
4ninuchimahjong,12
4ninuchimahjong,12
8eyes,12
10yardfight,12
10yardfight,12
89dennoukyuuseiuranai,12
100mandollarkidmaboroshiteiouhen,12
1942,12
1943,12
1943,12
1999horemitakotpkaseikimatsu,12
aresshadeikou,12
aweekofgarfield,12
aayakyuujinseiicchokusen,12
abadox,12
abarenboutengu,12
ultimateaircombat,12
adventuresoflolo,12
adventuresoflolo2,12
afterburner2,12
watashinohoshi,12
aighinanoyoken,12
airfortress,12
airwolf,12
akagawajirounoyuureiressha,12
akira,12
uninvited,12
akumajoudensetsu,12
akumajoudracula,12
akumajouspecialbokudraculakun,12
akumakunmakainowana,12
aliensyndrome,12
americadaitouryousenkyo,12
americaoudanultraquizssnt,12
americaoudanultraquizssnt,12
americandream,12
ankokushinwayamatotakerudensetsu,12
kekkyokunankyokudaibouken,12
kekkyokunankyokudaibouken,12
aokiookamitoshirokimejikagenchouhishi,12
aokiookamitoshirokimejikagenghiskhan,12
arabiandreamscheherazade,12
arctic,12
argosnosenshi,12
argosnosenshi,12
argus,12
arkanoid,12
arkanoid2,12
armadillo,12
artelius,12
asmikkunland,12
asoarmoredscrumobject,12
astrofang,12
sasa,12
athena,12
atlantisnonazo,12
attackanimalgakuen,12
babel,12
bakenhisshougakugatein,12
bakushoustarmonomaneshitennou,12
bakushouainogekijou,12
bakushoujinseigekijou,12
bakushoujinseigekijou2,12
bakushoujinseigekijou3,12
ballblazer,12
balloonfight,12
baltron,12
banana,12
banananoujinodaibouken,12
barcodeworld,12
baseball,12
baseballfighter,12
baseballstarmezasesankanou,12
batmanthevideogame,12
batsuandterry,12
battlebaseball,12
battlefleet,12
battleformula,12
battlerush,12
battlestadiumsenbatsuproyakyuu,12
battlestorm,12
battlecity,12
battletoads,12
bebophighschoolkgd,12
bestkeibaderbystallion,12
bestkeibaderbystallion,12
bestplayproyakyuu,12
bestplayproyakyuu,12
bestplayproyakyuu2,12
bestplayproyakyuu90,12
bestplayproyakyuuspecial,12
bestplayproyakyuuspecial,12
bikkurinekketsushinkiroku,12
bikkurimanworldgekitouseisenshi,12
binaryland,12
biomiraclebokutteupa,12
biosenshidanincreasertonotatakai,12
birdweek,12
blodialandpuzzlequest,12
bloodywarriorsshanggonogyakushuu,12
bokosukawars,12
bomberking,12
bomberman,12
bomberman2,12
boobykids,12
boulderdash,12
bubblebobble2,12
buckyoharefc,12
burningrubber,12
buraifighter,12
hamburger,12
businesswars,12
bwings,12
cadillac,12
capcombarcelona92,12
captained,12
captainsaver,12
captainsilver,12
captaintsubasa,12
captaintsubasa2superstriker,12
casinoderby,12
castleexcellent,12
castlequest,12
chacknpop,12
challenger,12
championshipbowling,12
championshiploderunner,12
chaosworld,12
chesterfield,12
