game_id,tag_id
4ninuchimahjong,579
4ninuchimahjong,581
8eyes,1306
10yardfight,1692
10yardfight,1694
89dennoukyuuseiuranai,660
100mandollarkidmaboroshiteiouhen,564
1942,1244
1943,967
1943,969
1999horemitakotpkaseikimatsu,1465
aresshadeikou,1021
aweekofgarfield,186
aayakyuujinseiicchokusen,1829
abadox,943
abarenboutengu,931
ultimateaircombat,1034
adventuresoflolo,732
adventuresoflolo2,734
afterburner2,1005
watashinohoshi,660
aighinanoyoken,323
airfortress,939
airwolf,942
akagawajirounoyuureiressha,551
akira,552
uninvited,549
akumajoudensetsu,254
akumajoudracula,344
akumajouspecialbokudraculakun,333
akumakunmakainowana,901
aliensyndrome,1325
americadaitouryousenkyo,1008
americaoudanultraquizssnt,1884
americaoudanultraquizssnt,1885
americandream,525
ankokushinwayamatotakerudensetsu,505
kekkyokunankyokudaibouken,34
kekkyokunankyokudaibouken,35
aokiookamitoshirokimejikagenchouhishi,1624
aokiookamitoshirokimejikagenghiskhan,1626
arabiandreamscheherazade,840
arctic,711
argosnosenshi,284
argosnosenshi,286
argus,1386
arkanoid,1122
arkanoid2,1254
armadillo,1293
artelius,850
asmikkunland,323
asoarmoredscrumobject,960
astrofang,793
sasa,1436
athena,282
atlantisnonazo,258
attackanimalgakuen,1000
babel,711
bakenhisshougakugatein,1028
bakushoustarmonomaneshitennou,1822
bakushouainogekijou,1822
bakushoujinseigekijou,1818
bakushoujinseigekijou2,1818
bakushoujinseigekijou3,1818
ballblazer,1634
balloonfight,1262
baltron,1228
banana,711
banananoujinodaibouken,387
barcodeworld,1618
baseball,1651
baseballfighter,1641
baseballstarmezasesankanou,1656
batmanthevideogame,243
batsuandterry,207
battlebaseball,1637
battlefleet,1061
battleformula,972
battlerush,1493
battlestadiumsenbatsuproyakyuu,1635
battlestorm,1632
battlecity,1455
battletoads,1347
bebophighschoolkgd,477
bestkeibaderbystallion,1025
bestkeibaderbystallion,1026
bestplayproyakyuu,1613
bestplayproyakyuu,1615
bestplayproyakyuu2,1613
bestplayproyakyuu90,1613
bestplayproyakyuuspecial,1613
bestplayproyakyuuspecial,1614
bikkurinekketsushinkiroku,1850
bikkurimanworldgekitouseisenshi,871
binaryland,180
biomiraclebokutteupa,276
biosenshidanincreasertonotatakai,69
birdweek,24
blodialandpuzzlequest,1537
bloodywarriorsshanggonogyakushuu,880
bokosukawars,132
bomberking,168
bomberman,178
bomberman2,1757
boobykids,1133
boulderdash,1141
bubblebobble2,1299
buckyoharefc,299
burningrubber,1217
buraifighter,935
hamburger,1145
businesswars,539
bwings,1244
cadillac,1573
capcombarcelona92,1891
captained,964
captainsaver,323
captainsilver,147
captaintsubasa,1011
captaintsubasa2superstriker,1011
casinoderby,1024
castleexcellent,183
castlequest,1633
chacknpop,1133
challenger,24
championshipbowling,1830
championshiploderunner,100
chaosworld,880
chesterfield,78
chibimarukochanukiukishopping,1816
chiisanaobakeacchikocchisocchi,735
chikichikimachinemourace,194
chipndalerescuerangers,1298
chipndalerescuerangers2,1298
chiteisenkuuvazolder,945
chiyonofujinoooichou,1504
chouwakuseisenkimetafight,422
choplifter,1225
choplifter,1226
choujikuuyousaimacross,927
choujinultrabaseball,1656
choujinsentaijetman,456
choujinrousenkiwarwolf,1128
takeshinochousenjou,83
chuugokujanshistorytonfuu,579
chuugokusenseijutsu,1014
chuukataisen,934
circuscharlie,1102
cityadventuretouchmyseryoftriangle,1349
cityconnection,1116
clucluland,1452
cobracommandfc,931
cocoron,240
columbusougonnoyoake,880
conflict,1628
contra,1325
controllertestprogram,691
cosmicepsilon,999
cosmicwars,1622
cosmogenesis,1038
cosmopolicegalivan,432
crayonshinchanoratopoipoi,1544
crayonshinchanoratopoipoi,1542
crazyclimber,184
crisisforce,1381
crossfire,433
cycleraceroadman,1585
dai2jisuperrobottaisen,914
daikaijuudeburas,1056
daikoukaijidai,1056
daikunogensan,163
daikunogensan2,408
meikyuunotatsujindaimeiro,862
daisenryaku,1622
daivaimperialofnirsartia,1610
darklord,880
dashyarou,1581
datsugokuprisionersofwar,603
deblock,740
deepdungeon4kuronoyoujutsushi,865
dejavu,481
dengekibigbang,471
wizardsandwarriors,258
derbystallionzenkokuban,1023
devilman,359
devilworld,1287
devilworld,1288
dezaemon,661
diehardnes,11
digdug,1133
digdug2,1133
digitaldevilstorymegamitensei,866
digitaldevilstorymegamitensei2,912
digitaldevilstorymegamitensei2,913
dokidokiyuuenchi,469
dokuganryuumasamune,1067
dondokodon,1302
dondokodon2,276
donaldduck,1518
donaldland,345
donkeykong,1173
