name,publisher_id
2020-06-18,1
A-Wave,2
AGCI,3
ASC,4
ASCII,5
ASK Kodansha,6
AVE,7
Absolute,8
Acclaim,9
Acer TWP,10
Active,11
Activision,12
Aksys,13
Altron,14
Angel,15
Arc System Works,16
Arcadia,17
Asder,18
Asmik,19
Athena,20
Atlus,21
B-AI,22
BPS,23
Bandai,24
Bandai Namco,25
Banpresto,26
Bit Corp,27
Blaze,28
Bobmark International,29
Bothtec,30
Braben & Bell,31
Bridgestone/Tokyo Shoseki,32
Brøderbund,33
Bunch,34
C&E,35
C-Dream,36
CAPCOM,37
CBS/Sony,38
CCE,39
CSG Imagesoft,40
Caltron,41
Camerica,42
Character Soft,43
Character Soft/Mario,44
Chi Chi Toy,45
Coconuts,46
Codemasters,47
Color Dreams,48
Culture Brain,49
D4,50
Dai-ichi Life,51
Daou Infosys,52
Data East,53
Datel,54
Disco/Taito,55
Disney,56
Disney/Virgin,57
Dragon,58
Electro Brain,59
Electronic Arts,60
Elite,61
Enix,62
Enterbrain,63
Epic/Sony,64
Epoch,65
Epyx,66
FCI,67
Face,68
Fuji TV,69
Fujiya,70
G.O 1,71
Gakken,72
GameTek,73
Gamu,74
Ge De,75
Gluk,76
Gremlin,77
HAL Laboratory,78
HES,79
HOT-B,80
Hacker International,81
Haitai Supercom,82
Hamster,83
Hector,84
Hi Tech Expressions,85
Hi-Score,86
Hicom,87
Hiro,88
Hot-B,89
Hudson,90
Human,91
Hwang Shinwei,92
I'Max,93
IGS,94
INTV,95
Idea-Tek,96
Imagineer,97
Imagineer/WaveJack Jr.,98
Infocom,99
Infogrames,100
Innovation Tech,101
Irem,102
JVC,103
Jaleco,104
Jingukan/Polaris,105
KAC,106
Ka Sheng,107
Kaken,108
Kawada,109
Kemco,110
Kemco-Seika,111
Kinema Music,112
King Records,113
Koei,114
Konami,115
Konami/Idemitsu,116
Kuk Je Academy,117
Kyugo,118
Kyugo Boueki,119
LJN,120
Laser Beam/Mattel,121
Liang Yi,122
Limited Run,123
Loginsoft,124
Loginsoft/ASCII,125
Loriciel,126
M&M,127
Masaya,128
Matchbox,129
Mattel,130
Mega Soft,131
Meldac/Liveplanning,132
Micro Genius,133
MicroProse,134
Milton Bradley,135
Mindscape,136
NAMCO,137
NAMCO/Bandai,138
NAMCOT,139
NHK,140
NMK/Jaleco,141
NT,142
NTDEC,143
NTVIC,144
Natsume,145
Naxat,146
Nexoft,147
Nichibutsu,148
Nintendo,149
Ocean,150
Pack-In-Video,151
Palcom,152
Panesian,153
Parker Brothers,154
Pelican,155
Pixel,156
Pony Canyon,157
Quest,158
RCM,159
RacerMate,160
Realtec,161
Retro-Bit,162
Rix,163
Romstar,164
SETA,165
SNK,166
SOFEL,167
Sachen,168
Sachen/Hacker International,169
Sammy,170
Sanritsu,171
Sharp,172
Shinsei,173
Showa Tsusho,174
Sigma,175
Sofel,176
Soft Pro,177
Sony Imagesoft,178
Source,179
Square,180
Square Enix,181
Steepler,182
Storm,183
Storm Sales Curve,184
Sunsoft,185
Super Mega,186
Sur Dé Wave,187
THQ,188
TSS,189
TXC,190
Taito,191
Taiwan Roc,192
Takara,193
Takara Tommy,194
Taxan,195
Technōs,196
Tecmo,197
Tengen,198
The Software Toolworks,199
Titus,200
Toaplan,201
Toei,202
Toemiland,203
Toho,204
Tokuma Shoten,205
Tokyo Shoseki,206
Tomy,207
Tonkin House,208
Towa Chiki,209
Tradewest,210
Triffix,211
Trump Grand,212
UPL,213
Ubisoft,214
Ultra,215
Use,216
VAP,217
VIC Tokai,218
Varie,219
Vic,220
Victor,221
Victor/NHK/I&S,222
Virgin,223
Visco,224
Waixing,225
Wisdom Tree,226
Yamaha/Varie,227
Yasuda,228
Yonezawa Party Room 21,229
Yutaka,230
dB-Soft,231
iam8bit,232
