tag_name,tag_id
#players:1 #genre:action #addon:controller>familytrainerb #lang:en,1
#players:1 #genre:action #addon:controller>familytrainerb #lang:ja,2
#players:1 #genre:action #addon:glasses>3dsystem #search:3d>stereo #lang:en,3
#players:1 #genre:action #based #lang:en,4
#players:1 #genre:action #based #lang:ja,5
#players:1 #genre:action #based #lang:ja #rerelease:virtualconsole,6
#players:1 #genre:action #based:manganime #lang:ja,7
#players:1 #genre:action #based:movie #lang:en,8
#players:1 #genre:action #based:movie #lang:en #rev:1,9
#players:1 #genre:action #based:movie #lang:en #unfinished:beta,10
#players:1 #genre:action #based:movie #lang:ja,11
#players:1 #genre:action #based:movie #port:arcade #lang:en,12
#players:1 #genre:action #based:movie #port:arcade #lang:en #rev:1,13
#players:1 #genre:action #based:movie #port:arcade #reboxed #lang:en #unlicensed,14
#players:1 #genre:action #based:movie #port:commodore>c64 #lang:en,15
#players:1 #genre:action #based:movie #port:commodore>c64 #lang:en #unfinished:beta,16
#players:1 #genre:action #based:movie #port:spectrum #lang:en,17
#players:1 #genre:action #based:movie #search:feature>alien #port:sega>megadrive #lang:en,18
#players:1 #genre:action #based:tmnt #lang:en,19
#players:1 #genre:action #based:tmnt #lang:en #rerelease:virtualconsole,20
#players:1 #genre:action #based:tmnt #lang:en #unfinished:beta,21
#players:1 #genre:action #embedded:chip>n163 #save:password #port:arcade #lang:en,22
#players:1 #genre:action #embedded:chip>n163 #save:password #port:arcade #lang:en #unlicensed,23
#players:1 #genre:action #lang:en,24
#players:1 #genre:action #lang:en #rev:1,25
#players:1 #genre:action #lang:en #unfinished:sample,26
#players:1 #genre:action #lang:en #unlicensed,27
#players:1 #genre:action #lang:ja,28
#players:1 #genre:action #port:arcade #lang:en,29
#players:1 #genre:action #port:arcade #lang:en #rerelease:ereader,30
#players:1 #genre:action #port:arcade #lang:en #rerelease:virtualconsole,31
#players:1 #genre:action #port:atari>atarist #lang:en #unlicensed,32
#players:1 #genre:action #port:commodore>c64 #lang:en,33
#players:1 #genre:action #port:msx #lang:en,34
#players:1 #genre:action #port:msx #lang:en #rev:1,35
#players:1 #genre:action #save:password #based:manganime #search:feature>compatihero>gundam #lang:ja,36
#players:1 #genre:action #save:password #based:movie #lang:en,37
#players:1 #genre:action #save:password #based:movie #lang:en #rev:1,38
#players:1 #genre:action #save:password #based:movie #lang:ja,39
#players:1 #genre:action #save:password #lang:en #unfinished:proto,40
#players:1 #genre:action #save:password #lang:ja,41
#players:1 #genre:action #save:password #port:apple>apple2 #lang:de,42
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en,43
#players:1 #genre:action #save:password #port:apple>apple2 #lang:es,44
#players:1 #genre:action #save:password #port:apple>apple2 #lang:fr,45
#players:1 #genre:action #save:password #port:msx #lang:en,46
#players:1 #genre:action #save:password #port:msx #lang:ja,47
#players:1 #genre:action #search:feature>dracula #based #lang:en #unfinished:proto,48
#players:1 #genre:action #search:keyword>strip #lang:en #unlicensed,49
#players:1 #genre:action:adventure #based #lang:de,50
#players:1 #genre:action:adventure #based #lang:en,51
#players:1 #genre:action:adventure #based:manganime #lang:fr,52
#players:1 #genre:action:adventure #based:manganime #lang:fr #rev:1,53
#players:1 #genre:action:adventure #based:manganime #lang:ja,54
#players:1 #genre:action:adventure #based:movie #lang:de,55
#players:1 #genre:action:adventure #based:movie #lang:en,56
#players:1 #genre:action:adventure #based:movie #lang:en #rev:1,57
#players:1 #genre:action:adventure #based:movie #lang:en #unfinished:beta,58
#players:1 #genre:action:adventure #based:movie #lang:es,59
#players:1 #genre:action:adventure #based:movie #lang:ja,60
#players:1 #genre:action:adventure #based:simpsons #lang:en,61
#players:1 #genre:action:adventure #based:simpsons #lang:en #rev:1,62
#players:1 #genre:action:adventure #based:simpsons #lang:en #unfinished:beta,63
#players:1 #genre:action:adventure #embedded:backup>battery #save:backup #lang:en,64
#players:1 #genre:action:adventure #embedded:backup>battery #save:backup #lang:en #rerelease:virtualconsole,65
#players:1 #genre:action:adventure #lang:en,66
#players:1 #genre:action:adventure #lang:en #unfinished:beta,67
#players:1 #genre:action:adventure #lang:en #unfinished:proto,68
#players:1 #genre:action:adventure #lang:ja,69
#players:1 #genre:action:adventure #port:sharp>x1 #search:franchise>dragonslayer #lang:ja,70
#players:1 #genre:action:adventure #port:sharp>x1 #search:franchise>dragonslayer #lang:ja #rev:1 #unfinished:proto,71
#players:1 #genre:action:adventure #save:password #based #lang:en,72
#players:1 #genre:action:adventure #save:password #based #lang:ja,73
#players:1 #genre:action:adventure #save:password #based #lang:ja #unfinished:beta,74
#players:1 #genre:action:adventure #save:password #based:manganime #lang:ja,75
#players:1 #genre:action:adventure #save:password #based:movie:looneytunes #lang:en,76
#players:1 #genre:action:adventure #save:password #lang:en,77
#players:1 #genre:action:adventure #save:password #lang:ja,78
#players:1 #genre:action:adventure #save:password #lang:ja #rerelease:virtualconsole,79
#players:1 #genre:action:adventure #save:password #lang:ja #unfinished:beta,80
#players:1 #genre:action:adventure #save:password #port:apple>apple2 #lang:en,81
#players:1 #genre:action:adventure #save:password #search:feature>sherlock #lang:ja,82
#players:1 #genre:action:adventure #save:password #search:keyword>endorsed #lang:ja,83
#players:1 #genre:action:adventure #save:password #search:keyword>endorsed #lang:ja #rerelease:virtualconsole,84
#players:1 #genre:action:adventure:puzzle #save:password #based #lang:en,85
#players:1 #genre:action:adventure:rpg>a #lang:ja,86
#players:1 #genre:action:adventure:shmup>h #lang:en #unfinished:beta #unlicensed,87
#players:1 #genre:action:adventure:shmup>h #lang:en #unlicensed,88
#players:1 #genre:action:adventure:shooting>gallery #addon:lightgun>zapper>laserscope #save:password #based #lang:en,89
#players:1 #genre:action:adventure:shooting>rail>gallery #port:commodore>amiga #lang:en,90
#players:1 #genre:action:adventure:sim>strategy #embedded:backup>battery #save:password #port:commodore>c64 #lang:de,91
#players:1 #genre:action:adventure:sim>strategy #embedded:backup>battery #save:password #port:commodore>c64 #lang:en,92
#players:1 #genre:action:adventure:sports>skateboarding #lang:en,93
#players:1 #genre:action:brawler #based #lang:en,94
#players:1 #genre:action:puzzle #embedded:backup>battery #save:backup #lang:ja,95
#players:1 #genre:action:puzzle #lang:en,96
#players:1 #genre:action:puzzle #lang:en #rev:1,97
#players:1 #genre:action:puzzle #lang:en #unfinished:beta,98
#players:1 #genre:action:puzzle #lang:ja,99
#players:1 #genre:action:puzzle #port:apple>apple2 #lang:en,100
#players:1 #genre:action:puzzle #port:commodore>c64 #lang:en,101
#players:1 #genre:action:puzzle #port:sharp>x1 #lang:en,102
#players:1 #genre:action:puzzle #reboxed #lang:en,103
#players:1 #genre:action:puzzle #save:password #lang:en,104
#players:1 #genre:action:puzzle #save:password #lang:en #unfinished:beta,105
#players:1 #genre:action:puzzle:quiz #lang:ja,106
#players:1 #genre:action:racing #based:movie #port:commodore>c64 #lang:en,107
#players:1 #genre:action:racing>combat:shmup>i #lang:en,108
#players:1 #genre:action:rpg>dungeoncrawler #based:movie #lang:en,109
#players:1 #genre:action:rpg>dungeoncrawler:fighting:racing:shooting>gallery #based:manganime #lang:en,110
#players:1 #genre:action:rpg>dungeoncrawler:fighting:racing:shooting>gallery #based:manganime #lang:ja,111
#players:1 #genre:action:shmup #lang:en,112
#players:1 #genre:action:shmup #lang:en #unlicensed,113
#players:1 #genre:action:shmup #port:commodore>c64 #lang:en,114
#players:1 #genre:action:shmup #save:password #lang:en,115
#players:1 #genre:action:shmup #save:password #lang:en #rerelease:namcot>2,116
#players:1 #genre:action:shmup #save:password #reboxed #lang:en,117
#players:1 #genre:action:shmup>h #based #lang:en,118
#players:1 #genre:action:shmup>h #based:movie #lang:en,119
#players:1 #genre:action:shmup>h #based:movie #lang:en #rev:1,120
#players:1 #genre:action:shmup>h #based:movie #reboxed #lang:en,121
#players:1 #genre:action:shmup>h #lang:en,122
#players:1 #genre:action:shmup>h #save:password #based #lang:en,123
#players:1 #genre:action:shmup>h #save:password #lang:en,124
#players:1 #genre:action:shmup>h #save:password #lang:ja,125
#players:1 #genre:action:shmup>v #based:movie #lang:en,126
#players:1 #genre:action:shooting>gallery #lang:en,127
#players:1 #genre:action:shooting>gallery #lang:en #unfinished:beta,128
#players:1 #genre:action:shooting>gallery:adventure #based:manganime #lang:en,129
#players:1 #genre:action:shooting>gallery:adventure #based:manganime #lang:ja,130
#players:1 #genre:action:sim #lang:en,131
#players:1 #genre:action:sim>strategy #port:sharp>x1 #lang:ja,132
#players:1 #genre:action:sports>karate #port:apple>apple2 #lang:en,133
#players:1 #genre:action:sports>karate #port:apple>apple2 #lang:en #unfinished:beta,134
#players:1 #genre:action>blockbreaker #addon:controller>powerglove #lang:en,135
#players:1 #genre:action>blockbreaker #save:password #lang:en,136
#players:1 #genre:action>blockbreaker #save:password #lang:en #unfinished:proto,137
#players:1 #genre:action>blockbreaker #save:password #port:spectrum #lang:en,138
#players:1 #genre:action>hackandslash #based:manganime #lang:en,139
#players:1 #genre:action>hackandslash #based:manganime #lang:ja,140
#players:1 #genre:action>hackandslash #based:movie #lang:en,141
#players:1 #genre:action>hackandslash #lang:en,142
#players:1 #genre:action>hackandslash #lang:en #unlicensed,143
#players:1 #genre:action>hackandslash #lang:ja,144
#players:1 #genre:action>hackandslash #port:arcade #lang:en,145
#players:1 #genre:action>hackandslash #port:arcade #lang:en #unfinished:beta,146
#players:1 #genre:action>hackandslash #port:arcade #lang:ja,147
#players:1 #genre:action>hackandslash #save:password #lang:ja,148
#players:1 #genre:action>hackandslash #save:password #search:feature>dracula #lang:ja,149
#players:1 #genre:action>hackandslash #search:keyword>endorsed #lang:en,150
#players:1 #genre:action>hackandslash:adventure #save:password #lang:en,151
#players:1 #genre:action>hackandslash:brawler #based:manganime #lang:ja,152
#players:1 #genre:action>hackandslash:fighting #save:password #based #lang:en,153
#players:1 #genre:action>hackandslash:fighting #save:password #based #lang:ja,154
#players:1 #genre:action>hackandslash:fighting #save:password #lang:en,155
#players:1 #genre:action>hackandslash:rpg>a #save:password #lang:ja,156
#players:1 #genre:action>hackandslash:rpg>a #save:password #lang:ja #rerelease:virtualconsole,157
#players:1 #genre:action>hackandslash:shmup>h #lang:en #unlicensed,158
#players:1 #genre:action>hackandslash>platformer #lang:en,159
#players:1 #genre:action>hackandslash>platformer #lang:en #unfinished:beta #unlicensed,160
#players:1 #genre:action>hackandslash>platformer #lang:en #unlicensed,161
#players:1 #genre:action>hackandslash>platformer #port:arcade #lang:en,162
#players:1 #genre:action>hackandslash>platformer #port:arcade #lang:ja,163
#players:1 #genre:action>hackandslash>platformer #save:password #lang:en,164
#players:1 #genre:action>maze #based #lang:en,165
#players:1 #genre:action>maze #based:looneytunes #lang:en #unlicensed,166
#players:1 #genre:action>maze #embedded:backup>battery #save:backup #port:arcade #search:feature>pacman #lang:en #rerelease:namcot>1,167
#players:1 #genre:action>maze #lang:en,168
#players:1 #genre:action>maze #lang:en #unfinished:proto>1 #unlicensed,169
#players:1 #genre:action>maze #lang:en #unfinished:proto>2 #unlicensed,170
#players:1 #genre:action>maze #lang:en #unlicensed,171
#players:1 #genre:action>maze #lang:ja,172
#players:1 #genre:action>maze #lang:ja #unfinished:beta,173
#players:1 #genre:action>maze #lang:zh #unlicensed,174
#players:1 #genre:action>maze #port:arcade #lang:en,175
#players:1 #genre:action>maze #save:password #based:looneytunes #lang:en,176
#players:1 #genre:action>maze #save:password #based:looneytunes #lang:en #unfinished:beta,177
#players:1 #genre:action>maze #save:password #port:nec>pc88 #lang:en,178
#players:1 #genre:action>maze:puzzle #lang:en #rerelease:ereader,179
#players:1 #genre:action>maze:puzzle #lang:ja,180
#players:1 #genre:action>maze>platformer:shmup>h #based #lang:en,181
#players:1 #genre:action>metroidvania #based #port:amstrad #lang:en #unlicensed,182
#players:1 #genre:action>platformer #addon:backup>datarecorder>turbofile #save:backup #port:nec>pc88 #lang:en,183
#players:1 #genre:action>platformer #addon:controller>climberstick #port:arcade #lang:en,184
#players:1 #genre:action>platformer #based #based #lang:en,185
#players:1 #genre:action>platformer #based #lang:en,186
#players:1 #genre:action>platformer #based #lang:en #rev:1,187
#players:1 #genre:action>platformer #based #lang:en #unfinished:beta>1,188
#players:1 #genre:action>platformer #based #lang:en #unfinished:beta>2,189
#players:1 #genre:action>platformer #based #lang:en #unfinished:proto,190
#players:1 #genre:action>platformer #based #lang:en #unfinished:proto>1,191
#players:1 #genre:action>platformer #based #lang:en #unfinished:proto>2,192
#players:1 #genre:action>platformer #based #lang:en #unlicensed,193
