name,developer_id
ACC,1
ASCII,2
Activision,3
Atelier Double,4
Athena,5
Atlus,6
BITS,7
BPS,8
Bandai,9
Bothtec,10
C-Lab,11
CAPCOM,12
Carry,13
Carry Lab,14
ChatNoir,15
Compile,16
Data East,17
East Cube,18
Game Analizer Shuudan,19
HAL Laboratory,20
HAL Laboratory/Life Planning,21
HAL Laboratory/Nintendo,22
Hacker,23
Hacker/New Tai Sang,24
Hiro,25
Hudson,26
Human,27
HummingBird,28
I.C,29
I.C.,30
I2,31
ITL,32
Imagineer,33
Infinity,34
Intelligent Systems,35
Interlink,36
Irem,37
JV Dialog,38
Jaleco,39
Kemco,40
Kokuzeichou,41
Konami,42
Kotobuki System,43
MMI/SOFEL,44
Marionette,45
Marionette/SRS,46
Micro Cabin,47
Musical Plan,48
NAMCO,49
Nintendo,50
Nintendo EAD/SRD,51
Nintendo/Nagatanien,52
Nintendo/Nomura Shouken,53
Nintendo/Pax Softnica,54
Nintendo/SRD,55
Nintendo/Square,56
Nintendo/TOSE,57
Pack-In-Video,58
Pax Softnica/Nintendo EAD,59
Pony Canyon,60
Royal/Nintendo,61
SOFEL,62
Sakata SAS,63
Sakata SAS/Data East,64
Scitron & Art/SEDIC,65
Scorpion,66
Season,67
Shouei System,68
Soft Pro,69
Square,70
Sunsoft,71
Sunsoft/Falcon,72
Super Pig,73
System Sacom,74
TOSE,75
Taito,76
Takara,77
Tamtex,78
Tecmo,79
Thinking Rabbit,80
Toei,81
Tokuma Shoten,82
VAP,83
World,84
XTalSoft,85
hacker,86
