game_id,developer_id
neunzehn,69
adiannotsue,71
aisenshinicol,42
akumajoudracula,42
akumajoudracula,42
akumajoudracula,42
akuusenkiraijin,47
allnightnipponsupermariobros,50
almananokiseki,42
appletownmonogatarilcp,70
aspicmajaounonoroi,85
backgammon,50
bakutoushipattonkun,69
baseball,50
dogfightspirit,39
gogobowling,39
gunfighter,39
juudousenshuken,39
biomiraclebokutteupa,42
bomberman,26
breeder,69
bubblebobble,76
burgertime,64
chiteitairikuordola,71
cleopatranomahou,70
clucluland,50
coconaworld,62
dandyzeuonnofukkatsu,4
deadzone,71
digdug,49
digdug2,49
dirtypairprojecteden,9
dirtypairprojecteden,9
donkeykong,50
donkeykongjr,50
doremikko,42
dotecreatorcontest,33
drchaosjigokunotobra,46
dracula2noroinofuuin,42
druidkyoufunotobira,39
eggerland,20
eggerlandsouzouenotabidachi,20
electrician,40
esperdream,42
esperdream,42
excitingbaseball,42
doubledribble,42
excitingbilliard,42
excitingsoccerkonamicup,42
fairytale,69
falsion,42
famicomgrandprixf1race,55
famicomgrandprixf1race,55
famicomgrandprix23dhotrally,22
famicomgrandprix23dhotrally,22
famicomgrandprix23dhotrally,22
shinonigashima,59
shinonigashima,59
shinonigashima,59
yuuyuuki,59
yuuyuuki,59
famicomtainteiclubkietakoukeisha,57
famicomtainteiclubkietakoukeisha,57
famicomtanteiclubpart2ushironitatsushoujo,50
famicomtanteiclubpart2ushironitatsushoujo,50
familycomposer,48
familycomposer,48
hongkong,82
panicspace,82
all1,82
clox,82
puyopuyo,16
jankendiskjou,82
finalcommandakaiyousai,42
firebam,21
firerock,74
fmccdiskcardchecker,50
fuuunshourinken,75
fuunshourinkenanm,75
galaga,49
galaxian,49
gallforceeternalstory,20
gingadenshougalaxyodyssey,6
gokurakuyuugigametengoku,62
golf,50
golf,50
golfjapancourse,50
golfjapancourse,50
golfjapancoursenyuugaku,50
golfuscourse,50
golfuscourse,50
golfuscourse,50
golfprizecard,50
greenberetkonami,42
gunsmoke,12
gyruss,42
halleywars,32
haokunnofushiginatabi,14
hikarishinwapalthenanokagami,57
hikarishinwapalthenanokagami,57
hikarugenjirollerpanic,60
iamateachersupermarionosweater,50
iamateacherteaminokiso,61
iceclimber,50
icehockey,54
igokyuurobantaikyoku,8
ishidou,25
jaamantanteidanmaringumimjsf,9
jikaishounenmetmag,80
kaettekitamariobrothers,52
kalinnotsurugi,85
kamenriderblacktaiketsushadowmoon,27
karatechamp,64
kattobidouji,58
kickandrun,76
airfootynknas,83
kietaprincess,34
kikikaikaidotouhen,7
kikikaikaidotouhen,7
kinnikumankos,27
kinnikumankos,27
knightloremajounoookamiotoko,75
knightmove,38
knightmove,38
konamicicehockey,42
konamictennis,42
konekomonogataritaoc,45
linknobouken,51
linknobouken,51
lutter,5
madousenkideepdungeon,28
madousenkideepdungeon,28
maerchenveil,74
magmaprojecthacker,7
mahjong,50
mahjongkazoku,37
matounohoukai,13
meikyuujiindababa,42
metroid,50
metroid,50
metroid,50
michaelenglishdaibouken,66
moerutwinbeechws,42
moerutwinbeechws,42
montynodokidokidaidassou,39
moonballmagic,74
tooyamanokinsanspacechoumrgold,81
nakayamamihonotokimekihighschool,56
nakayamamihonotokimekihighschool,56
nakayamamihonotokimekihighschool,56
nakayamamihonotokimekihighschool,56
