game_id,publisher_id
neunzehn,47
adiannotsue,50
aisenshinicol,33
akumajoudracula,33
akumajoudracula,33
akumajoudracula,33
akuusenkiraijin,12
allnightnipponsupermariobros,39
almananokiseki,33
appletownmonogatarilcp,12
aspicmajaounonoroi,8
backgammon,37
bakutoushipattonkun,47
baseball,37
dogfightspirit,29
gogobowling,29
gunfighter,29
juudousenshuken,29
biomiraclebokutteupa,33
bomberman,22
breeder,47
bubblebobble,53
burgertime,14
chiteitairikuordola,50
cleopatranomahou,12
clucluland,37
coconaworld,45
dandyzeuonnofukkatsu,43
deadzone,49
digdug,35
digdug2,35
dirtypairprojecteden,7
dirtypairprojecteden,7
donkeykong,37
donkeykongjr,37
doremikko,33
dotecreatorcontest,16
drchaosjigokunotobra,43
dracula2noroinofuuin,33
druidkyoufunotobira,29
eggerland,19
eggerlandsouzouenotabidachi,19
electrician,31
esperdream,33
esperdream,33
excitingbaseball,33
doubledribble,33
excitingbilliard,33
excitingsoccerkonamicup,33
fairytale,47
falsion,33
famicomgrandprixf1race,37
famicomgrandprixf1race,37
famicomgrandprix23dhotrally,37
famicomgrandprix23dhotrally,37
famicomgrandprix23dhotrally,37
shinonigashima,37
shinonigashima,37
shinonigashima,37
yuuyuuki,37
yuuyuuki,37
famicomtainteiclubkietakoukeisha,37
famicomtainteiclubkietakoukeisha,37
famicomtanteiclubpart2ushironitatsushoujo,37
famicomtanteiclubpart2ushironitatsushoujo,37
familycomposer,60
familycomposer,60
hongkong,59
panicspace,59
all1,59
clox,59
puyopuyo,59
jankendiskjou,59
finalcommandakaiyousai,33
firebam,19
firerock,62
fmccdiskcardchecker,37
fuuunshourinken,29
fuunshourinkenanm,29
galaga,35
galaxian,35
gallforceeternalstory,19
gingadenshougalaxyodyssey,26
gokurakuyuugigametengoku,45
golf,37
golf,37
golfjapancourse,37
golfjapancourse,37
golfjapancoursenyuugaku,37
golfuscourse,37
golfuscourse,37
golfuscourse,37
golfprizecard,37
greenberetkonami,33
gunsmoke,9
gyruss,33
halleywars,53
haokunnofushiginatabi,13
hikarishinwapalthenanokagami,37
hikarishinwapalthenanokagami,37
hikarugenjirollerpanic,43
iamateachersupermarionosweater,44
iamateacherteaminokiso,44
iceclimber,37
icehockey,37
igokyuurobantaikyoku,6
ishidou,21
jaamantanteidanmaringumimjsf,7
jikaishounenmetmag,13
kaettekitamariobrothers,37
kalinnotsurugi,11
kamenriderblacktaiketsushadowmoon,7
karatechamp,14
kattobidouji,41
kickandrun,53
airfootynknas,63
kietaprincess,26
kikikaikaidotouhen,53
kikikaikaidotouhen,53
kinnikumankos,7
kinnikumankos,7
knightloremajounoookamiotoko,29
knightmove,37
knightmove,37
konamicicehockey,33
konamictennis,33
konekomonogataritaoc,43
linknobouken,37
linknobouken,37
lutter,4
madousenkideepdungeon,11
madousenkideepdungeon,11
maerchenveil,49
magmaprojecthacker,59
mahjong,37
mahjongkazoku,28
matounohoukai,43
meikyuujiindababa,33
metroid,37
metroid,37
metroid,37
michaelenglishdaibouken,46
moerutwinbeechws,33
moerutwinbeechws,33
montynodokidokidaidassou,29
moonballmagic,11
tooyamanokinsanspacechoumrgold,57
nakayamamihonotokimekihighschool,37
nakayamamihonotokimekihighschool,37
nakayamamihonotokimekihighschool,37
nakayamamihonotokimekihighschool,37
nakayamamihonotokimekihighschool,37
namidanosoukobanspecial,1
nankinnoadventure,49
nazonokabeblockkuzushi,33
nazonomurasamejou,37
nazolerlandsoukangou,49
nazolerland2,49
nazolerland3,49
nazolerlandspecial,49
omoikkiritanteidanhardgumimnc,7
othello,30
othello,30
otocky,1
pachicom,61
pachinkogp,14
pacman,35
patlaborthemobilepolice,7
pinball,37
progolfersarukagenotournament,7
prowres,37
professionalmahjonggokuu,1
pulsarnohikarispacewarssimulation,47
puttputtgolf,41
puzzleboys,5
radicalbomberjiraikun,29
reflectworld,15
relicsankokuyousai,8
replicart,53
risanoyouseidensetsu,33
rogerrabbit,31
samuraisword,9
santaclausnotakarabako,14
sdgundamworldgachaponsenshiscramblewars,7
sdgundamworldgachaponsenshiscramblewars,7
sdgundamworldgachaponsenshiscramblewars,7
sdgundamworldgachaponsenshiscramblewarsmapcollection,7
sectionz,9
seikenpsychocalibur,26
silvianaaiippainolittleangel,41
smashpingpong,37
soccer,37
solomonnokagi,56
suishounodragon,13
superboyallan,2
superloderunner,28
superloderunner2,28
supermariobros,37
supermariobros2,37
supermariobros2,37
tamaandfriendssd,7
tanigawakoujinoshougishinan2menm,43
tanigawakoujinoshougishinan2sttni,43
kikennafutari,14
kikennafutari,14
shinjujuchuuoukouensatsujinjiken,14
shinjujuchuuoukouensatsujinjiken,14
taroturanai,46
tennis,37
thegoonies,33
kineko,28
kineko2,28
timetwistrekishinokatasumide,37
timetwistrekishinokatasumide,37
titanicmysteryaonosenritsu,17
tobidasedaisakusen,13
topplezip,8
transformertheheadmasters,54
twinbee,33
ultramankaijuuteikokunogyakushuu,7
ultramankaijuuteikokunogyakushuu,7
ultraman2shutsugekikatokutai,7
ultramanclubchikyuudakkansakusen,7
ultramanclubchikyuudakkansakusen,7
volleyball,37
vsexcitebike,37
wardnernomori,53
wintergames,43
wreckingcrew,37
xevious,35
youkaiyashiki,28
yumekoujoudokidokipanic,38
yumekoujoudokidokipanic,38
yuumaze,53
yuushinomonshou,13
yuushinomonshou,13
zanac,43
zeldanodensetsuthehyrulefantasy,37
zeldanodensetsuthehyrulefantasy,37
wakuseiatongaiden,32
konekomonogataritaoc,43
michaelenglishdaibouken,46
adiannotsue,50
akuusenkiraijin,13
deadzone,49
druidkyoufunotobira,29
eggerlandsouzouenotabidachi,19
famicomtanteiclubpart2ushironitatsushoujo,37
gyruss,33
konamictennis,33
otocky,1
tanigawakoujinoshougishinan2menm,43
zeldanodensetsuthehyrulefantasy,37
airfortress,19
aliensalien2,48
balloonfight,37
eggerland,19
gingadenshougalaxyodyssey,26
golf,37
gomokunarabe,37
nomuranofamicomtrade,40
nomuranofamicomtrade,40
nomuranofamicomtrade,40
shanghai,49
shanghai2,58
shanghai2,58
themonkeygame,45
kineko2,28
akitotsubasanofushiginokabe,51
