game_id,region_id
neunzehn,1
adiannotsue,1
aisenshinicol,1
akumajoudracula,1
akumajoudracula,1
akumajoudracula,1
akuusenkiraijin,1
allnightnipponsupermariobros,1
almananokiseki,1
appletownmonogatarilcp,1
aspicmajaounonoroi,1
backgammon,1
bakutoushipattonkun,1
baseball,1
dogfightspirit,1
gogobowling,1
gunfighter,1
juudousenshuken,1
biomiraclebokutteupa,1
bomberman,1
breeder,1
bubblebobble,1
burgertime,1
chiteitairikuordola,1
cleopatranomahou,1
clucluland,1
coconaworld,1
dandyzeuonnofukkatsu,1
deadzone,1
digdug,1
digdug2,1
dirtypairprojecteden,1
dirtypairprojecteden,1
donkeykong,1
donkeykongjr,1
doremikko,1
dotecreatorcontest,1
drchaosjigokunotobra,1
dracula2noroinofuuin,1
druidkyoufunotobira,1
eggerland,1
eggerlandsouzouenotabidachi,1
electrician,1
esperdream,1
esperdream,1
excitingbaseball,1
doubledribble,1
excitingbilliard,1
excitingsoccerkonamicup,1
fairytale,1
falsion,1
famicomgrandprixf1race,1
famicomgrandprixf1race,1
famicomgrandprix23dhotrally,1
famicomgrandprix23dhotrally,1
famicomgrandprix23dhotrally,1
shinonigashima,1
shinonigashima,1
shinonigashima,1
yuuyuuki,1
yuuyuuki,1
famicomtainteiclubkietakoukeisha,1
famicomtainteiclubkietakoukeisha,1
famicomtanteiclubpart2ushironitatsushoujo,1
famicomtanteiclubpart2ushironitatsushoujo,1
familycomposer,1
familycomposer,1
hongkong,1
panicspace,1
all1,1
clox,1
puyopuyo,1
jankendiskjou,1
finalcommandakaiyousai,1
firebam,1
firerock,1
fmccdiskcardchecker,1
fuuunshourinken,1
fuunshourinkenanm,1
galaga,1
galaxian,1
gallforceeternalstory,1
gingadenshougalaxyodyssey,1
gokurakuyuugigametengoku,1
golf,1
golf,1
golfjapancourse,1
golfjapancourse,1
golfjapancoursenyuugaku,1
golfuscourse,1
golfuscourse,1
golfuscourse,1
golfprizecard,1
greenberetkonami,1
gunsmoke,1
gyruss,1
halleywars,1
haokunnofushiginatabi,1
hikarishinwapalthenanokagami,1
hikarishinwapalthenanokagami,1
hikarugenjirollerpanic,1
iamateachersupermarionosweater,1
iamateacherteaminokiso,1
iceclimber,1
icehockey,1
igokyuurobantaikyoku,1
ishidou,1
jaamantanteidanmaringumimjsf,1
jikaishounenmetmag,1
kaettekitamariobrothers,1
kalinnotsurugi,1
kamenriderblacktaiketsushadowmoon,1
karatechamp,1
kattobidouji,1
kickandrun,1
airfootynknas,1
kietaprincess,1
kikikaikaidotouhen,1
kikikaikaidotouhen,1
kinnikumankos,1
kinnikumankos,1
knightloremajounoookamiotoko,1
knightmove,1
knightmove,1
konamicicehockey,1
konamictennis,1
konekomonogataritaoc,1
linknobouken,1
linknobouken,1
lutter,1
madousenkideepdungeon,1
madousenkideepdungeon,1
maerchenveil,1
magmaprojecthacker,1
mahjong,1
mahjongkazoku,1
matounohoukai,1
meikyuujiindababa,1
metroid,1
metroid,1
metroid,1
michaelenglishdaibouken,1
moerutwinbeechws,1
moerutwinbeechws,1
montynodokidokidaidassou,1
moonballmagic,1
tooyamanokinsanspacechoumrgold,1
nakayamamihonotokimekihighschool,1
nakayamamihonotokimekihighschool,1
nakayamamihonotokimekihighschool,1
nakayamamihonotokimekihighschool,1
nakayamamihonotokimekihighschool,1
namidanosoukobanspecial,1
nankinnoadventure,1
nazonokabeblockkuzushi,1
nazonomurasamejou,1
nazolerlandsoukangou,1
nazolerland2,1
nazolerland3,1
nazolerlandspecial,1
omoikkiritanteidanhardgumimnc,1
othello,1
othello,1
otocky,1
pachicom,1
pachinkogp,1
pacman,1
patlaborthemobilepolice,1
pinball,1
progolfersarukagenotournament,1
prowres,1
professionalmahjonggokuu,1
pulsarnohikarispacewarssimulation,1
puttputtgolf,1
puzzleboys,1
radicalbomberjiraikun,1
reflectworld,1
relicsankokuyousai,1
replicart,1
risanoyouseidensetsu,1
rogerrabbit,1
samuraisword,1
santaclausnotakarabako,1
sdgundamworldgachaponsenshiscramblewars,1
sdgundamworldgachaponsenshiscramblewars,1
sdgundamworldgachaponsenshiscramblewars,1
sdgundamworldgachaponsenshiscramblewarsmapcollection,1
sectionz,1
seikenpsychocalibur,1
silvianaaiippainolittleangel,1
smashpingpong,1
soccer,1
solomonnokagi,1
suishounodragon,1
superboyallan,1
superloderunner,1
superloderunner2,1
supermariobros,1
supermariobros2,1
supermariobros2,1
tamaandfriendssd,1
tanigawakoujinoshougishinan2menm,1
tanigawakoujinoshougishinan2sttni,1
kikennafutari,1
kikennafutari,1
shinjujuchuuoukouensatsujinjiken,1
shinjujuchuuoukouensatsujinjiken,1
taroturanai,1
tennis,1
thegoonies,1
kineko,1
kineko2,1
timetwistrekishinokatasumide,1
timetwistrekishinokatasumide,1
titanicmysteryaonosenritsu,1
tobidasedaisakusen,1
topplezip,1
transformertheheadmasters,1
twinbee,1
ultramankaijuuteikokunogyakushuu,1
ultramankaijuuteikokunogyakushuu,1
ultraman2shutsugekikatokutai,1
ultramanclubchikyuudakkansakusen,1
ultramanclubchikyuudakkansakusen,1
volleyball,1
vsexcitebike,1
wardnernomori,1
wintergames,1
wreckingcrew,1
xevious,1
youkaiyashiki,1
yumekoujoudokidokipanic,1
yumekoujoudokidokipanic,1
yuumaze,1
yuushinomonshou,1
yuushinomonshou,1
zanac,1
zeldanodensetsuthehyrulefantasy,1
zeldanodensetsuthehyrulefantasy,1
wakuseiatongaiden,1
konekomonogataritaoc,1
michaelenglishdaibouken,1
adiannotsue,1
akuusenkiraijin,1
deadzone,1
druidkyoufunotobira,1
eggerlandsouzouenotabidachi,1
famicomtanteiclubpart2ushironitatsushoujo,1
gyruss,1
konamictennis,1
otocky,1
tanigawakoujinoshougishinan2menm,1
zeldanodensetsuthehyrulefantasy,1
airfortress,1
aliensalien2,1
balloonfight,1
eggerland,1
gingadenshougalaxyodyssey,1
golf,1
gomokunarabe,1
nomuranofamicomtrade,1
nomuranofamicomtrade,1
nomuranofamicomtrade,1
shanghai,1
shanghai2,1
shanghai2,1
themonkeygame,1
kineko2,1
akitotsubasanofushiginokabe,1
bishoujoalienbattle,1
bishoujocontrol,1
bishoujohanafudaclubvol1,1
bishoujohanafudaclubvol1,1
bishoujokachinukirenju,1
bishoujomahjongclub,1
mahjonggorakubishoujomeijinsen,1
bishoujosexyderby,1
bishoujosexypuzzle,1
bishoujosexyslot,1
bishoujoshashinkanmovingschool,1
bishoujoshashinkanstudiocut,1
bodyconquest1,1
bodyconquest1,1
casinodepink,1
mashoujogakuenevil,1
mermaidnogyakushuu,1
ryuujinsenseikikiippatsu,1
tenkuuryuumaoufukkatsu,1
youjuurudonochousen,1
datedeblackjack,1
diskhacker,1
diskhacker,1
diskhacker,1
diskhacker2copyplus3,1
diskkeeper,1
emichannomoeroyakyuuken,1
youseitachinopinball,1
youseitachinopinball,1
fruitsmahjong1,1
fruitsmahjong1,1
fruitsmahjong2,1
fruitsmahjong2,1
fruitsmahjong3,1
fruitsmahjong3,1
fruitsmahjong4,1
fruitsmahjong4,1
galsdungeonyakyuukenpart2,1
gamenotatsujinmoneywars,1
graphiceditorhokusai,1
hayamareikonodatedeblackjack,1
kindgals,1
kindgals,1
kobayashihitominoholdup,1
kobayashihitomishockingtennis,1
kosodategokko,1
lipstick1,1
lipstick2,1
lipstick3,1
lipstick4,1
lipstick5,1
jingorou,1
quickhunter,1
quickhunter,1
quizzatsugakuolympicwwh,1
quizzatsugakuolympicpart2,1
sailorfukubishoujozukan1,1
sailorfukubishoujozukan2,1
sailorfukubishoujozukan3,1
sailorfukubishoujozukan4,1
sailorfukubishoujozukan5,1
sailorfukubishoujozukan6,1
sexyinvaders,1
sexyyakyuukenadventure2,1
souseikifami,1
superyumekoujou,1
tenshitachinohoukago,1
tenshitachinohoukago,1
thegolfbishoujoclassic,1
tonkachieditor,1
akumajoudracula,1
biomiraclebokutteupa,1
biomiraclebokutteupa,1
bubblebobble,1
bubblebobble,1
clucluland,1
dracula2noroinofuuin,1
esperdream,1
esperdream,1
shinonigashima,1
shinonigashima,1
shinonigashima,1
famicomtainteiclubkietakoukeisha,1
famicomtainteiclubkietakoukeisha,1
famicomtainteiclubkietakoukeisha,1
famicomtanteiclubpart2ushironitatsushoujo,1
famicomtanteiclubpart2ushironitatsushoujo,1
famicomtanteiclubpart2ushironitatsushoujo,1
hikarishinwapalthenanokagami,1
linknobouken,1
linknobouken,1
metroid,1
metroid,1
nazonomurasamejou,1
nazonomurasamejou,1
sdgundamworldgachaponsenshiscramblewars,1
sdgundamworldgachaponsenshiscramblewars,1
supermariobros2,1
supermariobros2,1
kikennafutari,1
kikennafutari,1
shinjujuchuuoukouensatsujinjiken,1
topplezip,1
vsexcitebike,2
zeldanodensetsuthehyrulefantasy,1
zeldanodensetsuthehyrulefantasy,1
zeldanodensetsuthehyrulefantasy,1
