game_id,tag_id
neunzehn,207
adiannotsue,157
aisenshinicol,157
akumajoudracula,45
akumajoudracula,47
akumajoudracula,26
akuusenkiraijin,189
allnightnipponsupermariobros,23
almananokiseki,31
appletownmonogatarilcp,202
aspicmajaounonoroi,166
backgammon,244
bakutoushipattonkun,281
baseball,263
dogfightspirit,184
gogobowling,280
gunfighter,216
juudousenshuken,247
biomiraclebokutteupa,27
bomberman,21
breeder,207
bubblebobble,232
burgertime,220
chiteitairikuordola,34
cleopatranomahou,68
clucluland,241
coconaworld,157
dandyzeuonnofukkatsu,157
deadzone,68
digdug,218
digdug2,217
dirtypairprojecteden,180
dirtypairprojecteden,179
donkeykong,221
donkeykongjr,222
doremikko,114
dotecreatorcontest,107
drchaosjigokunotobra,48
dracula2noroinofuuin,39
druidkyoufunotobira,155
eggerland,134
eggerlandsouzouenotabidachi,128
electrician,38
esperdream,157
esperdream,152
excitingbaseball,264
doubledribble,265
excitingbilliard,121
excitingsoccerkonamicup,213
fairytale,171
falsion,195
famicomgrandprixf1race,146
famicomgrandprixf1race,145
famicomgrandprix23dhotrally,148
famicomgrandprix23dhotrally,149
famicomgrandprix23dhotrally,147
shinonigashima,77
shinonigashima,76
shinonigashima,82
yuuyuuki,77
yuuyuuki,82
famicomtainteiclubkietakoukeisha,77
famicomtainteiclubkietakoukeisha,82
famicomtanteiclubpart2ushironitatsushoujo,77
famicomtanteiclubpart2ushironitatsushoujo,82
familycomposer,112
familycomposer,111
hongkong,130
panicspace,132
all1,132
clox,254
puyopuyo,253
jankendiskjou,150
finalcommandakaiyousai,235
firebam,5
firerock,27
fmccdiskcardchecker,120
fuuunshourinken,102
fuunshourinkenanm,103
galaga,225
galaxian,225
gallforceeternalstory,183
gingadenshougalaxyodyssey,191
gokurakuyuugigametengoku,286
golf,267
golf,268
golfjapancourse,208
golfjapancourse,209
golfjapancoursenyuugaku,210
golfuscourse,283
golfuscourse,284
golfuscourse,282
golfprizecard,285
greenberetkonami,227
gunsmoke,58
gyruss,193
halleywars,184
haokunnofushiginatabi,34
hikarishinwapalthenanokagami,34
hikarishinwapalthenanokagami,36
hikarugenjirollerpanic,63
iamateachersupermarionosweater,119
iamateacherteaminokiso,118
iceclimber,230
icehockey,270
igokyuurobantaikyoku,246
ishidou,133
jaamantanteidanmaringumimjsf,62
jikaishounenmetmag,142
kaettekitamariobrothers,231
kalinnotsurugi,157
kamenriderblacktaiketsushadowmoon,1
karatechamp,248
kattobidouji,262
kickandrun,239
airfootynknas,2
kietaprincess,75
kikikaikaidotouhen,57
kikikaikaidotouhen,56
kinnikumankos,19
kinnikumankos,18
knightloremajounoookamiotoko,10
knightmove,252
knightmove,250
konamicicehockey,271
konamictennis,275
konekomonogataritaoc,27
linknobouken,157
linknobouken,163
lutter,151
madousenkideepdungeon,166
madousenkideepdungeon,167
maerchenveil,157
magmaprojecthacker,170
mahjong,97
mahjongkazoku,97
matounohoukai,34
meikyuujiindababa,57
metroid,52
metroid,54
metroid,55
michaelenglishdaibouken,49
moerutwinbeechws,278
moerutwinbeechws,279
montynodokidokidaidassou,34
moonballmagic,125
tooyamanokinsanspacechoumrgold,64
nakayamamihonotokimekihighschool,198
nakayamamihonotokimekihighschool,199
nakayamamihonotokimekihighschool,200
nakayamamihonotokimekihighschool,196
nakayamamihonotokimekihighschool,197
namidanosoukobanspecial,137
nankinnoadventure,65
nazonokabeblockkuzushi,13
nazonomurasamejou,15
nazolerlandsoukangou,105
nazolerland2,105
nazolerland3,105
nazolerlandspecial,143
omoikkiritanteidanhardgumimnc,9
othello,90
othello,89
otocky,181
pachicom,123
pachinkogp,124
pacman,219
patlaborthemobilepolice,51
pinball,224
progolfersarukagenotournament,266
prowres,249
professionalmahjonggokuu,97
pulsarnohikarispacewarssimulation,204
puttputtgolf,212
puzzleboys,251
radicalbomberjiraikun,129
reflectworld,172
relicsankokuyousai,6
replicart,3
risanoyouseidensetsu,72
rogerrabbit,20
samuraisword,61
santaclausnotakarabako,106
sdgundamworldgachaponsenshiscramblewars,258
sdgundamworldgachaponsenshiscramblewars,257
sdgundamworldgachaponsenshiscramblewars,261
sdgundamworldgachaponsenshiscramblewarsmapcollection,257
sectionz,176
seikenpsychocalibur,157
silvianaaiippainolittleangel,157
smashpingpong,272
soccer,274
solomonnokagi,141
suishounodragon,68
superboyallan,137
superloderunner,229
superloderunner2,228
supermariobros,223
supermariobros2,41
supermariobros2,44
tamaandfriendssd,22
tanigawakoujinoshougishinan2menm,100
tanigawakoujinoshougishinan2sttni,99
kikennafutari,77
kikennafutari,82
shinjujuchuuoukouensatsujinjiken,87
shinjujuchuuoukouensatsujinjiken,86
taroturanai,109
tennis,238
thegoonies,24
kineko,137
kineko2,133
timetwistrekishinokatasumide,66
timetwistrekishinokatasumide,67
titanicmysteryaonosenritsu,68
tobidasedaisakusen,8
topplezip,186
transformertheheadmasters,175
twinbee,236
ultramankaijuuteikokunogyakushuu,12
ultramankaijuuteikokunogyakushuu,11
ultraman2shutsugekikatokutai,174
ultramanclubchikyuudakkansakusen,205
ultramanclubchikyuudakkansakusen,206
volleyball,277
vsexcitebike,255
wardnernomori,31
wintergames,273
wreckingcrew,215
xevious,226
youkaiyashiki,27
yumekoujoudokidokipanic,32
yumekoujoudokidokipanic,33
yuumaze,240
yuushinomonshou,166
yuushinomonshou,165
zanac,185
zeldanodensetsuthehyrulefantasy,157
zeldanodensetsuthehyrulefantasy,163
wakuseiatongaiden,237
konekomonogataritaoc,30
michaelenglishdaibouken,50
adiannotsue,164
akuusenkiraijin,190
deadzone,69
druidkyoufunotobira,156
eggerlandsouzouenotabidachi,131
famicomtanteiclubpart2ushironitatsushoujo,81
gyruss,194
konamictennis,276
otocky,182
tanigawakoujinoshougishinan2menm,101
zeldanodensetsuthehyrulefantasy,164
airfortress,178
aliensalien2,25
balloonfight,243
eggerland,135
gingadenshougalaxyodyssey,192
golf,269
gomokunarabe,245
nomuranofamicomtrade,115
nomuranofamicomtrade,116
nomuranofamicomtrade,117
shanghai,136
shanghai2,139
shanghai2,139
themonkeygame,203
kineko2,138
akitotsubasanofushiginokabe,14
bishoujoalienbattle,92
bishoujocontrol,188
bishoujohanafudaclubvol1,94
bishoujohanafudaclubvol1,94
bishoujokachinukirenju,93
bishoujomahjongclub,98
mahjonggorakubishoujomeijinsen,98
bishoujosexyderby,201
bishoujosexypuzzle,140
bishoujosexyslot,122
bishoujoshashinkanmovingschool,73
bishoujoshashinkanstudiocut,73
bodyconquest1,153
bodyconquest1,154
casinodepink,92
mashoujogakuenevil,177
mermaidnogyakushuu,177
ryuujinsenseikikiippatsu,177
tenkuuryuumaoufukkatsu,92
youjuurudonochousen,92
datedeblackjack,92
diskhacker,110
diskhacker,110
diskhacker,110
diskhacker2copyplus3,108
diskkeeper,108
emichannomoeroyakyuuken,95
youseitachinopinball,126
youseitachinopinball,127
fruitsmahjong1,96
fruitsmahjong1,104
fruitsmahjong2,96
fruitsmahjong2,104
fruitsmahjong3,96
fruitsmahjong3,104
fruitsmahjong4,96
fruitsmahjong4,104
galsdungeonyakyuukenpart2,169
gamenotatsujinmoneywars,91
graphiceditorhokusai,108
hayamareikonodatedeblackjack,92
kindgals,59
kindgals,60
kobayashihitominoholdup,74
kobayashihitomishockingtennis,214
kosodategokko,4
lipstick1,140
lipstick2,140
lipstick3,140
lipstick4,140
lipstick5,140
jingorou,113
