name,publisher_id
ASCII,1
ASK Kodansha,2
Ark System Works,3
Athena,4
Atlus,5
BPS,6
Bandai,7
Bothtec,8
CAPCOM,9
D4E,10
DOG,11
DOG Square,12
DOG/Square,13
Data East,14
East Cube,15
Famicon Magazine/Atlas,16
Gakken,17
Game Analizer Shuudan,18
HAL Laboratory,19
Hacker,20
Hiro,21
Hudson,22
I.C,23
I.C.,24
I2,25
Imagineer/WaveJack,26
Indies,27
Irem,28
Jaleco,29
Kawada,30
Kemco,31
Kokuzeichou,32
Konami,33
Mimi Pro,34
NAMCOT,35
New Tai Sang,36
Nintendo,37
Nintendo/Fuji TV,38
Nippon Housou/Fuji TV,39
Nomura Shouken,40
Pack-In-Video,41
Phoenix,42
Pony Canyon,43
Royal,44
SOFEL,45
Scorpion,46
Soft Pro,47
Square,48
Sunsoft,49
Sunsoft/ASK Kodansha,50
Super Pig,51
Super Pig/Big Wave,52
Taito,53
Takara,54
Takumako,55
Tecmo,56
Toei,57
Tokai Engineering,58
Tokuma Shoten,59
Tokyo Shoseki,60
Toshiba Emi,61
Use,62
VAP,63
Wild,64
World,65
