tag_name,tag_id
#players:1 #genre:action #addon:peripheral>disksystem #based #lang:ja,1
#players:1 #genre:action #addon:peripheral>disksystem #lang:en,2
#players:1 #genre:action #addon:peripheral>disksystem #lang:ja,3
#players:1 #genre:action #addon:peripheral>disksystem #lang:ja #unlicensed,4
#players:1 #genre:action #addon:peripheral>disksystem #save:backup #lang:en,5
#players:1 #genre:action #addon:peripheral>disksystem #save:backup #lang:ja,6
#players:1 #genre:action #addon:peripheral>disksystem #search:keyword>strip #lang:ja #unlicensed,7
#players:1 #genre:action #addon:peripheral>disksystem:glasses>3dsystem #search:3d>stereo #lang:en,8
#players:1 #genre:action:adventure #addon:peripheral>disksystem #based #lang:ja,9
#players:1 #genre:action:puzzle #addon:peripheral>disksystem #save:backup #lang:ja,10
#players:1 #genre:action:shmup>h #addon:peripheral>disksystem #save:backup #based #compatibility:disksystem>dw #lang:en #rev:1,11
#players:1 #genre:action:shmup>h #addon:peripheral>disksystem #save:backup #based #lang:en,12
#players:1 #genre:action>blockbreaker #addon:peripheral>disksystem #save:backup #lang:ja,13
#players:1 #genre:action>blockbreaker #addon:peripheral>disksystem #search:keyword>strip #lang:ja #unlicensed,14
#players:1 #genre:action>hackandslash #addon:peripheral>disksystem #save:backup #lang:ja,15
#players:1 #genre:action>hackandslash #addon:peripheral>disksystem #save:backup #lang:ja #rerelease:virtualconsole>3ds,16
#players:1 #genre:action>hackandslash #addon:peripheral>disksystem #save:backup #lang:ja #rerelease:virtualconsole>wii>wiiu,17
#players:1 #genre:action>hackandslash:fighting #addon:peripheral>disksystem #based:manganime #compatibility:disksystem>dw #lang:ja #rev:1,18
#players:1 #genre:action>hackandslash:fighting #addon:peripheral>disksystem #based:manganime #lang:ja,19
#players:1 #genre:action>maze #addon:peripheral>disksystem #save:password #based:movie:looneytunes #lang:ja,20
#players:1 #genre:action>maze #addon:peripheral>disksystem #save:password #compatibility:disksystem>dw #lang:en,21
#players:1 #genre:action>platformer #addon:peripheral>disksystem #based #lang:ja,22
#players:1 #genre:action>platformer #addon:peripheral>disksystem #based #search:feature>mario:keyword>endorsed>promo #lang:en,23
#players:1 #genre:action>platformer #addon:peripheral>disksystem #based:movie #compatibility:disksystem>dw #lang:en,24
#players:1 #genre:action>platformer #addon:peripheral>disksystem #based:movie #search:feature>alien #lang:en #unfinished:proto,25
#players:1 #genre:action>platformer #addon:peripheral>disksystem #compatibility:disksystem>dw #search:franchise>castlevania:feature>dracula #lang:ja #rev:2,26
#players:1 #genre:action>platformer #addon:peripheral>disksystem #lang:en,27
#players:1 #genre:action>platformer #addon:peripheral>disksystem #lang:en #rerelease:virtualconsole>3ds,28
#players:1 #genre:action>platformer #addon:peripheral>disksystem #lang:en #rerelease:virtualconsole>wii>wiiu,29
#players:1 #genre:action>platformer #addon:peripheral>disksystem #lang:en #unfinished:sample,30
#players:1 #genre:action>platformer #addon:peripheral>disksystem #lang:ja,31
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #based #lang:ja,32
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #based #lang:ja #rev:1,33
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #lang:ja,34
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #lang:ja #rerelease:virtualconsole>wii>wiiu,35
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #lang:ja #rev:1,36
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #lang:ja #unlicensed:hack,37
#players:1 #genre:action>platformer #addon:peripheral>disksystem #save:backup #port:atari>atari400 #lang:ja,38
