name,developer_id
A-Wave,1
A.I,2
A.I/Make Software/Hudson,3
A.I/Shimada Kikaku,4
ACC,5
AMind,6
ASCII,7
ASK Kodansha,8
Access,9
Accolade,10
Act,11
Affect,12
Agenda/Falcom,13
Aisystem Tokyo,14
Alpha Unit,15
Amble,16
Amccus,17
Anco/Enigma Variations,18
Angel,19
Another,20
Aqua Pacific,21
Arc System Works,22
Arcadia,23
Argonaut,24
Argonaut/Nintendo,25
Artech,26
Asuka Technologies,27
Atari,28
Atelier Double,29
Atelier Double/SEGA,30
Athena,31
Atlus,32
Audio Visual Magic,33
Audiogenic,34
Avit,35
B-AI,36
BEC,37
BITS,38
BITS/Irem,39
BPS,40
Bandai,41
Banpresto,42
Beam,43
Beam/First Star,44
Betop,45
Big Five,46
Birthday,47
Bit Managers,48
Bitmasters,49
Bit²,50
Black Label Games,51
Black Pearl,52
Black Pearl/Tiertex,53
Blizzard,54
Bonsai,55
Bonsai Entertainment,56
Borta,57
Boss Communications,58
Bottom Up,59
Brøderbund,60
Bung,61
C-Lab,62
CAPCOM,63
Chunsoft,64
Citizen,65
Codemasters,66
Color Dreams,67
Commin,68
Compile,69
Condor,70
Cononuts,71
Copya System,72
Culture Brain,73
Culure Brain,74
Cyclone System,75
DMA Design/Spidersoft,76
Daft,77
Dark Technologies,78
Data Design,79
Data East,80
Data East/Sakata SAS,81
Datel,82
David A. Palmer Productions,83
Denton Designs,84
Designer,85
Designer Software,86
DiTech,87
Dice,88
Digital Kids,89
Distinctive,90
Dual,91
Eastridge Technology,92
Eleca,93
Enigma Variations,94
Entertainment Int,95
Epoch,96
Epoch/Sakata SAS,97
Equilibrium,98
Eurocom,99
Face,100
Factor 5,101
Falcom,102
Freeqsoft,103
Funari,104
Fupac,105
Gaibrain,106
Game Freak,107
Game Freak/Creatures,108
Game News Network,109
Game Over,110
GameShark,111
Geo Factory,112
Gowin,113
Graphic Research,114
Great,115
Gremlin,116
Gremlin Graphics,117
HAL Laboratory,118
HAL Laboratory/ISC,119
HAL laboratory,120
Halestorm,121
Hect,122
Hookstone,123
Hot-B,124
Hot-B/SystemSoft,125
Hudson,126
Hudson/Intelligent Systems,127
Hudson/Nintendo,128
Hudson/Summer Project,129
Hudson/T's Music,130
Human,131
Hyperware,132
I'Max,133
IGS,134
ITL,135
Image Works,136
Imagesoft,137
Imagineer,138
Imagineering,139
Imagitec Design,140
Infogrames,141
Intelligent Systems,142
Inter State,143
Interplay,144
Irem,145
J-Wing,146
Jaleco,147
Japan Art Media,148
Japan Clary Business,149
Japan System House,150
Japan System Supply,151
Jason & Chris Kingsley,152
Jason and Chris Kingsley,153
Jorudan,154
Jupiter,155
Jupiter/Ape,156
KAZe,157
KCE Nagoya,158
KCE Shinjuku,159
KCEN,160
KID,161
Kalisto,162
Kan's,163
Kawada,164
Kemco,165
King Records,166
Kitty Group,167
Koei,168
Konami,169
Kotobuki Systems,170
Lenar,171
Locus,172
Loriciel,173
MGD³,174
Magical Company,175
Magifact,176
Magnin & Associates,177
Majesco,178
Make,179
Make Software,180
Makon,181
Malibu,182
Marionette,183
Marionette/Aisystem Tokyo,184
Maxis,185
Million,186
Million Corp.,187
Minakuchi Engineering,188
Minato Giken,189
Mindscape,190
Minolta,191
Morning Star,192
MotiveTime,193
Multimedia Intelligence Transfer/Access,194
M²TO,195
NAMCO,196
NCS,197
NMK,198
NMS,199
NMS/System 3,200
Natsu System,201
Natsume,202
Naxat,203
New Frontier,204
Nexoft,205
Nighthawk/Dark Technologies,206
Nighthawk/Eurocom,207
Nighthawk/NMS,208
Nihon Bussan,209
Nintendo,210
Nintendo EAD/SRD,211
Nintendo/HAL Laboratory,212
Nintendo/Intelligent System,213
Nintendo/Intelligent Systems,214
Nintendo/Minakuchi Engineering,215
Nintendo/Pax Softnica,216
Nintendo/TOSE,217
Nova,218
Nova Games,219
NovaLogic,220
Now Production,221
OLM/Taito,222
Ocarina System,223
Ocean,224
OeRSTED,225
Office Koukan,226
Onion Software,227
Opera House/Infogrames,228
Origin Systems,229
Outback,230
PAM,231
PCSL,232
Pack-In-Video,233
Painting by Numbers,234
Pandora Box,235
Panoramic/Eastridge Technology,236
Park Place,237
Park Place Productions,238
Pax Softnica,239
Pax Softnica/Nintendo EAD,240
Piko,241
Pixel,242
Pony Canyon,243
Probe,244
Probe/Crawfish,245
Quest,246
Radical,247
Random House,248
Rare,249
Realtime,250
Romstar,251
S'Pal,252
SETA,253
SNK,254
Sachen,255
Sachen/Commin,256
Saffire,257
Sakata SAS/Epoch,258
Salio,259
Sammy,260
Scitron & Art,261
Sculptured,262
Shimada Kikaku,263
Shouei System,264
Sigma,265
Sigma Pro-Tech,266
Sir-Tech,267
Sofel,268
Sofix,269
Soft Machine,270
Software Creations,271
Sonic World/Sunsoft,272
Source,273
Source/Micros,274
Spidersoft,275
Spidersoft/The Bitmap Brothers,276
Square,277
Starbyte,278
Starfish,279
Steve G. Willis,280
Sun L,281
Sun L/Nova/Tomy,282
Sunsoft,283
SystemSoft,284
T&E Soft,285
TOSE,286
TOSE/BPS,287
TOSE/Brøderbund,288
TOSE/Konami,289
TOSE/NAMCO,290
TOSE/Nintendo,291
Taito,292
Takara,293
Tam Tam,294
Tamtex,295
Tarantula,296
Team17/East Point,297
Technōs,298
Technōs/Quest,299
Tecmo,300
Teeny Weeny,301
Telenet,302
Teque,303
The Code Monkeys,304
The Code Monkeys/Accolade,305
The Sales Curve,306
Thinking Rabbit,307
Tiertex,308
Titus,309
Toei,310
Tokuma Shoten,311
Tom Create,312
Tomcat System,313
Tomy,314
Tonkin House,315
Torus,316
Torus/Iguana,317
Torus/Midway,318
Towa Chiki,319
Twenty First Century/Spidersoft,320
Twilight,321
Ubisoft,322
Unexpected Development,323
Use,324
Utopia,325
VIC Tokai,326
Varie,327
Vast Fame,328
Velez & Dubail,329
Victor Interactive,330
Video System,331
Virgin,332
Virgin/Graftgold,333
Visit,334
Visual Concepts,335
Visual Impact,336
Vivid Image,337
Williams,338
Winkysoft,339
Winkysoft/Compile,340
Wisdom Tree,341
Wisdom Treet,342
Xanth,343
Yoshidayama Workshop,344
Yutaka,345
Zener Works,346
dB-Soft,347
