game_id,developer_id
3choumenotamatamaandfriends3cop,36
4in1funpak,43
aaharimada,29
aerostar,266
afterburst,91
f1superdriving,242
akazukinchachagb,9
akumajoudraculastz,160
akumajouspecialbokudraculakun,169
alfredchicken,321
alien3,38
alienvspredator,8
alleway,213
alteredspacea3daa,271
americaoudanultraquiz,314
americaoudanultraquiz2,314
americaoudanultraquiz2,314
americaoudanultraquiz3,314
americaoudanultraquiz4,314
amida,269
animalbreeder,146
animalbreeder2,146
anotherbible,88
aokidensetsushoot,12
aretha,148
aretha2,148
aretha3,148
askimkunworld2,75
astrorabby,134
attackofthekillertomatoesgb,98
ayanashinoshiro,253
bakenoutv94,114
bakenouv3,114
bakuchouretrievemaster,286
bakuchouretsudenshouhf,279
banishingracer,147
bartsimpsonsescapefromcampdeadly,139
baseball,210
baseballkids,286
batmangb,283
batmanreturnofthejoker,283
batmanforever,244
battlebull,154
battlecrusher,281
battledodgeball,281
battleofkingdom,171
battlepingpong,246
battlespace,268
battleunitzeoth,147
battlecity,218
battletoads,249
bikkurinekketsushinkiroku,298
hitlernofukkatsutopsecret,188
bishoujosenshisailormoongb,22
bishoujosenshisailormoonrgb,19
blockkuzushigb,225
blodia,315
bokujoumonogatarigb,330
bokujoumonogatarigb,330
bokujoumonogatarigb,330
bomberboy,126
bomberkingscenario2,283
bombermancollection,263
bombermangb,263
bombermangb2,263
bombermangb3,2
bobbyboys,209
boukenpuzzleroad,326
boulderdash,44
boxing,286
braindrain,336
bubblebobble,292
bubblebobblejunior,222
bubbleghost,228
bugsbunnycollection,170
bugsbunnycollection,170
buraifighter,161
hamburger,80
burningpaper,242
cadillac2,122
caesarspalace,177
capcomquiz2hatenanodaibouken,63
captaintsubasajzsenc,41
captaintsubasavs,300
cardgame,183
cavenoire,169
chachamaruboukenki3ant,131
chachamarupanic,131
chalvo55,151
chibimarukochanod,161
chibimarukochan2dmw,161
chibimarukochanmgtnm,161
chibimarukochankgnd,161
chibimarukochanmdt,161
chikichikimachinemouracegb,32
chikichikitengoku,109
choplifter2,43
mazekkomonster,15
mazekkomonster2,15
chousokuspinner,126
collectionpocket,203
operationc,169
contraspirits,101
cosmotank,27
crayonshinchanotswod,286
crayonshinchan2otwgd,286
crayonshinchan3onga,286
crayonshinchan4onid,286
crayonshinchanongc,286
cultjump,281
cultmasterultramannimisararete,189
daffyduckthemarvinmissions,283
dai2jisuperrobottaisen,339
daikunogensangbc,295
daikunogensanrtny,145
daisenryaku,284
deadheatscramble,72
debuggametestersi,210
dinobreeder,89
dinobreeder,89
dinobreeder2,146
dirtyracing,116
dodgeboy,286
gbdonkeykong,210
gbdonkeykong,210
donkeykongland2,249
doraemonth,96
doraemon2apd,96
doraemonnostudyboy1,96
doraemonnostudyboy2,96
doraemonnostudyboy3,96
doraemonnostudyboy4,96
doraemonnostudyboy5,96
doraemonnostudyboy6,96
doraemonnogbdead,96
doraemonkart,96
doubledragon,298
doubleyakuman,137
doubleyakuman2,137
doubleyakumanjr,137
downtownnekketsukoushinkyoku,186
downtownspecialkuniokunnjdzs,298
drfranken,193
drmario,210
draculadensetsu,169
draculadensetsu2,169
dragonballzgh,41
dragonballzgg,41
dragonslayer1,102
dragonslayergaidennno,13
dragontail,50
dragonslairthelegend,193
ducktales,63
ducktales2,179
dungeonland,248
dxbakenou,114
dxbakenouz,114
dxbakenouz,114
elevatoraction,292
f1boy,171
f1race,210
f1spirit,169
familyjockey,324
familyjockey2mnk,324
famista,196
