game_id,publisher_id
3choumenotamatamaandfriends3cop,22
4in1funpak,82
aaharimada,4
aerostar,208
afterburst,116
f1superdriving,107
akazukinchachagb,194
akumajoudraculastz,105
akumajouspecialbokudraculakun,105
alfredchicken,173
alien3,7
alienvspredator,4
alleway,134
alteredspacea3daa,53
americaoudanultraquiz,194
americaoudanultraquiz2,194
americaoudanultraquiz2,194
americaoudanultraquiz3,194
americaoudanultraquiz4,194
amida,34
animalbreeder,91
animalbreeder2,91
anotherbible,17
aokidensetsushoot,24
aretha,218
aretha2,218
aretha3,218
askimkunworld2,15
astrorabby,80
attackofthekillertomatoesgb,11
ayanashinoshiro,151
bakenoutv94,15
bakenouv3,15
bakuchouretrievemaster,105
bakuchouretsudenshouhf,169
banishingracer,93
bartsimpsonsescapefromcampdeadly,7
baseball,134
baseballkids,93
batmangb,173
batmanreturnofthejoker,173
batmanforever,7
battlebull,151
battlecrusher,24
battledodgeball,24
battleofkingdom,119
battlepingpong,147
battlespace,128
battleunitzeoth,93
battlecity,127
battletoads,116
bikkurinekketsushinkiroku,182
hitlernofukkatsutopsecret,31
bishoujosenshisailormoongb,12
bishoujosenshisailormoonrgb,12
blockkuzushigb,139
blodia,196
bokujoumonogatarigb,212
bokujoumonogatarigb,212
bokujoumonogatarigb,212
bomberboy,73
bomberkingscenario2,173
bombermancollection,73
bombermangb,73
bombermangb2,73
bombermangb3,73
bobbyboys,133
boukenpuzzleroad,208
boulderdash,211
boxing,196
braindrain,7
bubblebobble,177
bubblebobblejunior,177
bubbleghost,144
bugsbunnycollection,100
bugsbunnycollection,100
buraifighter,177
hamburger,39
burningpaper,107
cadillac2,67
caesarspalace,34
capcomquiz2hatenanodaibouken,31
captaintsubasajzsenc,22
captaintsubasavs,183
cardgame,34
cavenoire,105
chachamaruboukenki3ant,77
chachamarupanic,77
chalvo55,95
chibimarukochanod,179
chibimarukochan2dmw,179
chibimarukochanmgtnm,179
chibimarukochankgnd,179
chibimarukochanmdt,179
chikichikimachinemouracegb,17
chikichikitengoku,91
choplifter2,212
mazekkomonster,24
mazekkomonster2,24
chousokuspinner,73
collectionpocket,131
operationc,105
contraspirits,105
cosmotank,17
crayonshinchanotswod,22
crayonshinchan2otwgd,21
crayonshinchan3onga,22
crayonshinchan4onid,22
crayonshinchanongc,22
cultjump,22
cultmasterultramannimisararete,22
daffyduckthemarvinmissions,173
dai2jisuperrobottaisen,24
daikunogensangbc,88
daikunogensanrtny,88
daisenryaku,70
deadheatscramble,36
debuggametestersi,134
dinobreeder,91
dinobreeder,91
dinobreeder2,91
dirtyracing,93
dodgeboy,196
gbdonkeykong,134
gbdonkeykong,134
donkeykongland2,134
doraemonth,54
doraemon2apd,54
doraemonnostudyboy1,54
doraemonnostudyboy2,54
doraemonnostudyboy3,54
doraemonnostudyboy4,54
doraemonnostudyboy5,54
doraemonnostudyboy6,54
doraemonnogbdead,54
doraemonkart,54
doubledragon,182
doubleyakuman,207
doubleyakuman2,207
doubleyakumanjr,207
downtownnekketsukoushinkyoku,182
downtownspecialkuniokunnjdzs,182
drfranken,100
drmario,134
draculadensetsu,105
draculadensetsu2,105
dragonballzgh,22
dragonballzgg,22
dragonslayer1,54
dragonslayergaidennno,54
dragontail,78
dragonslairthelegend,53
ducktales,31
ducktales2,31
dungeonland,52
dxbakenou,15
dxbakenouz,14
dxbakenouz,14
elevatoraction,177
f1boy,4
f1race,134
f1spirit,105
familyjockey,127
familyjockey2mnk,127
famista,128
famista2,128
famista3,128
fastestlap,207
ferrari,34
finalreverse,191
flappyspecial,211
fleetcommandervs,3
flipullaecg,177
foremanforreal,7
friskytom,133
slamdunkgnk,22
slamdunkgnklimited,22
slamdunk2zento,22
funnyfield,152
aboyandhisblobprincessblobette,93
fushiginodungeonfnsgb,33
garmsoperationgundam,22
galagaandgalaxian,127
gameboygallery,134
gameboygallery2,134
gameboywars,134
gameboywarsturbo,73
gameboywarsturbofv,73
gamedehakkentamagotchi,22
gamedehakkentamagotchionm,22
gamedehakkentamagotchi2,22
gameradkk,12
ganbaregoemonknn,105
ganbaregoemonse,105
gansoyanchamaru,88
gbbasketball,82
gbgenjin,73
gbgenjin2,73
gbgenjinlandvco,73
gbpachislohisshouhoujr,154
gbkissminigames,74
gegegenokitarouysa,22
gekitoupowermodeler,31
gemgem,208
genjincollection,73
genjincotts,19
genkibakuhatsygambaruger,194
thunderbirds,19
newghostbusters2,66
gikingsny,208
ginga,72
gogoackmangb,24
gogohitchhike,91
gogotank,36
godmedicinefsnt,105
godmedicinefukkokuban,105
gojirakunkd,192
goukakuboygoldsawmsjoushiki,79
goukakuboygoldsawmsjoushiki,82
goukakuboygoldsawmskanji,79
goukakuboygoldsawmskanji,82
goukakuboygoldsawmskeisan,79
goukakuboygoldsawmskeisan,82
goukakuboygoldsawmsnanmon,82
goukakuboygoldsawmszukei,82
goukakuboyseries99,82
goukakuboyserieseijikugo,82
goukakuboyserieseiken,82
goukakuboyserieseitango,82
goukakuboyserieskanyouku,82
goukakuboyseriesrekishi,82
goukakuboyseriesyojijukugo,82
goukakuboyseriesyojijukugo,82
goukakuboyserieskirihara,82
goukakuboyserieskndchuugaku350,82
goukakuboyserieskndchuugaku1700,82
goukakuboyserieskndkanji,82
goukakuboyserieskndrika240,82
goukakuboyseriesknd250,82
goukakuboyseriesnihonshi,82
goukakuboyserieskokugobattle,79
goukakuboyserieskokugobattle,82
goukakuboyseriesrikabattle,79
goukakuboyseriesrikabattle,82
goukakuboyseriessansuubattle,79
goukakuboyseriessansuubattle,82
goukakuboyseriesshakaibattle,79
goukakuboyseriesshakaibattle,82
goukakuboyseriessawmssuuji,82
goukakuboyseriessawmssuuji,82
goukakuboyseriesyinihonshi,82
goukakuboyseriesyisekaishi,82
goukakuboyserieszkaieigokoubun,82
