game_id,region_id
3choumenotamatamaandfriends3cop,10
4in1funpak,10
aaharimada,10
aerostar,10
afterburst,10
f1superdriving,10
akazukinchachagb,10
akumajoudraculastz,10
akumajouspecialbokudraculakun,10
alfredchicken,10
alien3,10
alienvspredator,10
alleway,10
alteredspacea3daa,10
americaoudanultraquiz,10
americaoudanultraquiz2,10
americaoudanultraquiz2,10
americaoudanultraquiz3,10
americaoudanultraquiz4,10
amida,10
animalbreeder,10
animalbreeder2,10
anotherbible,10
aokidensetsushoot,10
aretha,10
aretha2,10
aretha3,10
askimkunworld2,10
astrorabby,10
attackofthekillertomatoesgb,10
ayanashinoshiro,10
bakenoutv94,10
bakenouv3,10
bakuchouretrievemaster,10
bakuchouretsudenshouhf,10
banishingracer,10
bartsimpsonsescapefromcampdeadly,10
baseball,10
baseballkids,10
batmangb,10
batmanreturnofthejoker,10
batmanforever,10
battlebull,10
battlecrusher,10
battledodgeball,10
battleofkingdom,10
battlepingpong,10
battlespace,10
battleunitzeoth,10
battlecity,10
battletoads,10
bikkurinekketsushinkiroku,10
hitlernofukkatsutopsecret,10
bishoujosenshisailormoongb,10
bishoujosenshisailormoonrgb,10
blockkuzushigb,10
blodia,10
bokujoumonogatarigb,10
bokujoumonogatarigb,10
bokujoumonogatarigb,10
bomberboy,10
bomberkingscenario2,10
bombermancollection,10
bombermangb,10
bombermangb2,10
bombermangb3,10
bobbyboys,10
boukenpuzzleroad,10
boulderdash,10
boxing,10
braindrain,10
bubblebobble,10
bubblebobblejunior,10
bubbleghost,10
bugsbunnycollection,10
bugsbunnycollection,10
buraifighter,10
hamburger,10
burningpaper,10
cadillac2,10
caesarspalace,10
capcomquiz2hatenanodaibouken,10
captaintsubasajzsenc,10
captaintsubasavs,10
cardgame,10
cavenoire,10
chachamaruboukenki3ant,10
chachamarupanic,10
chalvo55,10
chibimarukochanod,10
chibimarukochan2dmw,10
chibimarukochanmgtnm,10
chibimarukochankgnd,10
chibimarukochanmdt,10
chikichikimachinemouracegb,10
chikichikitengoku,10
choplifter2,10
mazekkomonster,10
mazekkomonster2,10
chousokuspinner,10
collectionpocket,10
operationc,10
contraspirits,10
cosmotank,10
crayonshinchanotswod,10
crayonshinchan2otwgd,10
crayonshinchan3onga,10
crayonshinchan4onid,10
crayonshinchanongc,10
cultjump,10
cultmasterultramannimisararete,10
daffyduckthemarvinmissions,10
dai2jisuperrobottaisen,10
daikunogensangbc,10
daikunogensanrtny,10
daisenryaku,10
deadheatscramble,10
debuggametestersi,10
dinobreeder,10
dinobreeder,10
dinobreeder2,10
dirtyracing,10
dodgeboy,10
gbdonkeykong,10
gbdonkeykong,10
donkeykongland2,10
doraemonth,10
doraemon2apd,10
doraemonnostudyboy1,10
doraemonnostudyboy2,10
doraemonnostudyboy3,10
doraemonnostudyboy4,10
doraemonnostudyboy5,10
doraemonnostudyboy6,10
doraemonnogbdead,10
doraemonkart,10
doubledragon,10
doubleyakuman,10
doubleyakuman2,10
doubleyakumanjr,10
downtownnekketsukoushinkyoku,10
downtownspecialkuniokunnjdzs,10
drfranken,10
drmario,10
draculadensetsu,10
draculadensetsu2,10
dragonballzgh,10
dragonballzgg,10
dragonslayer1,10
dragonslayergaidennno,10
dragontail,10
dragonslairthelegend,10
ducktales,10
ducktales2,10
dungeonland,10
dxbakenou,10
dxbakenouz,10
dxbakenouz,10
elevatoraction,10
f1boy,10
f1race,10
f1spirit,10
familyjockey,10
familyjockey2mnk,10
famista,10
famista2,10
famista3,10
fastestlap,10
ferrari,10
finalreverse,10
flappyspecial,10
fleetcommandervs,10
flipullaecg,10
foremanforreal,10
friskytom,10
slamdunkgnk,10
slamdunkgnklimited,10
slamdunk2zento,10
funnyfield,10
aboyandhisblobprincessblobette,10
fushiginodungeonfnsgb,10
garmsoperationgundam,10
galagaandgalaxian,10
gameboygallery,10
gameboygallery2,10
gameboywars,10
gameboywarsturbo,10
gameboywarsturbofv,10
gamedehakkentamagotchi,10
gamedehakkentamagotchionm,10
gamedehakkentamagotchi2,10
gameradkk,10
ganbaregoemonknn,10
ganbaregoemonse,10
gansoyanchamaru,10
gbbasketball,10
gbgenjin,10
gbgenjin2,10
gbgenjinlandvco,10
gbpachislohisshouhoujr,10
gbkissminigames,10
gegegenokitarouysa,10
gekitoupowermodeler,10
gemgem,10
genjincollection,10
genjincotts,10
genkibakuhatsygambaruger,10
thunderbirds,10
newghostbusters2,10
gikingsny,10
ginga,10
gogoackmangb,10
gogohitchhike,10
gogotank,10
godmedicinefsnt,10
godmedicinefukkokuban,10
gojirakunkd,10
goukakuboygoldsawmsjoushiki,10
goukakuboygoldsawmsjoushiki,10
goukakuboygoldsawmskanji,10
goukakuboygoldsawmskanji,10
goukakuboygoldsawmskeisan,10
goukakuboygoldsawmskeisan,10
goukakuboygoldsawmsnanmon,10
goukakuboygoldsawmszukei,10
goukakuboyseries99,10
goukakuboyserieseijikugo,10
goukakuboyserieseiken,10
goukakuboyserieseitango,10
goukakuboyserieskanyouku,10
goukakuboyseriesrekishi,10
goukakuboyseriesyojijukugo,10
goukakuboyseriesyojijukugo,10
goukakuboyserieskirihara,10
goukakuboyserieskndchuugaku350,10
goukakuboyserieskndchuugaku1700,10
goukakuboyserieskndkanji,10
goukakuboyserieskndrika240,10
goukakuboyseriesknd250,10
goukakuboyseriesnihonshi,10
goukakuboyserieskokugobattle,10
goukakuboyserieskokugobattle,10
goukakuboyseriesrikabattle,10
goukakuboyseriesrikabattle,10
goukakuboyseriessansuubattle,10
goukakuboyseriessansuubattle,10
goukakuboyseriesshakaibattle,10
goukakuboyseriesshakaibattle,10
goukakuboyseriessawmssuuji,10
goukakuboyseriessawmssuuji,10
goukakuboyseriesyinihonshi,10
goukakuboyseriesyisekaishi,10
goukakuboyserieszkaieigokoubun,10
goukakuboyserieszkaieijukugo,10
goukakuboyserieszkaieitango,10
goukakuboyserieszkaireibun1132,10
goukakuboyserieszkaireibuntango,10
golf,10
grandermusashirv,10
gremlins2tnb,10
hatris,10
hayaoshiquizok,10
headon,10
heiankyoualien,10
heiseitensaibakabon,10
heraclesnoeikouuk,10
heroshuugoupinballparty,10
hideninyoukikouhoukada,10
higashioosamukenshuuproyakyuustadium91,10
higashioosamukenshuuproyakyuustadium92,10
hiryuunokengaiden,10
hitoridedekirumoncd,10
hoihoigameboyban,10
hokutonokensjs,10
homealoneg,10
honshougi,10
hongkong,10
honmeiboy,10
honoonotoukyuujidodgedanpeigb,10
hook8bit,10
hoshinokirby,10
hoshinokirby,10
hoshinokirby2,10
hudsonhawk,10
hyperblackbass,10
hyperblackbass95,10
hyperloderunner,10
ikarinoyousai,10
ikarinoyousai2,10
indianajonesandthelastcrusadetag,10
initialdgaiden,10
ishidayoshiotsumegoparadise,10
ishidothewayofstones,10
itsudemonyantowonderful,10
jleaguebigwavesoccer,10
jleaguefightingsoccer,10
jleaguelive95,10
jleaguesupportersoccer,10
jleaguewinninggoal,10
jalecojcupsoccer,10
jankenman,10
janshirou,10
janshirou2,10
jantakuboy,10
jikuusenkimu,10
jimmyconnorstennis,10
jinseigamedensetsu,10
jordanvsbirdoneonone,10
judgedredd,10
junglenooujatarchan,10
junglewars,10
kachiumayosoukeibakizoku,10
kachiumayosoukeibakizokuex94,10
kachiumayosoukeibakizokuex95,10
kaerunotamenikanewanaru,10
kaijuuougojira,10
kaisengamenavyblue,10
kakomunja,10
kamenridersdhmr,10
kandumemonsters,10
karakurikengoudenmusashilord,10
karamuchounodaijiken,10
kasekisouseireborn,10
kasekisouseireborn,10
kattobiroad,10
kawanonushitsuri3,10
keitaikeibaeightspecial,10
kenyuudensetsuyaiba,10
kidoukeisatsupatlabornerawaretamachi1990,10
kidoukeisatsumetaljack,10
kingyochuuihouwnwsr,10
kingyochuuihougws,10
kininkoumarokuoni,10
kininkoumarokuoni,10
kinnikumanthedreammatch,10
kirbynoblockball,10
kirbynokirakirakids,10
kirbynopinball,10
kitchenpanic,10
kiteretsudaihyakkaboj,10
kizuchidaquizdagensanda,10
klax,10
knightquest,10
koiwakakehiki,10
konamigbcollectionvol1,10
konamigbcollectionvol2,10
konamigbcollectionvol3,10
konamigbcollectionvol4,10
konamicbasketball,10
konamicgolf,10
konamicicehockey,10
konamicsportsinbarcelona,10
konchuuhakase,10
konchuuhakase,10
korodice,10
koukiatsuboy,10
rattrap,10
kumanoputaroutsdogb,10
kuusoukagakusekaigulliverboykkpp,10
nebulus,10
legendaent,10
lemmings,10
littlemasterrnd,10
littlemaster2rnk,10
locknchase,10
lolonodaibouken,10
looneytunes,10
loopz,10
luckymonkey,10
lucle,10
lunarlander,10
machgogogo,10
maerchenclub,10
magicknightrayearth,10
magicknightrayearth2ndtmc,10
magicaltaruruutokungb,10
magicaltaruruutokun2rzp,10
mahoujinguruguruytknd,10
makaitoushisaga,10
makaitoushisaga,10
redarremer2,10
marionopicross,10
marmaladeboy,10
masakaridensetsukah,10
masakaridensetsukrpgh,10
masterkarateka,10
medarotkabuto,10
medarotkabuto,10
medarotkuwagata,10
medarotkuwagata,10
medarotpartscollection,10
medarotpartscollection2,10
megalit,10
megamitenseigaidenlastbible,10
megamitenseigaidenlastbible2,10
meitanteiconancsj,10
meitanteiconangngr,10
metroid2returnofsamus,10
rogerrabbit,10
mickeymouse2,10
mickeymouse4mnl,10
mickeymouse5,10
mickeymouse5,10
mickeyschase,10
midorinomakibaoo,10
brainbender,10
mikenekoholmesnokishidou,10
meikyuukumikyoku,10
minesweepersoukaitei,10
mini4boy,10
mini4boy2,10
miniyonkugbletsandgo,10
miniyonkugbletsandgoasbm,10
miniputt,10
miracleadventuresofesparksusp,10
mogumogugombohcrd,10
moguradepon,10
moguranya,10
