game_id,tag_id
3choumenotamatamaandfriends3cop,441
4in1funpak,956
aaharimada,434
aerostar,718
afterburst,936
f1superdriving,597
akazukinchachagb,654
akumajoudraculastz,214
akumajouspecialbokudraculakun,265
alfredchicken,211
alien3,609
alienvspredator,103
alleway,56
alteredspacea3daa,159
americaoudanultraquiz,1238
americaoudanultraquiz2,576
americaoudanultraquiz2,577
americaoudanultraquiz3,576
americaoudanultraquiz4,576
amida,44
animalbreeder,763
animalbreeder2,763
anotherbible,680
aokidensetsushoot,829
aretha,661
aretha2,661
aretha3,661
askimkunworld2,528
astrorabby,159
attackofthekillertomatoesgb,93
ayanashinoshiro,661
bakenoutv94,738
bakenouv3,736
bakuchouretrievemaster,655
bakuchouretsudenshouhf,680
banishingracer,167
bartsimpsonsescapefromcampdeadly,156
baseball,1164
baseballkids,1162
batmangb,108
batmanreturnofthejoker,109
batmanforever,145
battlebull,922
battlecrusher,427
battledodgeball,809
battleofkingdom,787
battlepingpong,1202
battlespace,779
battleunitzeoth,695
battlecity,90
battletoads,423
bikkurinekketsushinkiroku,808
hitlernofukkatsutopsecret,258
bishoujosenshisailormoongb,63
bishoujosenshisailormoonrgb,129
blockkuzushigb,58
blodia,1018
bokujoumonogatarigb,740
bokujoumonogatarigb,741
bokujoumonogatarigb,742
bomberboy,889
bomberkingscenario2,37
bombermancollection,874
bombermangb,1220
bombermangb2,1220
bombermangb3,88
bobbyboys,85
boukenpuzzleroad,534
boulderdash,920
boxing,991
braindrain,540
bubblebobble,248
bubblebobblejunior,179
bubbleghost,512
bugsbunnycollection,86
bugsbunnycollection,87
buraifighter,1129
hamburger,924
burningpaper,512
cadillac2,1041
caesarspalace,392
capcomquiz2hatenanodaibouken,1073
captaintsubasajzsenc,829
captaintsubasavs,824
cardgame,952
cavenoire,604
chachamaruboukenki3ant,661
chachamarupanic,1217
chalvo55,310
chibimarukochanod,465
chibimarukochan2dmw,465
chibimarukochanmgtnm,465
chibimarukochankgnd,465
chibimarukochanmdt,466
chikichikimachinemouracegb,600
chikichikitengoku,567
choplifter2,866
mazekkomonster,669
mazekkomonster2,669
chousokuspinner,446
collectionpocket,464
operationc,357
contraspirits,365
cosmotank,1126
crayonshinchanotswod,457
crayonshinchan2otwgd,457
crayonshinchan3onga,465
crayonshinchan4onid,458
crayonshinchanongc,466
cultjump,583
cultmasterultramannimisararete,576
daffyduckthemarvinmissions,271
dai2jisuperrobottaisen,683
daikunogensangbc,338
daikunogensanrtny,338
daisenryaku,1154
deadheatscramble,1091
debuggametestersi,491
dinobreeder,1142
dinobreeder,1143
dinobreeder2,1142
dirtyracing,587
dodgeboy,1183
gbdonkeykong,547
gbdonkeykong,548
donkeykongland2,225
doraemonth,713
doraemon2apd,319
doraemonnostudyboy1,487
doraemonnostudyboy2,487
doraemonnostudyboy3,487
doraemonnostudyboy4,487
doraemonnostudyboy5,487
doraemonnostudyboy6,487
doraemonnogbdead,443
doraemonkart,1083
doubledragon,876
doubleyakuman,960
doubleyakuman2,1230
doubleyakumanjr,960
downtownnekketsukoushinkyoku,1218
downtownspecialkuniokunnjdzs,879
drfranken,350
drmario,1053
draculadensetsu,192
draculadensetsu2,262
dragonballzgh,676
dragonballzgg,678
dragonslayer1,32
dragonslayergaidennno,630
dragontail,937
dragonslairthelegend,935
ducktales,116
ducktales2,111
dungeonland,1031
dxbakenou,736
dxbakenouz,736
dxbakenouz,737
elevatoraction,13
f1boy,1087
f1race,1245
f1spirit,1244
familyjockey,1138
familyjockey2mnk,734
famista,1170
famista2,1170
famista3,1170
fastestlap,1086
ferrari,817
finalreverse,1123
flappyspecial,528
fleetcommandervs,782
flipullaecg,1042
foremanforreal,992
friskytom,42
slamdunkgnk,803
slamdunkgnklimited,803
slamdunk2zento,803
funnyfield,909
aboyandhisblobprincessblobette,305
fushiginodungeonfnsgb,671
garmsoperationgundam,906
galagaandgalaxian,865
gameboygallery,449
gameboygallery2,450
gameboywars,1155
gameboywarsturbo,1156
gameboywarsturbofv,1156
gamedehakkentamagotchi,778
gamedehakkentamagotchionm,778
gamedehakkentamagotchi2,775
gameradkk,790
ganbaregoemonknn,640
ganbaregoemonse,624
gansoyanchamaru,159
gbbasketball,799
gbgenjin,167
gbgenjin2,287
gbgenjinlandvco,442
gbpachislohisshouhoujr,507
gbkissminigames,453
gegegenokitarouysa,669
gekitoupowermodeler,988
gemgem,661
genjincollection,296
genjincotts,318
genkibakuhatsygambaruger,63
thunderbirds,91
newghostbusters2,6
gikingsny,736
ginga,564
gogoackmangb,82
gogohitchhike,764
gogotank,872
godmedicinefsnt,661
godmedicinefukkokuban,671
gojirakunkd,859
goukakuboygoldsawmsjoushiki,488
goukakuboygoldsawmsjoushiki,488
goukakuboygoldsawmskanji,488
goukakuboygoldsawmskanji,488
goukakuboygoldsawmskeisan,488
goukakuboygoldsawmskeisan,488
goukakuboygoldsawmsnanmon,488
goukakuboygoldsawmszukei,488
goukakuboyseries99,488
goukakuboyserieseijikugo,488
goukakuboyserieseiken,488
goukakuboyserieseitango,488
goukakuboyserieskanyouku,488
goukakuboyseriesrekishi,488
goukakuboyseriesyojijukugo,488
goukakuboyseriesyojijukugo,489
goukakuboyserieskirihara,488
goukakuboyserieskndchuugaku350,488
goukakuboyserieskndchuugaku1700,488
goukakuboyserieskndkanji,488
goukakuboyserieskndrika240,488
goukakuboyseriesknd250,488
goukakuboyseriesnihonshi,488
goukakuboyserieskokugobattle,488
goukakuboyserieskokugobattle,488
goukakuboyseriesrikabattle,488
goukakuboyseriesrikabattle,488
goukakuboyseriessansuubattle,488
goukakuboyseriessansuubattle,488
goukakuboyseriesshakaibattle,488
goukakuboyseriesshakaibattle,488
goukakuboyseriessawmssuuji,488
goukakuboyseriessawmssuuji,489
goukakuboyseriesyinihonshi,488
goukakuboyseriesyisekaishi,488
goukakuboyserieszkaieigokoubun,488
goukakuboyserieszkaieijukugo,488
goukakuboyserieszkaieitango,488
goukakuboyserieszkaireibun1132,488
goukakuboyserieszkaireibuntango,488
golf,1190
grandermusashirv,745
gremlins2tnb,133
hatris,1045
hayaoshiquizok,1074
headon,926
heiankyoualien,80
heiseitensaibakabon,129
heraclesnoeikouuk,653
heroshuugoupinballparty,1012
hideninyoukikouhoukada,543
higashioosamukenshuuproyakyuustadium91,1165
higashioosamukenshuuproyakyuustadium92,1165
hiryuunokengaiden,973
hitoridedekirumoncd,652
hoihoigameboyban,566
hokutonokensjs,989
homealoneg,137
honshougi,412
hongkong,516
honmeiboy,734
honoonotoukyuujidodgedanpeigb,1135
hook8bit,933
hoshinokirby,159
hoshinokirby,160
hoshinokirby2,223
hudsonhawk,144
hyperblackbass,751
hyperblackbass95,751
hyperloderunner,909
ikarinoyousai,888
ikarinoyousai2,888
indianajonesandthelastcrusadetag,244
initialdgaiden,592
ishidayoshiotsumegoparadise,401
ishidothewayofstones,1033
itsudemonyantowonderful,774
jleaguebigwavesoccer,1208
jleaguefightingsoccer,1206
jleaguelive95,1208
jleaguesupportersoccer,835
jleaguewinninggoal,1205
jalecojcupsoccer,1209
jankenman,129
janshirou,1229
janshirou2,1229
jantakuboy,1229
jikuusenkimu,661
jimmyconnorstennis,1212
jinseigamedensetsu,1231
jordanvsbirdoneonone,800
judgedredd,374
junglenooujatarchan,637
junglewars,661
kachiumayosoukeibakizoku,736
kachiumayosoukeibakizokuex94,736
kachiumayosoukeibakizokuex95,736
kaerunotamenikanewanaru,315
kaijuuougojira,414
kaisengamenavyblue,944
kakomunja,903
kamenridersdhmr,1090
kandumemonsters,773
karakurikengoudenmusashilord,35
karamuchounodaijiken,311
