name,publisher_id
A-Wave,1
ASC,2
ASCII,3
ASK Kodansha,4
Absolute,5
Accalim,6
Acclaim,7
Accolade,8
Activision,9
Activison,10
Altron,11
Angel,12
Arcadia Systems,13
Asmik,14
Asmik Ace,15
Athena,16
Atlus,17
Axela,18
B-AI,19
BPS,20
Banalex,21
Bandai,22
Bandai Shinsei,23
Banpresto,24
Big Ben,25
Black Pearl,26
Blizzard,27
Boss Communications,28
Bottom Up,29
Bung,30
CAPCOM,31
Character Soft,32
Chunsoft,33
Coconuts,34
Compile,35
Copya System,36
Culture Brain,37
DTMC,38
Data East,39
Datel,40
Datel/InterAct/Karat,41
DiTech,42
Disney,43
Disney Interactive,44
Disney Interactive/CAPCOM,45
Disney Interactive/Virgin,46
EA Sports,47
Electro Brain,48
Electronic Arts,49
Elite,50
Empire,51
Enix,52
Epic/Sony,53
Epoch,54
Extreme Entertainment Group,55
FCI,56
FabTek,57
Fox Interactive,58
GT Interactive,59
Galoob,60
GameShark,61
GameTek,62
GiG/Konami,63
Gowin,64
Gremlin,65
HAL Laboratory,66
Hector,67
Hi Tech Entertainment,68
Hi Tech Expressions,69
Hiro,70
Hori,71
Hot-B,72
Hudson,73
Hudson/Famitsu Bros.,74
Hudson/Mani,75
Hudson/Sony Electronics,76
Human,77
I'Max,78
IE Institute,79
IGS,80
INTV,81
Imagineer,82
Infocom,83
Infogrames,84
Interbec,85
Interplay,86
Interplay/Laguna,87
Irem,88
Irem/Mani,89
Irem/Nintendo,90
J-Wing,91
JVC,92
Jaleco,93
Japan Clary Business,94
Japan System Supply,95
KID,96
KSS,97
Kaneko,98
Kawada,99
Kemco,100
King Recods,101
King Records,102
Kodansha,103
Koei,104
Konami,105
LJN,106
LOZC,107
Laguna,108
Laser Beam,109
Limited Run,110
Loriciel,111
Magical Company,112
Magifact,113
Majesco,114
Malibu,115
Masaya,116
Matchbox,117
Mattel,118
Meldac,119
Meldac/Life Planning,120
Micro World,121
MicroProse,122
Milton Bradley,123
Mindscape,124
Minolta,125
Misawa,126
NAMCO,127
NAMCOT,128
NTVIC,129
Natsume,130
Naxat,131
Nexoft,132
Nichibutsu,133
Nintendo,134
Nintendo/Mani,135
Nintendo/Mattel,136
Ocean,137
PCM Complete,138
POW,139
Pack-In-Video,140
Palcom,141
Parker Brothers,142
Playmates,143
Pony Canyon,144
Psygnosis,145
QUByte,146
Quest,147
Rebellion,148
Romstar,149
SEGA,150
SETA,151
SNK,152
SOFEL,153
Sammy,154
Seika,155
Shingakusha,156
Shouei System,157
Sigma,158
Sofel,159
Sonic World,160
Sony,161
Sony Electronics,162
Sony Imagesoft,163
Spectrum HoloByte,164
Spidersoft,165
Square,166
Square-Enix,167
Starbyte,168
Starfish,169
Steve G. Willis,170
Storm,171
Storm Sales Curve,172
Sunsoft,173
T&E Soft,174
TF1,175
THQ,176
Taito,177
Taito/Mani,178
Takara,179
Take-Two,180
Taxan,181
Technōs,182
Tecmo,183
Telenet,184
Telstar,185
The Sales Curve,186
Thin Chen,187
Time Warner,188
Titus,189
Toei,190
Toei Animation,191
Toho,192
Tokuma Shoten,193
Tomy,194
Tomy/Mani,195
Tonkin House,196
Towa Chiki,197
Towa Shiki,198
Tradewest,199
Triffix,200
Tsukuda Original,201
U.S.Gold,202
UPL,203
Ubisoft,204
Ultra,205
Use,206
VAP,207
VIC Tokai,208
Varie,209
Viacom,210
Victor,211
Victor Interactive,212
Video System,213
Virgin,214
Visit,215
Williams,216
Wisdom Tree,217
Yanoman,218
Yojigen,219
Yojigen/GAPS,220
Yonezawa Party Room 21,221
Yutaka,222
