tag_name,tag_id
#players:1 #genre:action #compatibility:gameboy>mono #based #lang:en,1
#players:1 #genre:action #compatibility:gameboy>mono #based:manganime #lang:ja,2
#players:1 #genre:action #compatibility:gameboy>mono #based:marvel #search:feature>spiderman #lang:en,3
#players:1 #genre:action #compatibility:gameboy>mono #based:marvel #search:feature>spiderman #lang:en #unfinished:beta>1,4
#players:1 #genre:action #compatibility:gameboy>mono #based:marvel #search:feature>spiderman #lang:en #unfinished:beta>2,5
#players:1 #genre:action #compatibility:gameboy>mono #based:movie #lang:en,6
#players:1 #genre:action #compatibility:gameboy>mono #based:movie #lang:en #unfinished:beta,7
#players:1 #genre:action #compatibility:gameboy>mono #based:movie:disney #lang:en,8
#players:1 #genre:action #compatibility:gameboy>mono #based:movie:disney #lang:es #unfinished:proto,9
#players:1 #genre:action #compatibility:gameboy>mono #based:movie:disney #reboxed:disneysclassic #lang:en,10
#players:1 #genre:action #compatibility:gameboy>mono #based:movie:disney #reboxed:playerschoice #lang:en,11
#players:1 #genre:action #compatibility:gameboy>mono #lang:en #unfinished:proto,12
#players:1 #genre:action #compatibility:gameboy>mono #port:arcade #lang:en,13
#players:1 #genre:action #compatibility:gameboy>mono #port:arcade #lang:en #unfinished:beta,14
#players:1 #genre:action #compatibility:gameboy>mono>sgb #based #lang:en,15
#players:1 #genre:action #compatibility:gameboy>mono>sgb #based #lang:en #unfinished:beta,16
#players:1 #genre:action #compatibility:gameboy>mono>sgb #based #search:feature>superman #lang:en,17
#players:1 #genre:action #compatibility:gameboy>mono>sgb #save:password #based:movie:disney #lang:en,18
#players:1 #genre:action #save:password #compatibility:gameboy>mono #lang:en,19
#players:1 #genre:action #save:password #compatibility:gameboy>mono #port:apple>apple2 #lang:en,20
#players:1 #genre:action #save:password #compatibility:gameboy>mono #port:apple>apple2 #lang:en #unfinished:beta,21
#players:1 #genre:action #save:password #compatibility:gameboy>mono #port:apple>apple2 #lang:en:fr:de:es:it,22
#players:1 #genre:action #save:password #compatibility:gameboy>mono #port:apple>apple2 #lang:en:fr:de:es:it #unfinished:beta,23
#players:1 #genre:action #save:password #compatibility:gameboy>mono #port:apple>apple2 #lang:ja,24
#players:1 #genre:action #save:password #compatibility:gameboy>mono>sgb #based:movie:disney #lang:en,25
#players:1 #genre:action:adventure #compatibility:gameboy>mono #based:movie #lang:de,26
#players:1 #genre:action:adventure #compatibility:gameboy>mono #based:movie #lang:en,27
#players:1 #genre:action:adventure #compatibility:gameboy>mono #based:movie #lang:es,28
#players:1 #genre:action:adventure #compatibility:gameboy>mono #based:movie #lang:fr,29
#players:1 #genre:action:adventure #compatibility:gameboy>mono #based:movie:jurassicpark #lang:en,30
#players:1 #genre:action:adventure #compatibility:gameboy>mono #based:movie:jurassicpark #lang:en:fr:de:es:it,31
#players:1 #genre:action:adventure #compatibility:gameboy>mono #port:nec>pc88 #search:franchise>dragonslayer #lang:en,32
#players:1 #genre:action:adventure #compatibility:gameboy>mono #save:password #based:movie #lang:en,33
#players:1 #genre:action:adventure #compatibility:gameboy>mono #save:password #based:movie #lang:fr,34
#players:1 #genre:action:adventure #save:password #compatibility:gameboy>mono #based:manganime #lang:ja,35
